start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,holding_day_ratio,cash_days,trade_days,avg_turnover,turnover_total,cost_total,candidate,segment,weight_power,lookback,score_max,r2,switch_buffer,initial_entry_fraction,overheat,target_vol
2011-12-09,2026-09-02,3578,0.233760831541163,0.24507547919961165,0.9793479173840114,-0.3639022482700429,0.897708216880939,0.897708216880939,366,347,0.17467859139183903,625.0,0.625,weight_power_0p5,full,0.5,25,5.0,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.3305926173180209,0.24378776461778542,1.2929364967420836,-0.22128350083760528,0.9765873015873016,0.9765873015873016,59,265,0.2015873015873016,508.0,0.508,weight_power_0p5,last_10y,0.5,25,5.0,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.3583936131526062,0.26877025095053547,1.2724338691610546,-0.22128350083760473,0.9722222222222222,0.9722222222222222,35,141,0.21587301587301588,272.0,0.272,weight_power_0p5,last_5y,0.5,25,5.0,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.3885831540519942,0.28849348251738044,1.279852735298008,-0.22128350083760429,0.9642857142857143,0.9642857142857143,27,94,0.24074074074074073,182.0,0.18200000000000002,weight_power_0p5,last_3y,0.5,25,5.0,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.031912682328023356,0.30717253527730887,0.25561024779654384,-0.22128350083760395,0.9722222222222222,0.9722222222222222,7,45,0.3492063492063492,88.0,0.088,weight_power_0p5,last_1y,0.5,25,5.0,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.24795612401529565,0.24389774909909856,1.029759350699753,-0.37210618339757073,0.8968697596422582,0.8968697596422582,369,367,0.1864169927333706,667.0,0.667,weight_power_0p75,full,0.75,25,5.0,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.3633291898335067,0.2422222118347446,1.400047623047138,-0.216799576166948,0.9765873015873016,0.9765873015873016,59,284,0.21666666666666667,546.0,0.546,weight_power_0p75,last_10y,0.75,25,5.0,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.4472147630104424,0.2665467524186792,1.5184992327913043,-0.21679957616694767,0.9722222222222222,0.9722222222222222,35,150,0.23015873015873015,290.0,0.29,weight_power_0p75,last_5y,0.75,25,5.0,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.4903465662162172,0.289586935351567,1.5206127334368411,-0.21679957616694856,0.9656084656084656,0.9656084656084656,26,99,0.25396825396825395,192.0,0.192,weight_power_0p75,last_3y,0.75,25,5.0,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.1313514845272099,0.31107622651323263,0.5520079938637246,-0.21679957616694856,0.9761904761904762,0.9761904761904762,6,44,0.3412698412698413,86.0,0.086,weight_power_0p75,last_1y,0.75,25,5.0,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.2304516411332378,0.24371634664376826,0.9722486786218211,-0.3646693805451159,0.8943543879262158,0.8943543879262158,378,384,0.19312465064281722,691.0,0.691,weight_power_1,full,1,25,5.0,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.34170002754532525,0.24090591081288873,1.3398950386378166,-0.21482886172980187,0.975,0.975,63,293,0.22301587301587303,562.0,0.562,weight_power_1,last_10y,1,25,5.0,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.4839680213198021,0.26626305032071723,1.6141132068788797,-0.21482886172980253,0.9706349206349206,0.9706349206349206,37,158,0.24285714285714285,306.0,0.306,weight_power_1,last_5y,1,25,5.0,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.6104951753386827,0.28875082988023815,1.7930810447278684,-0.17184869163190497,0.9642857142857143,0.9642857142857143,27,102,0.2619047619047619,198.0,0.198,weight_power_1,last_3y,1,25,5.0,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.3335966024152561,0.3138489225670585,1.0743488348190062,-0.17184869163190508,0.9722222222222222,0.9722222222222222,7,45,0.3492063492063492,88.0,0.08800000000000001,weight_power_1,last_1y,1,25,5.0,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.23792520959408958,0.23911207014660715,1.011590622645987,-0.35827047613720553,0.8915595304639463,0.8915595304639463,388,407,0.20374510899944104,729.0,0.7290000000000001,weight_power_1p25,full,1.25,25,5.0,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.31842333795411326,0.23731441234112893,1.2827703335767344,-0.21050542814814954,0.975,0.975,63,310,0.2357142857142857,594.0,0.5940000000000001,weight_power_1p25,last_10y,1.25,25,5.0,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.49995705184517036,0.2634173584619603,1.6694940649108896,-0.210505428148149,0.969047619047619,0.969047619047619,39,170,0.25873015873015875,326.0,0.326,weight_power_1p25,last_5y,1.25,25,5.0,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.6201813369767755,0.285296545036927,1.8324631784705778,-0.1702848216200744,0.9642857142857143,0.9642857142857143,27,112,0.2857142857142857,216.0,0.21600000000000003,weight_power_1p25,last_3y,1.25,25,5.0,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.4715397964914805,0.3111966135040332,1.3975364945335922,-0.17028482162007452,0.9761904761904762,0.9761904761904762,6,45,0.3492063492063492,88.0,0.08800000000000001,weight_power_1p25,last_1y,1.25,25,5.0,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.20322315735225893,0.22786959688852082,0.9258490536793406,-0.3394128285778937,0.8893236444941308,0.8893236444941308,396,444,0.22219116825041924,795.0,0.795,weight_power_1p5,full,1.5,25,5.0,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.26766129597297383,0.22581469458810163,1.1633089299779071,-0.18444479435349925,0.9746031746031746,0.9746031746031746,64,335,0.25476190476190474,642.0,0.642,weight_power_1p5,last_10y,1.5,25,5.0,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.44380704176999175,0.2467451115825,1.6119152910157766,-0.17397644975075222,0.9682539682539683,0.9682539682539683,40,189,0.2873015873015873,362.0,0.36200000000000004,weight_power_1p5,last_5y,1.5,25,5.0,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.49208186020492395,0.25997906494972,1.6697423025079174,-0.15362625968431232,0.9656084656084656,0.9656084656084656,26,129,0.328042328042328,248.0,0.24800000000000003,weight_power_1p5,last_3y,1.5,25,5.0,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.6153710073550609,0.31977607291908694,1.6607646977337895,-0.14009521459502539,0.9761904761904762,0.9761904761904762,6,51,0.3968253968253968,100.0,0.1,weight_power_1p5,last_1y,1.5,25,5.0,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.1289166724949118,0.22858854346342516,0.6448161660409655,-0.3235559421176034,0.8870877585243152,0.8870877585243152,404,521,0.26187814421464506,937.0,0.937,weight_power_2,full,2,25,5.0,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.19214598631433022,0.22687996251786074,0.8880207866961445,-0.25410961584391556,0.973015873015873,0.973015873015873,68,399,0.30317460317460315,764.0,0.764,weight_power_2,last_10y,2,25,5.0,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.32734571509653154,0.2478074819113705,1.2662616522441534,-0.207371216523906,0.9666666666666667,0.9666666666666667,42,233,0.35555555555555557,448.0,0.44800000000000006,weight_power_2,last_5y,2,25,5.0,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.33921983482928963,0.25710622684853657,1.264564458246974,-0.17768202892908547,0.966931216931217,0.966931216931217,25,161,0.4126984126984127,312.0,0.312,weight_power_2,last_3y,2,25,5.0,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.3393789413822734,0.3156817311639162,1.0836850765310617,-0.17768202892908536,0.9722222222222222,0.9722222222222222,7,68,0.5238095238095238,132.0,0.132,weight_power_2,last_1y,2,25,5.0,off,1.0,1.0,off,off
