candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,SWITCH_BUFFER,MAX_LEV,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,asset_switches,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,cost_total,qqq_days,gld_days,buffer_blocked_days
switch_1.41,0.3,0.25,20,1.41,1.5,last_10y,2016-05-09,2026-05-15,2520,0.3351029295923169,0.22715924561829465,1.3865921217594974,-0.20975617033702498,16.994819249268858,2016-05-09,2022-05-13,891,240,343,2177,0.8638888888888889,1.192727705629172,1.5,0.0,1284,893,54
switch_1.41,0.3,0.25,20,1.41,1.5,last_5y,2021-05-11,2026-05-15,1260,0.3717140099725982,0.2463813314633051,1.4066392539922112,-0.20975617033702498,3.856438256347233,2021-05-11,2022-05-13,519,125,173,1087,0.8626984126984127,1.1684213170076756,1.5,0.0,582,505,21
switch_1.41,0.3,0.25,20,1.41,1.5,last_3y,2023-05-11,2026-05-15,756,0.5305349501210359,0.25363271724825026,1.8061037964409523,-0.19027154989128692,2.5853351078958777,2023-05-11,2026-03-30,291,70,95,661,0.8743386243386243,1.1852814951887656,1.5,0.0,373,288,11
switch_1.41,0.3,0.25,20,1.41,1.5,last_1y,2025-05-15,2026-05-15,252,0.9155889791398859,0.2682938206134482,2.5628957319621644,-0.19027154989128692,0.9155889791398859,2025-05-15,2026-03-30,120,18,36,216,0.8571428571428571,1.094763814279368,1.5,0.0,120,96,7
switch_1.42,0.3,0.25,20,1.42,1.5,full,2015-07-13,2026-05-15,2728,0.330976312782187,0.22584003871934077,1.379616625959381,-0.20975617033702498,21.089864803066163,2015-07-13,2022-05-13,933,260,382,2346,0.8599706744868035,1.1917485545883577,1.5,0.0,1355,991,59
switch_1.42,0.3,0.25,20,1.42,1.5,last_10y,2016-05-09,2026-05-15,2520,0.3351029295923169,0.22715924561829465,1.3865921217594974,-0.20975617033702498,16.994819249268858,2016-05-09,2022-05-13,891,240,343,2177,0.8638888888888889,1.192727705629172,1.5,0.0,1284,893,54
switch_1.42,0.3,0.25,20,1.42,1.5,last_5y,2021-05-11,2026-05-15,1260,0.3717140099725982,0.2463813314633051,1.4066392539922112,-0.20975617033702498,3.856438256347233,2021-05-11,2022-05-13,519,125,173,1087,0.8626984126984127,1.1684213170076756,1.5,0.0,582,505,21
switch_1.42,0.3,0.25,20,1.42,1.5,last_3y,2023-05-11,2026-05-15,756,0.5305349501210359,0.25363271724825026,1.8061037964409523,-0.19027154989128692,2.5853351078958777,2023-05-11,2026-03-30,291,70,95,661,0.8743386243386243,1.1852814951887656,1.5,0.0,373,288,11
switch_1.42,0.3,0.25,20,1.42,1.5,last_1y,2025-05-15,2026-05-15,252,0.9155889791398859,0.2682938206134482,2.5628957319621644,-0.19027154989128692,0.9155889791398859,2025-05-15,2026-03-30,120,18,36,216,0.8571428571428571,1.094763814279368,1.5,0.0,120,96,7
switch_1.43,0.3,0.25,20,1.43,1.5,full,2015-07-13,2026-05-15,2728,0.3401688159547154,0.2255085642086292,1.4118581774008423,-0.20406939087643194,22.79863984630365,2015-07-13,2022-05-13,931,258,382,2346,0.8599706744868035,1.1919449377380726,1.5,0.0,1353,993,61
