candidate,SWITCH_BUFFER,position,days,share
switch_1.12,1.12,CASH,382,0.14002932551319647
switch_1.13,1.13,QQQ,1358,0.49780058651026393
switch_1.13,1.13,GLD,988,0.3621700879765396
switch_1.13,1.13,CASH,382,0.14002932551319647
switch_1.14,1.14,QQQ,1359,0.49816715542521994
switch_1.14,1.14,GLD,987,0.3618035190615836
switch_1.14,1.14,CASH,382,0.14002932551319647
switch_1.15,1.15,QQQ,1359,0.49816715542521994
switch_1.15,1.15,GLD,987,0.3618035190615836
switch_1.15,1.15,CASH,382,0.14002932551319647
switch_1.16,1.16,QQQ,1359,0.49816715542521994
switch_1.16,1.16,GLD,987,0.3618035190615836
switch_1.16,1.16,CASH,382,0.14002932551319647
switch_1.17,1.17,QQQ,1359,0.49816715542521994
switch_1.17,1.17,GLD,987,0.3618035190615836
switch_1.17,1.17,CASH,382,0.14002932551319647
switch_1.18,1.18,QQQ,1359,0.49816715542521994
switch_1.18,1.18,GLD,987,0.3618035190615836
switch_1.18,1.18,CASH,382,0.14002932551319647
switch_1.19,1.19,QQQ,1358,0.49780058651026393
switch_1.19,1.19,GLD,988,0.3621700879765396
switch_1.19,1.19,CASH,382,0.14002932551319647
switch_1.20,1.2,QQQ,1357,0.4974340175953079
switch_1.20,1.2,GLD,989,0.3625366568914956
switch_1.20,1.2,CASH,382,0.14002932551319647
switch_1.21,1.21,QQQ,1357,0.4974340175953079
switch_1.21,1.21,GLD,989,0.3625366568914956
switch_1.21,1.21,CASH,382,0.14002932551319647
switch_1.22,1.22,QQQ,1357,0.4974340175953079
switch_1.22,1.22,GLD,989,0.3625366568914956
switch_1.22,1.22,CASH,382,0.14002932551319647
switch_1.23,1.23,QQQ,1356,0.4970674486803519
switch_1.23,1.23,GLD,990,0.3629032258064516
switch_1.23,1.23,CASH,382,0.14002932551319647
switch_1.24,1.24,QQQ,1356,0.4970674486803519
switch_1.24,1.24,GLD,990,0.3629032258064516
switch_1.24,1.24,CASH,382,0.14002932551319647
switch_1.25,1.25,QQQ,1358,0.49780058651026393
switch_1.25,1.25,GLD,988,0.3621700879765396
switch_1.25,1.25,CASH,382,0.14002932551319647
switch_1.26,1.26,QQQ,1358,0.49780058651026393
switch_1.26,1.26,GLD,988,0.3621700879765396
switch_1.26,1.26,CASH,382,0.14002932551319647
switch_1.27,1.27,QQQ,1357,0.4974340175953079
switch_1.27,1.27,GLD,989,0.3625366568914956
switch_1.27,1.27,CASH,382,0.14002932551319647
switch_1.28,1.28,QQQ,1357,0.4974340175953079
switch_1.28,1.28,GLD,989,0.3625366568914956
switch_1.28,1.28,CASH,382,0.14002932551319647
switch_1.29,1.29,QQQ,1357,0.4974340175953079
switch_1.29,1.29,GLD,989,0.3625366568914956
switch_1.29,1.29,CASH,382,0.14002932551319647
switch_1.30,1.3,QQQ,1357,0.4974340175953079
switch_1.30,1.3,GLD,989,0.3625366568914956
switch_1.30,1.3,CASH,382,0.14002932551319647
switch_1.31,1.31,QQQ,1356,0.4970674486803519
switch_1.31,1.31,GLD,990,0.3629032258064516
switch_1.31,1.31,CASH,382,0.14002932551319647
switch_1.32,1.32,QQQ,1356,0.4970674486803519
switch_1.32,1.32,GLD,990,0.3629032258064516
switch_1.32,1.32,CASH,382,0.14002932551319647
switch_1.33,1.33,QQQ,1354,0.4963343108504399
switch_1.33,1.33,GLD,992,0.36363636363636365
switch_1.33,1.33,CASH,382,0.14002932551319647
switch_1.34,1.34,QQQ,1352,0.49560117302052786
switch_1.34,1.34,GLD,994,0.36436950146627567
switch_1.34,1.34,CASH,382,0.14002932551319647
switch_1.35,1.35,QQQ,1351,0.49523460410557185
switch_1.35,1.35,GLD,995,0.3647360703812317
switch_1.35,1.35,CASH,382,0.14002932551319647
switch_1.36,1.36,QQQ,1349,0.49450146627565983
switch_1.36,1.36,GLD,997,0.3654692082111437
switch_1.36,1.36,CASH,382,0.14002932551319647
switch_1.37,1.37,QQQ,1357,0.4974340175953079
switch_1.37,1.37,GLD,989,0.3625366568914956
switch_1.37,1.37,CASH,382,0.14002932551319647
switch_1.38,1.38,QQQ,1357,0.4974340175953079
switch_1.38,1.38,GLD,989,0.3625366568914956
switch_1.38,1.38,CASH,382,0.14002932551319647
switch_1.39,1.39,QQQ,1357,0.4974340175953079
switch_1.39,1.39,GLD,989,0.3625366568914956
switch_1.39,1.39,CASH,382,0.14002932551319647
switch_1.40,1.4,QQQ,1356,0.4970674486803519
switch_1.40,1.4,GLD,990,0.3629032258064516
switch_1.40,1.4,CASH,382,0.14002932551319647
switch_1.41,1.41,QQQ,1355,0.4967008797653959
switch_1.41,1.41,GLD,991,0.36326979472140764
switch_1.41,1.41,CASH,382,0.14002932551319647
switch_1.42,1.42,QQQ,1355,0.4967008797653959
switch_1.42,1.42,GLD,991,0.36326979472140764
switch_1.42,1.42,CASH,382,0.14002932551319647
switch_1.43,1.43,QQQ,1353,0.4959677419354839
switch_1.43,1.43,GLD,993,0.36400293255131966
switch_1.43,1.43,CASH,382,0.14002932551319647
switch_1.44,1.44,QQQ,1351,0.49523460410557185
switch_1.44,1.44,GLD,995,0.3647360703812317
switch_1.44,1.44,CASH,382,0.14002932551319647
switch_1.45,1.45,QQQ,1350,0.49486803519061584
switch_1.45,1.45,GLD,996,0.3651026392961877
switch_1.45,1.45,CASH,382,0.14002932551319647
switch_1.46,1.46,QQQ,1350,0.49486803519061584
switch_1.46,1.46,GLD,996,0.3651026392961877
switch_1.46,1.46,CASH,382,0.14002932551319647
switch_1.47,1.47,QQQ,1352,0.49560117302052786
switch_1.47,1.47,GLD,994,0.36436950146627567
switch_1.47,1.47,CASH,382,0.14002932551319647
switch_1.48,1.48,QQQ,1351,0.49523460410557185
switch_1.48,1.48,GLD,995,0.3647360703812317
switch_1.48,1.48,CASH,382,0.14002932551319647
switch_1.49,1.49,QQQ,1350,0.49486803519061584
switch_1.49,1.49,GLD,996,0.3651026392961877
switch_1.49,1.49,CASH,382,0.14002932551319647
switch_1.50,1.5,QQQ,1351,0.49523460410557185
switch_1.50,1.5,GLD,995,0.3647360703812317
switch_1.50,1.5,CASH,382,0.14002932551319647
switch_1.60,1.6,QQQ,1338,0.4904692082111437
switch_1.60,1.6,GLD,1008,0.36950146627565983
switch_1.60,1.6,CASH,382,0.14002932551319647
switch_1.70,1.7,QQQ,1320,0.4838709677419355
switch_1.70,1.7,GLD,1026,0.37609970674486803
switch_1.70,1.7,CASH,382,0.14002932551319647
switch_1.80,1.8,QQQ,1317,0.48277126099706746
switch_1.80,1.8,GLD,1029,0.37719941348973607
switch_1.80,1.8,CASH,382,0.14002932551319647
switch_1.90,1.9,QQQ,1315,0.48203812316715544
switch_1.90,1.9,GLD,1031,0.3779325513196481
switch_1.90,1.9,CASH,382,0.14002932551319647
switch_2.00,2.0,QQQ,1311,0.4805718475073314
switch_2.00,2.0,GLD,1035,0.37939882697947214
switch_2.00,2.0,CASH,382,0.14002932551319647
switch_2.10,2.1,QQQ,1315,0.48203812316715544
switch_2.10,2.1,GLD,1031,0.3779325513196481
switch_2.10,2.1,CASH,382,0.14002932551319647
switch_2.20,2.2,QQQ,1314,0.48167155425219943
switch_2.20,2.2,GLD,1032,0.3782991202346041
switch_2.20,2.2,CASH,382,0.14002932551319647
switch_2.30,2.3,QQQ,1313,0.4813049853372434
switch_2.30,2.3,GLD,1033,0.3786656891495601
switch_2.30,2.3,CASH,382,0.14002932551319647
switch_2.40,2.4,QQQ,1317,0.48277126099706746
switch_2.40,2.4,GLD,1029,0.37719941348973607
switch_2.40,2.4,CASH,382,0.14002932551319647
switch_2.50,2.5,QQQ,1317,0.48277126099706746
switch_2.50,2.5,GLD,1029,0.37719941348973607
switch_2.50,2.5,CASH,382,0.14002932551319647
switch_2.60,2.6,QQQ,1315,0.48203812316715544
switch_2.60,2.6,GLD,1031,0.3779325513196481
switch_2.60,2.6,CASH,382,0.14002932551319647
switch_2.70,2.7,QQQ,1312,0.4809384164222874
switch_2.70,2.7,GLD,1034,0.3790322580645161
switch_2.70,2.7,CASH,382,0.14002932551319647
switch_2.80,2.8,QQQ,1311,0.4805718475073314
switch_2.80,2.8,GLD,1035,0.37939882697947214
switch_2.80,2.8,CASH,382,0.14002932551319647
switch_2.90,2.9,QQQ,1314,0.48167155425219943
switch_2.90,2.9,GLD,1032,0.3782991202346041
switch_2.90,2.9,CASH,382,0.14002932551319647
switch_3.00,3.0,QQQ,1345,0.4930351906158358
switch_3.00,3.0,GLD,1001,0.36693548387096775
switch_3.00,3.0,CASH,382,0.14002932551319647
