date,version,scenario,entry_case,position_before,fraction_before,position,holding_fraction,pending_entry_target,pending_entry_since,pending_entry_days,trade_target,trade_fraction,staged_initial,fill_on_down_day,best_candidate,best_candidate_score,current_score,buffer_blocked,asset_return,gross_return,asset_component,cash_return_component,cash_exposure_effective,turnover,cost,return,nav,trade_count,stop_count,stop_triggered,staged_initial_count,staged_fill_count,score_QQQ,score_GLD,score_CN_CYB_399006,score_159915.SZ,raw_score_QQQ,raw_score_GLD,raw_score_CN_CYB_399006,raw_score_159915.SZ,r2_QQQ,r2_GLD,r2_CN_CYB_399006,r2_159915.SZ,buffer_blocked_count,target_vol,realized_vol,target_vol_scale_effective,target_vol_scale_next,weight,return_before_nav_defense,nav_before_nav_defense,nav_defense_base_dd,nav_defense_scale_effective,nav_defense_scale_next,nav_defense_on_effective,nav_defense_on_next,nav_defense_triggered,nav_defense_recovered,base_return,base_nav,base_gross_return,base_turnover,base_cost,base_position_before,base_position_next,actual_position_before,actual_position_next,overheat_scale_effective,overheat_scale_next,overheat_scale,exposure_effective,final_exposure,final_exposure_after_overheat,drifted_exposure_before_trade,rebalance_delta,buy_delta,sell_delta,effective_trade_count,nav_defense_enabled,nav_enter_threshold,nav_exit_threshold,nav_defense_scale,overheat_enter,overheat_exit,overheat_derisk_scale,overheat_recovery_mode,nav_before_overheat,return_before_overheat,overheat_on_effective,overheat_on,overheat_triggered,overheat_recovered,overheat_bias,overheat_bias_mom,overheat_same_side,overheat_feature_missing,overheat_tc,base_position,base_fraction_before,base_holding_fraction,base_trade_target,base_trade_fraction,base_pending_entry_target,base_pending_entry_since,base_pending_entry_days,base_staged_initial,base_fill_on_down_day,actual_entry_state,actual_pending_target,actual_pending_since,actual_pending_days,actual_staged_initial,actual_fill_on_down_day,actual_staged_initial_count,actual_staged_fill_count,staged_entry_event_count,combined_overlay_scale_effective,combined_overlay_scale_next
2019-04-16,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,QQQ,1.0,QQQ,1.0,,,0,,,False,False,QQQ,0.919939807804824,0.919939807804824,False,0.0034434685375377416,0.0034434685375377416,0.0034434685375377416,0.0,0.0,0.0,0.0,0.0034434685375377416,4.565977028281329,393,0,False,182,165,0.919939807804824,,0.19060974300538724,0.2171784787949489,0.919939807804824,-0.1749990242793702,0.19060974300538724,0.2171784787949489,0.8568087599662177,0.3444421374067531,0.03474182254284397,0.04107778774386739,142,,,1.0,1.0,1.0,0.0034434685375377416,4.068870325717857,-0.04169106081336904,1.0,1.0,False,False,False,False,0.0034434685375377416,4.068870325717857,0.0034434685375377416,0.0,0.0,QQQ,QQQ,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,424,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,3.640827710818012,0.0034434685375377416,False,False,False,False,0.07206820321326557,-3.9684963175116508,False,False,0.0,QQQ,1.0,1.0,,,,,0,False,False,FULL_POSITION,,,0,False,False,191,169,420,1.0,1.0
2019-04-17,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,QQQ,1.0,QQQ,1.0,,,0,,,False,False,QQQ,0.9078043591872653,0.9078043591872653,False,0.0034850253990983404,0.0034850253990983404,0.0034850253990983404,0.0,0.0,0.0,0.0,0.0034850253990983404,4.581889574196588,393,0,False,182,165,0.9078043591872653,,0.1951786794525956,0.21162393276087044,0.9078043591872653,-0.2154996740443983,0.1951786794525956,0.21162393276087044,0.8681063263606136,0.45154511506784134,0.03878205602205609,0.04197243856947497,142,,,1.0,1.0,1.0,0.0034850253990983404,4.083050442148621,-0.03835132982012057,1.0,1.0,False,False,False,False,0.0034850253990983404,4.083050442148621,0.0034850253990983404,0.0,0.0,QQQ,QQQ,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,424,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,3.6535160878639537,0.0034850253990983404,False,False,False,False,0.07322717461227879,-2.6676727311361965,False,False,0.0,QQQ,1.0,1.0,,,,,0,False,False,FULL_POSITION,,,0,False,False,191,169,420,1.0,1.0
2019-04-18,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,QQQ,1.0,QQQ,1.0,,,0,,,False,False,QQQ,0.8950031446342732,0.8950031446342732,False,0.0012823149723228955,0.0012823149723228955,0.0012823149723228955,0.0,0.0,0.0,0.0,0.0012823149723228955,4.587764999799111,393,0,False,182,165,0.8950031446342732,,0.1646245205611898,0.16985876335588013,0.8950031446342732,-0.24249948796373266,0.1646245205611898,0.16985876335588013,0.8779532903974523,0.5316317332517306,0.030609660946768424,0.030234891536948805,142,,,1.0,1.0,1.0,0.0012823149723228955,4.088286198863337,-0.03711819333223465,1.0,1.0,False,False,False,False,0.0012823149723228955,4.088286198863337,0.0012823149723228955,0.0,0.0,QQQ,QQQ,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,424,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,3.6582010462450443,0.0012823149723228955,False,False,False,False,0.07200761231093189,-1.0999346580044371,False,False,0.0,QQQ,1.0,1.0,,,,,0,False,False,FULL_POSITION,,,0,False,False,191,169,420,1.0,1.0
2019-04-19,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,QQQ,1.0,QQQ,1.0,,,0,,,False,False,QQQ,0.877413004712623,0.877413004712623,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.587764999799111,393,0,False,182,165,0.877413004712623,,0.16908420626091014,0.1777117019396408,0.877413004712623,-0.26191342683553476,0.16908420626091014,0.1777117019396408,0.8826546613158127,0.597362461060615,0.03469339802821514,0.03538202915496835,142,,,1.0,1.0,1.0,0.0,4.088286198863337,-0.03711819333223465,1.0,1.0,False,False,False,False,0.0,4.088286198863337,0.0,0.0,0.0,QQQ,QQQ,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,424,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,3.6582010462450443,0.0,False,False,False,False,0.06955432668032935,2.4150105174592364,True,False,0.0,QQQ,1.0,1.0,,,,,0,False,False,FULL_POSITION,,,0,False,False,191,169,420,1.0,1.0
2019-04-22,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,QQQ,1.0,QQQ,1.0,,,0,,,False,False,QQQ,0.8676165267276488,0.8676165267276488,False,0.002828648897914121,0.002828648897914121,0.002828648897914121,0.0,0.0,0.0,0.0,0.002828648897914121,4.600742176209682,393,0,False,182,165,0.8676165267276488,,0.12216407397506579,0.12381003144531055,0.8676165267276488,-0.2737109296940715,0.12216407397506579,0.12381003144531055,0.8897862021847851,0.6443754565118692,0.02046477748483666,0.01948026887359733,142,,,1.0,1.0,1.0,0.002828648897914121,4.0998505251141095,-0.03439453877098231,1.0,1.0,False,False,False,False,0.002828648897914121,4.0998505251141095,0.002828648897914121,0.0,0.0,QQQ,QQQ,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,424,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,3.668548812602854,0.002828648897914121,False,False,False,False,0.07024114063780162,2.552255793641951,True,False,0.0,QQQ,1.0,1.0,,,,,0,False,False,FULL_POSITION,,,0,False,False,191,169,420,1.0,1.0
2019-04-23,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,QQQ,1.0,QQQ,1.0,,,0,,,False,False,QQQ,0.9284181393853332,0.9284181393853332,False,0.012717973130968563,0.012717973130968563,0.012717973130968563,0.0,0.0,0.0,0.0,0.012717973130968563,4.659254291589231,393,0,False,182,165,0.9284181393853332,,0.03716951824224024,0.03129246304356492,0.9284181393853332,-0.28493868134667244,0.03716951824224024,0.03129246304356492,0.899256883301387,0.687085101473117,0.0021678976866700284,0.0014284603837348975,142,,,1.0,1.0,1.0,0.012717973130968563,4.151992313933498,-0.02211399445995521,1.0,1.0,False,False,False,False,0.012717973130968563,4.151992313933498,0.012717973130968563,0.0,0.0,QQQ,QQQ,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,424,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,3.7152053178311837,0.012717973130968563,False,False,False,False,0.08124966877474016,3.474626652231127,True,False,0.0,QQQ,1.0,1.0,,,,,0,False,False,FULL_POSITION,,,0,False,False,191,169,420,1.0,1.0
2019-04-24,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,QQQ,1.0,QQQ,1.0,,,0,,,False,False,QQQ,0.9438488480057245,0.9438488480057245,False,-0.0031525568443048213,-0.0031525568443048213,-0.0031525568443048213,0.0,0.0,0.0,0.0,-0.0031525568443048213,4.644565727582925,393,0,False,182,165,0.9438488480057245,,0.035834863547958395,0.029308648452493147,0.9438488480057245,-0.2843583105950003,0.035834863547958395,0.029308648452493147,0.9113035550366797,0.7060492019641854,0.002187688260575138,0.0013612379185214962,142,,,1.0,1.0,1.0,-0.0031525568443048213,4.1389029221467055,-0.02519683567967046,1.0,1.0,False,False,False,False,-0.0031525568443048213,4.1389029221467055,-0.0031525568443048213,0.0,0.0,QQQ,QQQ,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,424,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,3.7034929218784574,-0.0031525568443048213,False,False,False,False,0.07498424599687303,3.6576363135360688,True,False,0.0,QQQ,1.0,1.0,,,,,0,False,False,FULL_POSITION,,,0,False,False,191,169,420,1.0,1.0
2019-04-25,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,QQQ,1.0,QQQ,1.0,,,0,,,False,False,QQQ,0.9693650006728829,0.9693650006728829,False,0.004058646248453535,0.004058646248453535,0.004058646248453535,0.0,0.0,0.0,0.0,0.004058646248453535,4.663416376848875,393,0,False,182,165,0.9693650006728829,,,,0.9693650006728829,-0.2765214674169376,-0.06166390031367064,-0.07120781765708872,0.9240687619942282,0.7029246172212151,0.007202875645340279,0.008986667050894792,142,,,1.0,1.0,1.0,0.004058646248453535,4.15570126496439,-0.02124045447382117,1.0,1.0,False,False,False,False,0.004058646248453535,4.15570126496439,0.004058646248453535,0.0,0.0,QQQ,QQQ,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,424,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,3.7185240895320137,0.004058646248453535,False,False,False,False,0.07643725675877211,2.3744349892972134,True,False,0.0,QQQ,1.0,1.0,,,,,0,False,False,FULL_POSITION,,,0,False,False,191,169,420,1.0,1.0
2019-04-26,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,QQQ,1.0,QQQ,1.0,,,0,,,False,False,QQQ,0.9784121173088842,0.9784121173088842,False,0.0008924970286390277,0.0008924970286390277,0.0008924970286390277,0.0,0.0,0.0,0.0,0.0008924970286390277,4.667578462108518,393,0,False,182,165,0.9784121173088842,,,,0.9784121173088842,-0.24777683913965742,-0.1578779697173497,-0.1643070397669537,0.9348733984171723,0.609550017808966,0.05035534317258494,0.05179823644481241,142,,,1.0,1.0,1.0,0.0008924970286390277,4.1594102159952815,-0.020366914487687016,1.0,1.0,False,False,False,False,0.0008924970286390277,4.1594102159952815,0.0008924970286390277,0.0,0.0,QQQ,QQQ,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,424,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,3.721842861232844,0.0008924970286390277,False,False,False,False,0.07458970651933816,0.4190521634342775,True,False,0.0,QQQ,1.0,1.0,,,,,0,False,False,FULL_POSITION,,,0,False,False,191,169,420,1.0,1.0
2019-04-29,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,QQQ,1.0,QQQ,1.0,,,0,,,False,False,QQQ,0.9794624952197362,0.9794624952197362,False,0.001940958286340555,0.001940958286340555,0.001940958286340555,0.0,0.0,0.0,0.0,0.001940958286340555,4.676638037201693,393,0,False,182,165,0.9794624952197362,,,,0.9794624952197362,-0.22907165686009556,-0.3003115953042127,-0.30351847452755876,0.9443317141068988,0.5693286094624266,0.16314071034697075,0.1631143233688821,142,,,1.0,1.0,1.0,0.001940958286340555,4.167483457720307,-0.018465487532788538,1.0,1.0,False,False,False,False,0.001940958286340555,4.167483457720307,0.001940958286340555,0.0,0.0,QQQ,QQQ,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,424,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,3.729066802974811,0.001940958286340555,False,False,False,False,0.07403499071138486,-1.0495574714275435,False,False,0.0,QQQ,1.0,1.0,,,,,0,False,False,FULL_POSITION,,,0,False,False,191,169,420,1.0,1.0
2019-04-30,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,QQQ,1.0,QQQ,1.0,,,0,,,False,False,QQQ,0.906869677513783,0.906869677513783,False,-0.007748041464744726,-0.007748041464744726,-0.007748041464744726,0.0,0.0,0.0,0.0,-0.007748041464744726,4.640403251773852,393,0,False,182,165,0.906869677513783,,,,0.906869677513783,-0.19972085765572045,-0.39386125390872573,-0.40003838752765986,0.9250737288625083,0.4814105293749248,0.2806365181292322,0.2834853895669145,142,,,1.0,1.0,1.0,-0.007748041464744726,4.135193623086252,-0.026070457634462585,1.0,1.0,False,False,False,False,-0.007748041464744726,4.135193623086252,-0.007748041464744726,0.0,0.0,QQQ,QQQ,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,424,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,3.700173838760559,-0.007748041464744726,False,False,False,False,0.0630508793511797,-2.4969346749694163,False,False,0.0,QQQ,1.0,1.0,,,,,0,False,False,FULL_POSITION,,,0,False,False,191,169,420,1.0,1.0
2019-05-06,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,QQQ,1.0,QQQ,1.0,,,0,,,False,False,QQQ,0.8388247739079224,0.8388247739079224,False,0.002110298575182412,0.002110298575182412,0.002110298575182412,0.0,0.0,0.0,0.0,0.002110298575182412,4.650195888144342,393,0,False,182,165,0.8388247739079224,,,,0.8388247739079224,-0.17990403374464448,-0.5966939862278012,-0.6080987082500462,0.9097791386389148,0.4375361719423433,0.3756415530901629,0.37523934733034914,142,,,1.0,1.0,1.0,0.002110298575182412,4.143920116297155,-0.024015175508880438,1.0,1.0,False,False,False,False,0.002110298575182412,4.143920116297155,0.002110298575182412,0.0,0.0,QQQ,QQQ,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,424,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,3.707982310340423,0.002110298575182412,False,False,False,False,0.06244755006932623,-3.7158457466227497,False,False,0.0,QQQ,1.0,1.0,,,,,0,False,False,FULL_POSITION,,,0,False,False,191,169,420,1.0,1.0
2019-05-07,1.3,v1_3_three_asset_cash3_nav_overheat,entry_25_wait_down_no_timeout,QQQ,1.0,QQQ,1.0,,,0,,,False,False,QQQ,0.6392648191262256,0.6392648191262256,False,-0.019479700893732632,-0.019479700893732632,-0.019479700893732632,0.0,0.0,0.0,0.0,-0.019479700893732632,4.559611463146025,393,0,False,182,165,0.6392648191262256,,,,0.6392648191262256,-0.14959448268188658,-0.7085733064160687,-0.7175410815690626,0.7041321526062096,0.3439052540829006,0.4866388056661016,0.48673727837810055,142,,,1.0,1.0,1.0,-0.019479700893732632,4.063197791904164,-0.04302706796678957,1.0,1.0,False,False,False,False,-0.019479700893732632,4.063197791904164,-0.019479700893732632,0.0,0.0,QQQ,QQQ,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,424,True,0.2,0.05,0.5,0.15,0.13,0.0,same_side_or_exit,3.63575192401574,-0.019479700893732632,False,False,False,False,0.03972932631558779,-7.336359928125525,False,False,0.0,QQQ,1.0,1.0,,,,,0,False,False,FULL_POSITION,,,0,False,False,191,169,420,1.0,1.0
