candidate,baseline_candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,entry_fraction,entry_label,momentum_decay_enabled,decay_ratio_threshold,recovery_ratio_threshold,confirm_days,derisk_scale,decay_label,nav_defense_enabled,nav_enter_threshold,nav_exit_threshold,nav_defense_scale,nav_label,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,trades,cost_total,turnover_total,avg_exposure_effective,avg_final_exposure,avg_nav_defense_scale_effective,avg_nav_defense_scale_next,defense_day_ratio,trigger_count,recovery_count,reason
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p75,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.75,nav_enter_0p075_exit_0p03_scale_0p75,full,Full,2016-12-30,2007-01-04,2432.0,0.07026525472490985,0.14225514547060156,-0.19787435072791126,0.5486040151991237,1146.0,0.3183474079052107,318.34740790521073,0.46743935032894735,0.4677477384868421,0.8463199013157895,0.8462171052631579,0.6147203947368421,14.0,13.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p75,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.75,nav_enter_0p075_exit_0p03_scale_0p75,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p75,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.75,nav_enter_0p075_exit_0p03_scale_0p75,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.07446921642042992,0.13871764924782143,-0.1835350321084398,0.5873809739012747,588.0,0.1745793907916265,174.57939079162648,0.47807539682539685,0.47807539682539685,0.8605158730158731,0.8603174603174604,0.557936507936508,7.0,6.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p75,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.75,nav_enter_0p075_exit_0p03_scale_0p75,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.06900919935409888,0.13248974849452677,-0.15777635838458548,0.5701571286409404,361.0,0.09422640404503,94.22640404502998,0.43642526455026454,0.4366732804232804,0.8257275132275133,0.8257275132275133,0.6970899470899471,2.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p03_scale_0p75,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.03,0.75,nav_enter_0p075_exit_0p03_scale_0p75,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.029815945997318405,0.11199115681858994,-0.1577763583845858,0.31857005312540887,104.0,0.02607161031435309,26.071610314353094,0.4263392857142857,0.42931547619047616,0.7966269841269841,0.7966269841269841,0.8134920634920635,1.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p05_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.05,0.0,nav_enter_0p075_exit_0p05_scale_0p00,full,Full,2016-12-30,2007-01-04,2432.0,0.015133178670386771,0.1176262512557897,-0.28379633363097456,0.18649420217566318,364.0,0.21389324090625322,213.8932409062532,0.26531661184210525,0.26531661184210525,0.4399671052631579,0.4395559210526316,0.5600328947368421,18.0,17.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p05_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.05,0.0,nav_enter_0p075_exit_0p05_scale_0p00,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p05_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.05,0.0,nav_enter_0p075_exit_0p05_scale_0p00,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.022362334745757106,0.12182845554610376,-0.2713011612770013,0.2425478604775426,211.0,0.12796803247267763,127.96803247267765,0.2978174603174603,0.2972222222222222,0.5174603174603175,0.5166666666666667,0.48253968253968255,9.0,8.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p05_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.05,0.0,nav_enter_0p075_exit_0p05_scale_0p00,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.029718664073323575,0.10505229527054454,-0.10244699858432604,0.3313736500179811,61.0,0.04602003881118809,46.02003881118809,0.1746031746031746,0.1746031746031746,0.32142857142857145,0.32142857142857145,0.6785714285714286,4.0,4.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p05_scale_0p00,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.05,0.0,nav_enter_0p075_exit_0p05_scale_0p00,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.05647352093428726,0.09502512866649802,-0.07692923689219089,0.6257652089722963,16.0,0.010992630667472579,10.992630667472579,0.1875,0.1875,0.1984126984126984,0.1984126984126984,0.8015873015873016,1.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p05_scale_0p25,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.05,0.25,nav_enter_0p075_exit_0p05_scale_0p25,full,Full,2016-12-30,2007-01-04,2432.0,0.03480906921040372,0.12086936089955627,-0.23458084142312652,0.34353626460188946,1097.0,0.252198016277848,252.198016277848,0.33575760690789475,0.3358604029605263,0.5799753289473685,0.5796669407894737,0.5600328947368421,18.0,17.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p05_scale_0p25,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.05,0.25,nav_enter_0p075_exit_0p05_scale_0p25,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p05_scale_0p25,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.05,0.25,nav_enter_0p075_exit_0p05_scale_0p25,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.04031383740828898,0.12406074864796077,-0.23458084142312485,0.38072417567069555,552.0,0.14530017333789896,145.30017333789897,0.36160714285714285,0.36121031746031745,0.638095238095238,0.6375,0.48253968253968255,9.0,8.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p05_scale_0p25,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.05,0.25,nav_enter_0p075_exit_0p05_scale_0p25,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.04200053277819271,0.10870836037433845,-0.10445440156250485,0.4329149459304038,352.0,0.06274536488795873,62.74536488795872,0.26339285714285715,0.2634755291005291,0.49107142857142855,0.49107142857142855,0.6785714285714286,4.0,4.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p05_scale_0p25,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.05,0.25,nav_enter_0p075_exit_0p05_scale_0p25,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.051147559612926274,0.0972044044238081,-0.10445440156250518,0.561891303917361,102.0,0.016055733629050765,16.055733629050764,0.2681051587301587,0.2690972222222222,0.39880952380952384,0.39880952380952384,0.8015873015873016,1.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_enter_0p075_exit_0p05_scale_0p50,lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p55_rec_0p85_c3_scale_0p75_nav_off,layer6_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.55,0.85,3.0,0.75,decay_0p55_rec_0p85_c3_scale_0p75,True,0.075,0.05,0.5,nav_enter_0p075_exit_0p05_scale_0p50,full,Full,2016-12-30,2007-01-04,2432.0,0.054078257714830436,0.13038704316006786,-0.20840592601360286,0.46917421782276403,1097.0,0.29001119826856253,290.0111982685625,0.40619860197368424,0.40640419407894735,0.719983552631579,0.7197779605263158,0.5600328947368421,18.0,17.0,
