candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,SWITCH_BUFFER,MAX_LEV,SCORE_MIN,SCORE_MAX,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,asset_switches,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,cost_total,qqq_days,gld_days,buffer_blocked_days
switch_1.02,0.3,0.25,20,1.02,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.1755097241568686,0.18836510931303896,0.9530569929752271,-0.2584643054930703,4.7574047918949285,2021-11-19,2022-07-26,530.0,60,892,1836,0.6730205278592375,0.9681469607206603,1.5,0.3767559310687916,1141,695,2
switch_1.02,0.3,0.25,20,1.02,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.17359964866725175,0.18903159873883002,0.9418034556065079,-0.2584643054930703,3.9567807358935525,2021-11-19,2022-07-26,497.0,59,810,1710,0.6785714285714286,0.9762587092217021,1.5,0.3569819385567982,1076,634,2
switch_1.02,0.3,0.25,20,1.02,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.2424144397443131,0.1982700836051503,1.1943952328541152,-0.2584643054930703,1.9602776843729677,2021-11-19,2022-07-26,254.0,25,435,825,0.6547619047619048,0.9449248715148538,1.5,0.1737420062547966,461,364,0
switch_1.02,0.3,0.25,20,1.02,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.3432107048620836,0.2032906643152569,1.5542598437171227,-0.21577949897426796,1.4234408987243867,2024-07-10,2024-12-19,144.0,17,214,542,0.716931216931217,1.0449526594532916,1.5,0.11357686004295678,290,252,0
switch_1.02,0.3,0.25,20,1.02,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.6253708350657925,0.21233423052394143,2.3966650514520254,-0.11090903893083914,0.6253708350657925,2026-01-27,2026-03-05,70.0,6,79,173,0.6865079365079365,0.9764611334319528,1.5,0.04437801890707731,82,91,0
switch_1.03,0.3,0.25,20,1.03,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.17756832358741304,0.18854557260489546,0.9616096074536602,-0.258464305493071,4.8674967896715415,2021-11-19,2022-07-26,534.0,58,892,1836,0.6730205278592375,0.9681084162346246,1.5,0.3729363608169173,1140,696,5
switch_1.03,0.3,0.25,20,1.03,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.17582470386038396,0.18922631910089346,0.9510434875189719,-0.258464305493071,4.051563352971888,2021-11-19,2022-07-26,501.0,57,810,1710,0.6785714285714286,0.9762169832860258,1.5,0.35316236830492387,1075,635,5
switch_1.03,0.3,0.25,20,1.03,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.24241443974431265,0.19827008360515036,1.1943952328541165,-0.258464305493071,1.9602776843729637,2021-11-19,2022-07-26,254.0,25,435,825,0.6547619047619048,0.9449248715148538,1.5,0.1737420062547966,461,364,0
switch_1.03,0.3,0.25,20,1.03,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.3432107048620836,0.20329066431525683,1.554259843717123,-0.21577949897426818,1.4234408987243863,2024-07-10,2024-12-19,144.0,17,214,542,0.716931216931217,1.0449526594532916,1.5,0.11357686004295678,290,252,0
switch_1.03,0.3,0.25,20,1.03,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.625370835065792,0.2123342305239416,2.396665051452021,-0.11090903893083903,0.625370835065792,2026-01-27,2026-03-05,70.0,6,79,173,0.6865079365079365,0.9764611334319528,1.5,0.04437801890707731,82,91,0
switch_1.04,0.3,0.25,20,1.04,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.17456911303920197,0.18872982211977718,0.9473368724869178,-0.2584643054930712,4.707728642987372,2021-11-19,2022-07-26,540.0,58,892,1836,0.6730205278592375,0.967794144937777,1.5,0.37300301985697853,1141,695,6
switch_1.04,0.3,0.25,20,1.04,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.1725830879294492,0.1894249690337096,0.9356645663239451,-0.2584643054930711,3.9140125466071245,2021-11-19,2022-07-26,507.0,57,810,1710,0.6785714285714286,0.9758767721361047,1.5,0.35322902734498507,1076,634,6
switch_1.04,0.3,0.25,20,1.04,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.24241443974431265,0.19827008360515036,1.1943952328541156,-0.2584643054930712,1.9602776843729623,2021-11-19,2022-07-26,254.0,25,435,825,0.6547619047619048,0.9449248715148538,1.5,0.17374200625479658,461,364,0
switch_1.04,0.3,0.25,20,1.04,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.34321070486208294,0.20329066431525672,1.55425984371712,-0.21577949897426796,1.4234408987243832,2024-07-10,2024-12-19,144.0,17,214,542,0.716931216931217,1.0449526594532916,1.5,0.11357686004295678,290,252,0
switch_1.04,0.3,0.25,20,1.04,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.6253708350657914,0.21233423052394154,2.3966650514520245,-0.11090903893083914,0.6253708350657914,2026-01-27,2026-03-05,70.0,6,79,173,0.6865079365079365,0.9764611334319526,1.5,0.04437801890707729,82,91,0
switch_1.05,0.3,0.25,20,1.05,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.1777152836973075,0.18867888148872644,0.9617284581889716,-0.25846430549307076,4.875428673093943,2021-11-19,2022-07-26,538.0,56,892,1836,0.6730205278592375,0.967794144937777,1.5,0.3670030198569786,1144,692,11
switch_1.05,0.3,0.25,20,1.05,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.17598355926522102,0.18937011286675587,0.9511823340169706,-0.25846430549307053,4.0583922295870725,2021-11-19,2022-07-26,505.0,55,810,1710,0.6785714285714286,0.9758767721361047,1.5,0.34722902734498506,1079,631,11
switch_1.05,0.3,0.25,20,1.05,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.23888385029230164,0.19834331354818138,1.1796670417093322,-0.25846430549307065,1.9184547110780392,2021-11-19,2022-07-26,254.0,25,435,825,0.6547619047619048,0.9449248715148538,1.5,0.1737420062547966,462,363,1
switch_1.05,0.3,0.25,20,1.05,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.33685502640725806,0.20341689309441285,1.530077255863442,-0.21577949897426885,1.3892023863969025,2024-07-10,2024-12-19,144.0,17,214,542,0.716931216931217,1.0449526594532916,1.5,0.11357686004295678,291,251,1
switch_1.05,0.3,0.25,20,1.05,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.6253708350657896,0.21233423052394126,2.396665051452027,-0.1109090389308387,0.6253708350657896,2026-01-27,2026-03-05,70.0,6,79,173,0.6865079365079365,0.9764611334319528,1.5,0.04437801890707731,82,91,0
switch_1.06,0.3,0.25,20,1.06,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.1909570746640763,0.1885709594405053,1.021484296623541,-0.2584643054930701,5.631404095983257,2021-11-19,2022-07-26,530.0,52,892,1836,0.6730205278592375,0.9677994208448957,1.5,0.35490648127724245,1143,693,12
switch_1.06,0.3,0.25,20,1.06,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.19030386463196258,0.1892539278034272,1.0156272066881666,-0.25846430549307,4.709241796090007,2021-11-19,2022-07-26,497.0,51,810,1710,0.6785714285714286,0.9758824835149223,1.5,0.33513248876524904,1078,632,12
switch_1.06,0.3,0.25,20,1.06,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.23888385029230275,0.19834331354818144,1.1796670417093362,-0.2584643054930701,1.9184547110780539,2021-11-19,2022-07-26,254.0,25,435,825,0.6547619047619048,0.9449248715148538,1.5,0.1737420062547966,462,363,1
switch_1.06,0.3,0.25,20,1.06,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.3368550264072592,0.20341689309441285,1.5300772558634446,-0.21577949897426774,1.3892023863969083,2024-07-10,2024-12-19,144.0,17,214,542,0.716931216931217,1.0449526594532916,1.5,0.11357686004295678,291,251,1
switch_1.06,0.3,0.25,20,1.06,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.6253708350657918,0.2123342305239413,2.3966650514520236,-0.11090903893083892,0.6253708350657918,2026-01-27,2026-03-05,70.0,6,79,173,0.6865079365079365,0.9764611334319528,1.5,0.04437801890707731,82,91,0
switch_1.07,0.3,0.25,20,1.07,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.19422112607622855,0.18859565249632548,1.0358983756047861,-0.258464305493071,5.830822568441057,2021-11-19,2022-07-26,530.0,52,892,1836,0.6730205278592375,0.9678802637159355,1.5,0.3549122693326073,1142,694,15
switch_1.07,0.3,0.25,20,1.07,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.19383579090454006,0.1892805809512869,1.031175801447062,-0.258464305493071,4.880929158432787,2021-11-19,2022-07-26,497.0,51,810,1710,0.6785714285714286,0.9759699991308732,1.5,0.3351382768206138,1077,633,15
switch_1.07,0.3,0.25,20,1.07,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.2482965895889353,0.1983369878184582,1.2178960308346478,-0.258464305493071,2.0310208232168847,2021-11-19,2022-07-26,254.0,25,435,825,0.6547619047619048,0.9450999027467557,1.5,0.1737477943101614,460,365,3
switch_1.07,0.3,0.25,20,1.07,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.34595750966262506,0.20349508003549238,1.5629549706018957,-0.21577949897426774,1.4383388020180425,2024-07-10,2024-12-19,144.0,17,214,542,0.716931216931217,1.0448345941355606,1.5,0.11357446917899855,290,252,2
switch_1.07,0.3,0.25,20,1.07,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.658798265636336,0.21248086696526752,2.491162111867805,-0.11090903893083881,0.658798265636336,2026-01-27,2026-03-05,70.0,6,79,173,0.6865079365079365,0.9761069374787599,1.5,0.04437562804311908,81,92,1
switch_1.08,0.3,0.25,20,1.08,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.1975983535740935,0.18848804500844413,1.0513731779708242,-0.2584643054930713,6.042870625128001,2021-11-19,2022-07-26,528.0,50,892,1836,0.6730205278592375,0.9681326193678823,1.5,0.34875676984065596,1137,699,20
switch_1.08,0.3,0.25,20,1.08,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.19568584953261903,0.18916722773283984,1.0398697751803792,-0.2584643054930712,4.972702673573479,2021-11-19,2022-07-26,495.0,49,810,1710,0.6785714285714286,0.976279230883231,1.5,0.3289838091903625,1074,636,18
switch_1.08,0.3,0.25,20,1.08,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.2521684978050618,0.19811769519117187,1.23466652295868,-0.2584643054930712,2.078320735852694,2021-11-19,2022-07-26,252.0,23,435,825,0.6547619047619048,0.9457183662514712,1.5,0.16759332667991012,457,368,6
switch_1.08,0.3,0.25,20,1.08,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.3464661528692752,0.20316278657672074,1.5670332240786988,-0.21577949897426818,1.4411042233877631,2024-07-10,2024-12-19,142.0,15,214,542,0.716931216931217,1.0458148086612844,1.5,0.10743250725387311,288,254,4
switch_1.08,0.3,0.25,20,1.08,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.6606795776870045,0.21152109114913364,2.5068509777577037,-0.11090903893083881,0.6606795776870045,2026-01-27,2026-03-05,68.0,4,79,173,0.6865079365079365,0.9790475810559316,1.5,0.03823366611799364,79,94,3
switch_1.09,0.3,0.25,20,1.09,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.19535424616994312,0.18778786301224235,1.0446423667086095,-0.2584643054930703,5.90131351608436,2021-11-19,2022-07-26,508.0,50,892,1836,0.6730205278592375,0.9701401400520907,1.5,0.34843016825577233,1138,698,23
switch_1.09,0.3,0.25,20,1.09,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.19326058141698677,0.1884117986007096,1.0325472064041883,-0.2584643054930704,4.852655242823898,2021-11-19,2022-07-26,475.0,49,810,1710,0.6785714285714286,0.9784524516874058,1.5,0.3286572076054789,1075,635,21
switch_1.09,0.3,0.25,20,1.09,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.2470939802060912,0.19667679525677736,1.2216940640810319,-0.2584643054930704,2.0164484955020434,2021-11-19,2022-07-26,232.0,23,435,825,0.6547619047619048,0.9500648078598208,1.5,0.1672667250950265,458,367,9
switch_1.09,0.3,0.25,20,1.09,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.35853326632567595,0.20324326585235825,1.6104390628320433,-0.2157794989742684,1.5073261623678142,2024-07-10,2024-12-19,142.0,15,214,542,0.716931216931217,1.0458148086612846,1.5,0.10743250725387313,290,252,6
switch_1.09,0.3,0.25,20,1.09,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.7057302644235137,0.2116417838618899,2.632259180442914,-0.11090903893083903,0.7057302644235137,2026-01-27,2026-03-05,68.0,4,79,173,0.6865079365079365,0.9790475810559318,1.5,0.03823366611799364,81,92,5
switch_1.10,0.3,0.25,20,1.1,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.19479732431740326,0.1880770173345236,1.0408540909740398,-0.2584643054930704,5.866585545736354,2021-11-19,2022-07-26,508.0,50,892,1836,0.6730205278592375,0.9701401400520907,1.5,0.34843016825577233,1142,694,25
switch_1.10,0.3,0.25,20,1.1,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.19265875894790252,0.18872374960810462,1.0284862166430568,-0.2584643054930704,4.8232042061109315,2021-11-19,2022-07-26,475.0,49,810,1710,0.6785714285714286,0.9784524516874058,1.5,0.3286572076054789,1079,631,23
switch_1.10,0.3,0.25,20,1.1,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.24709398020609097,0.1966767952567775,1.2216940640810314,-0.2584643054930704,2.0164484955020403,2021-11-19,2022-07-26,232.0,23,435,825,0.6547619047619048,0.9500648078598208,1.5,0.1672667250950265,458,367,9
switch_1.10,0.3,0.25,20,1.1,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.3585332663256757,0.20324326585235827,1.610439062832043,-0.21577949897426862,1.5073261623678134,2024-07-10,2024-12-19,142.0,15,214,542,0.716931216931217,1.0458148086612846,1.5,0.10743250725387313,290,252,6
switch_1.10,0.3,0.25,20,1.1,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.7057302644235144,0.2116417838618898,2.6322591804429205,-0.11090903893083892,0.7057302644235144,2026-01-27,2026-03-05,68.0,4,79,173,0.6865079365079365,0.9790475810559318,1.5,0.03823366611799364,81,92,5
switch_1.11,0.3,0.25,20,1.11,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.20206092168235057,0.1880312140594304,1.0733149145277943,-0.2584643054930704,6.3322261057243825,2021-11-19,2022-07-26,506.0,48,892,1836,0.6730205278592375,0.9701401400520907,1.5,0.3424301682557723,1146,690,27
switch_1.11,0.3,0.25,20,1.11,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.20050978275949993,0.18867452976903704,1.0635012958018495,-0.25846430549307053,5.218090434411382,2021-11-19,2022-07-26,473.0,47,810,1710,0.6785714285714286,0.9784524516874058,1.5,0.3226572076054789,1083,627,25
switch_1.11,0.3,0.25,20,1.11,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.26356673974225253,0.1965692353596965,1.2890650776664152,-0.2584643054930704,2.221001509116328,2021-11-19,2022-07-26,230.0,21,435,825,0.6547619047619048,0.9500648078598208,1.5,0.16126672509502651,462,363,11
switch_1.11,0.3,0.25,20,1.11,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.3885726771317852,0.20303072895100416,1.719757736281415,-0.2157794989742685,1.6773543008860305,2024-07-10,2024-12-19,140.0,13,214,542,0.716931216931217,1.0458148086612846,1.5,0.10143250725387312,294,248,8
switch_1.11,0.3,0.25,20,1.11,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.8214001545347505,0.21071846571644545,2.954911156500641,-0.11090903893083892,0.8214001545347505,2026-01-27,2026-03-05,66.0,2,79,173,0.6865079365079365,0.9790475810559318,1.5,0.032233666117993644,85,88,7
switch_1.12,0.3,0.25,20,1.12,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.20206092168235035,0.18803121405943043,1.0733149145277958,-0.2584643054930704,6.332226105724376,2021-11-19,2022-07-26,506.0,48,892,1836,0.6730205278592375,0.9701401400520908,1.5,0.3424301682557723,1146,690,27
switch_1.12,0.3,0.25,20,1.12,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.2005097827594997,0.18867452976903717,1.0635012958018482,-0.25846430549307053,5.218090434411377,2021-11-19,2022-07-26,473.0,47,810,1710,0.6785714285714286,0.9784524516874058,1.5,0.3226572076054789,1083,627,25
switch_1.12,0.3,0.25,20,1.12,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.26356673974225187,0.1965692353596965,1.2890650776664128,-0.25846430549307065,2.2210015091163218,2021-11-19,2022-07-26,230.0,21,435,825,0.6547619047619048,0.9500648078598208,1.5,0.16126672509502651,462,363,11
switch_1.12,0.3,0.25,20,1.12,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.3885726771317848,0.20303072895100413,1.7197577362814171,-0.21577949897426818,1.677354300886027,2024-07-10,2024-12-19,140.0,13,214,542,0.716931216931217,1.0458148086612846,1.5,0.10143250725387312,294,248,8
switch_1.12,0.3,0.25,20,1.12,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.8214001545347456,0.21071846571644542,2.954911156500633,-0.11090903893083892,0.8214001545347456,2026-01-27,2026-03-05,66.0,2,79,173,0.6865079365079365,0.9790475810559318,1.5,0.032233666117993644,85,88,7
switch_1.13,0.3,0.25,20,1.13,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.20319519807334085,0.18797892337289096,1.0785823151051692,-0.2584643054930701,6.407472597244722,2021-11-19,2022-07-26,506.0,48,892,1836,0.6730205278592375,0.9701401400520908,1.5,0.3424301682557723,1143,693,30
switch_1.13,0.3,0.25,20,1.13,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.2017361452252211,0.18861813932542393,1.0691799768523886,-0.2584643054930701,5.281903181372412,2021-11-19,2022-07-26,473.0,47,810,1710,0.6785714285714286,0.9784524516874058,1.5,0.3226572076054789,1080,630,28
switch_1.13,0.3,0.25,20,1.13,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.26274908695320476,0.19657136626031033,1.2857568833853052,-0.25846430549307,2.2105934534476144,2021-11-19,2022-07-26,230.0,21,435,825,0.6547619047619048,0.9500648078598208,1.5,0.16126672509502651,461,364,12
switch_1.13,0.3,0.25,20,1.13,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.3885726771317861,0.20303072895100416,1.7197577362814207,-0.21577949897426807,1.6773543008860345,2024-07-10,2024-12-19,140.0,13,214,542,0.716931216931217,1.0458148086612846,1.5,0.10143250725387312,294,248,8
switch_1.13,0.3,0.25,20,1.13,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.8214001545347487,0.21071846571644545,2.9549111565006365,-0.11090903893083892,0.8214001545347487,2026-01-27,2026-03-05,66.0,2,79,173,0.6865079365079365,0.9790475810559318,1.5,0.032233666117993644,85,88,7
switch_1.14,0.3,0.25,20,1.14,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.19914491181966243,0.1884975252774766,1.0582472067736295,-0.2584643054930701,6.141955095214304,2021-11-19,2022-07-26,511.0,48,892,1836,0.6730205278592375,0.9699804471780153,1.5,0.34250153029061936,1144,692,31
switch_1.14,0.3,0.25,20,1.14,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.19735747562467898,0.18917749538355913,1.0472850343213784,-0.2584643054930701,5.056731205530699,2021-11-19,2022-07-26,478.0,47,810,1710,0.6785714285714286,0.9782795778142002,1.5,0.3227285696403259,1081,629,29
switch_1.14,0.3,0.25,20,1.14,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.25356389604122254,0.19765049995034184,1.2428758395388757,-0.25846430549307,2.095511184481583,2021-11-19,2022-07-26,235.0,21,435,825,0.6547619047619048,0.9497190601134099,1.5,0.16133808712987358,462,363,13
switch_1.14,0.3,0.25,20,1.14,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.3717794817304829,0.2047909313616628,1.6472917246171142,-0.24388952783226903,1.5813857479566487,2024-07-10,2024-12-19,145.0,13,214,542,0.716931216931217,1.0452385624172662,1.5,0.10150386928872017,295,247,9
switch_1.14,0.3,0.25,20,1.14,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.8214001545347502,0.21071846571644542,2.954911156500642,-0.11090903893083903,0.8214001545347502,2026-01-27,2026-03-05,66.0,2,79,173,0.6865079365079365,0.9790475810559318,1.5,0.03223366611799365,85,88,7
switch_1.15,0.3,0.25,20,1.15,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.19914491181966243,0.1884975252774766,1.0582472067736295,-0.2584643054930701,6.141955095214304,2021-11-19,2022-07-26,511.0,48,892,1836,0.6730205278592375,0.9699804471780153,1.5,0.34250153029061936,1144,692,31
switch_1.15,0.3,0.25,20,1.15,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.19735747562467898,0.18917749538355913,1.0472850343213784,-0.2584643054930701,5.056731205530699,2021-11-19,2022-07-26,478.0,47,810,1710,0.6785714285714286,0.9782795778142002,1.5,0.3227285696403259,1081,629,29
switch_1.15,0.3,0.25,20,1.15,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.25356389604122254,0.19765049995034184,1.2428758395388757,-0.25846430549307,2.095511184481583,2021-11-19,2022-07-26,235.0,21,435,825,0.6547619047619048,0.9497190601134099,1.5,0.16133808712987358,462,363,13
switch_1.15,0.3,0.25,20,1.15,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.3717794817304829,0.2047909313616628,1.6472917246171142,-0.24388952783226903,1.5813857479566487,2024-07-10,2024-12-19,145.0,13,214,542,0.716931216931217,1.0452385624172662,1.5,0.10150386928872017,295,247,9
switch_1.15,0.3,0.25,20,1.15,1.5,0.0,5.0,last_1y,2025-05-15,2026-05-15,252,0.8214001545347502,0.21071846571644542,2.954911156500642,-0.11090903893083903,0.8214001545347502,2026-01-27,2026-03-05,66.0,2,79,173,0.6865079365079365,0.9790475810559318,1.5,0.03223366611799365,85,88,7
switch_1.16,0.3,0.25,20,1.16,1.5,0.0,5.0,full,2015-07-13,2026-05-15,2728,0.19914491181966265,0.18849752527747662,1.058247206773631,-0.25846430549307087,6.141955095214327,2021-11-19,2022-07-26,511.0,48,892,1836,0.6730205278592375,0.9699804471780153,1.5,0.3425015302906194,1144,692,31
switch_1.16,0.3,0.25,20,1.16,1.5,0.0,5.0,last_10y,2016-05-09,2026-05-15,2520,0.19735747562467898,0.18917749538355916,1.0472850343213798,-0.25846430549307076,5.056731205530704,2021-11-19,2022-07-26,478.0,47,810,1710,0.6785714285714286,0.9782795778142004,1.5,0.322728569640326,1081,629,29
switch_1.16,0.3,0.25,20,1.16,1.5,0.0,5.0,last_5y,2021-05-11,2026-05-15,1260,0.2535638960412221,0.19765049995034198,1.2428758395388744,-0.25846430549307076,2.0955111844815772,2021-11-19,2022-07-26,235.0,21,435,825,0.6547619047619048,0.9497190601134099,1.5,0.16133808712987358,462,363,13
switch_1.16,0.3,0.25,20,1.16,1.5,0.0,5.0,last_3y,2023-05-11,2026-05-15,756,0.3717794817304827,0.20479093136166296,1.6472917246171133,-0.24388952783226914,1.5813857479566482,2024-07-10,2024-12-19,145.0,13,214,542,0.716931216931217,1.0452385624172664,1.5,0.10150386928872018,295,247,9
