candidate,SWITCH_BUFFER,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,SCORE_MIN,SCORE_MAX,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,max_weight_full,max_weight_last_10y,max_weight_last_1y,max_weight_last_3y,max_weight_last_5y,trades_full,trades_last_10y,trades_last_1y,trades_last_3y,trades_last_5y,asset_switches_full,asset_switches_last_10y,asset_switches_last_1y,asset_switches_last_3y,asset_switches_last_5y,buffer_blocked_days_full,buffer_blocked_days_last_10y,buffer_blocked_days_last_1y,buffer_blocked_days_last_3y,buffer_blocked_days_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,decision_hint,stability_label
switch_1.10,1.1,0.3,0.25,20,1.5,0.0,5.0,0.19479732431740326,0.19265875894790252,0.7057302644235144,0.3585332663256757,0.24709398020609097,-0.2584643054930704,-0.2584643054930704,-0.11090903893083892,-0.21577949897426862,-0.2584643054930704,1.0408540909740398,1.0284862166430568,2.6322591804429205,1.610439062832043,1.2216940640810314,0.1880770173345236,0.18872374960810462,0.2116417838618898,0.20324326585235827,0.1966767952567775,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9701401400520907,0.9784524516874058,0.9790475810559318,1.0458148086612846,0.9500648078598208,1.5,1.5,1.5,1.5,1.5,508.0,475.0,68.0,142.0,232.0,50,49,4,15,23,25,23,5,6,9,0.34843016825577233,0.3286572076054789,0.03823366611799364,0.10743250725387313,0.1672667250950265,exploratory,pending
switch_1.11,1.11,0.3,0.25,20,1.5,0.0,5.0,0.20206092168235057,0.20050978275949993,0.8214001545347505,0.3885726771317852,0.26356673974225253,-0.2584643054930704,-0.25846430549307053,-0.11090903893083892,-0.2157794989742685,-0.2584643054930704,1.0733149145277943,1.0635012958018495,2.954911156500641,1.719757736281415,1.2890650776664152,0.1880312140594304,0.18867452976903704,0.21071846571644545,0.20303072895100416,0.1965692353596965,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9701401400520907,0.9784524516874058,0.9790475810559318,1.0458148086612846,0.9500648078598208,1.5,1.5,1.5,1.5,1.5,506.0,473.0,66.0,140.0,230.0,48,47,2,13,21,27,25,7,8,11,0.3424301682557723,0.3226572076054789,0.032233666117993644,0.10143250725387312,0.16126672509502651,exploratory,pending
switch_1.12,1.12,0.3,0.25,20,1.5,0.0,5.0,0.20206092168235035,0.2005097827594997,0.8214001545347456,0.3885726771317848,0.26356673974225187,-0.2584643054930704,-0.25846430549307053,-0.11090903893083892,-0.21577949897426818,-0.25846430549307065,1.0733149145277958,1.0635012958018482,2.954911156500633,1.7197577362814171,1.2890650776664128,0.18803121405943043,0.18867452976903717,0.21071846571644542,0.20303072895100413,0.1965692353596965,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9701401400520908,0.9784524516874058,0.9790475810559318,1.0458148086612846,0.9500648078598208,1.5,1.5,1.5,1.5,1.5,506.0,473.0,66.0,140.0,230.0,48,47,2,13,21,27,25,7,8,11,0.3424301682557723,0.3226572076054789,0.032233666117993644,0.10143250725387312,0.16126672509502651,exploratory,pending
switch_1.13,1.13,0.3,0.25,20,1.5,0.0,5.0,0.20319519807334085,0.2017361452252211,0.8214001545347487,0.3885726771317861,0.26274908695320476,-0.2584643054930701,-0.2584643054930701,-0.11090903893083892,-0.21577949897426807,-0.25846430549307,1.0785823151051692,1.0691799768523886,2.9549111565006365,1.7197577362814207,1.2857568833853052,0.18797892337289096,0.18861813932542393,0.21071846571644545,0.20303072895100416,0.19657136626031033,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9701401400520908,0.9784524516874058,0.9790475810559318,1.0458148086612846,0.9500648078598208,1.5,1.5,1.5,1.5,1.5,506.0,473.0,66.0,140.0,230.0,48,47,2,13,21,30,28,7,8,12,0.3424301682557723,0.3226572076054789,0.032233666117993644,0.10143250725387312,0.16126672509502651,exploratory,pending
switch_1.14,1.14,0.3,0.25,20,1.5,0.0,5.0,0.19914491181966243,0.19735747562467898,0.8214001545347502,0.3717794817304829,0.25356389604122254,-0.2584643054930701,-0.2584643054930701,-0.11090903893083903,-0.24388952783226903,-0.25846430549307,1.0582472067736295,1.0472850343213784,2.954911156500642,1.6472917246171142,1.2428758395388757,0.1884975252774766,0.18917749538355913,0.21071846571644542,0.2047909313616628,0.19765049995034184,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9699804471780153,0.9782795778142002,0.9790475810559318,1.0452385624172662,0.9497190601134099,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,31,29,7,9,13,0.34250153029061936,0.3227285696403259,0.03223366611799365,0.10150386928872017,0.16133808712987358,exploratory,pending
switch_1.15,1.15,0.3,0.25,20,1.5,0.0,5.0,0.19914491181966243,0.19735747562467898,0.8214001545347502,0.3717794817304829,0.25356389604122254,-0.2584643054930701,-0.2584643054930701,-0.11090903893083903,-0.24388952783226903,-0.25846430549307,1.0582472067736295,1.0472850343213784,2.954911156500642,1.6472917246171142,1.2428758395388757,0.1884975252774766,0.18917749538355913,0.21071846571644542,0.2047909313616628,0.19765049995034184,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9699804471780153,0.9782795778142002,0.9790475810559318,1.0452385624172662,0.9497190601134099,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,31,29,7,9,13,0.34250153029061936,0.3227285696403259,0.03223366611799365,0.10150386928872017,0.16133808712987358,exploratory,pending
switch_1.16,1.16,0.3,0.25,20,1.5,0.0,5.0,0.19914491181966265,0.19735747562467898,0.8214001545347498,0.3717794817304827,0.2535638960412221,-0.25846430549307087,-0.25846430549307076,-0.11090903893083892,-0.24388952783226914,-0.25846430549307076,1.058247206773631,1.0472850343213798,2.9549111565006374,1.6472917246171133,1.2428758395388744,0.18849752527747662,0.18917749538355916,0.21071846571644542,0.20479093136166296,0.19765049995034198,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9699804471780153,0.9782795778142004,0.9790475810559319,1.0452385624172664,0.9497190601134099,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,31,29,7,9,13,0.3425015302906194,0.322728569640326,0.03223366611799366,0.10150386928872018,0.16133808712987358,exploratory,pending
switch_1.17,1.17,0.3,0.25,20,1.5,0.0,5.0,0.1991449118196622,0.19735747562467876,0.8214001545347485,0.3717794817304809,0.2535638960412214,-0.25846430549307087,-0.25846430549307087,-0.11090903893083881,-0.24388952783226925,-0.25846430549307087,1.0582472067736275,1.0472850343213764,2.9549111565006396,1.6472917246171028,1.2428758395388706,0.18849752527747665,0.18917749538355919,0.2107184657164455,0.20479093136166296,0.19765049995034198,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9699804471780153,0.9782795778142004,0.9790475810559319,1.0452385624172664,0.9497190601134099,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,31,29,7,9,13,0.3425015302906194,0.322728569640326,0.03223366611799366,0.10150386928872018,0.16133808712987358,exploratory,pending
switch_1.18,1.18,0.3,0.25,20,1.5,0.0,5.0,0.1991449118196622,0.19735747562467876,0.8214001545347485,0.3717794817304809,0.2535638960412214,-0.25846430549307087,-0.25846430549307087,-0.11090903893083881,-0.24388952783226925,-0.25846430549307087,1.0582472067736275,1.0472850343213764,2.9549111565006396,1.6472917246171028,1.2428758395388706,0.18849752527747665,0.18917749538355919,0.2107184657164455,0.20479093136166296,0.19765049995034198,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9699804471780153,0.9782795778142004,0.9790475810559319,1.0452385624172664,0.9497190601134099,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,31,29,7,9,13,0.3425015302906194,0.322728569640326,0.03223366611799366,0.10150386928872018,0.16133808712987358,exploratory,pending
switch_1.19,1.19,0.3,0.25,20,1.5,0.0,5.0,0.19920812013281597,0.19742579928602577,0.8214001545347505,0.37177948173048225,0.2535638960412221,-0.25846430549307053,-0.2584643054930704,-0.11090903893083881,-0.24388952783226847,-0.25846430549307053,1.0586503378589733,1.0477176132795887,2.9549111565006387,1.6472917246171128,1.2428758395388755,0.18847076776051,0.18914863473441976,0.21071846571644542,0.20479093136166301,0.19765049995034198,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.970017448164984,0.978319632850887,0.9790475810559319,1.0452385624172664,0.9497190601134099,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,32,30,7,9,13,0.3425040356131918,0.3227310749628984,0.03223366611799366,0.10150386928872018,0.16133808712987358,exploratory,pending
switch_1.20,1.2,0.3,0.25,20,1.5,0.0,5.0,0.20034717154419823,0.19865708324367048,0.8214001545347507,0.3717794817304827,0.25614324030505675,-0.2584643054930711,-0.2584643054930712,-0.11090903893083881,-0.24388952783226836,-0.2584643054930712,1.0635551148730997,1.053010440245297,2.9549111565006383,1.6472917246171126,1.2529721405928524,0.1885000184805817,0.18918021457789774,0.2107184657164455,0.20479093136166296,0.1977089456614036,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9700532538751677,0.9783583939530223,0.9790475810559319,1.0452385624172662,0.9497965823176805,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,33,31,7,9,14,0.34250809157287176,0.32273513092257833,0.03223366611799366,0.10150386928872017,0.16134214308955352,exploratory,pending
switch_1.21,1.21,0.3,0.25,20,1.5,0.0,5.0,0.20105756626958016,0.19992913303906668,0.8214001545347493,0.37177948173048314,0.2561432403050574,-0.258464305493071,-0.25846430549307087,-0.11090903893083892,-0.24388952783226825,-0.258464305493071,1.066418880745272,1.0586118467660037,2.954911156500636,1.6472917246171117,1.2529721405928553,0.18855965473850747,0.18918226203675786,0.21071846571644545,0.20479093136166285,0.19770894566140354,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9700532538751677,0.9783583939530223,0.9790475810559319,1.0452385624172662,0.9497965823176805,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,35,32,7,9,14,0.34250809157287176,0.32273513092257833,0.03223366611799366,0.10150386928872017,0.16134214308955352,exploratory,pending
switch_1.22,1.22,0.3,0.25,20,1.5,0.0,5.0,0.20105756626958016,0.19992913303906668,0.8214001545347493,0.37177948173048314,0.2561432403050574,-0.258464305493071,-0.25846430549307087,-0.11090903893083892,-0.24388952783226825,-0.258464305493071,1.066418880745272,1.0586118467660037,2.954911156500636,1.6472917246171117,1.2529721405928553,0.18855965473850747,0.18918226203675786,0.21071846571644545,0.20479093136166285,0.19770894566140354,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9700532538751677,0.9783583939530223,0.9790475810559319,1.0452385624172662,0.9497965823176805,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,35,32,7,9,14,0.34250809157287176,0.32273513092257833,0.03223366611799366,0.10150386928872017,0.16134214308955352,exploratory,pending
switch_1.23,1.23,0.3,0.25,20,1.5,0.0,5.0,0.20127153337181425,0.20016054499723146,0.8214001545347487,0.3717794817304818,0.25614324030505675,-0.25846430549307076,-0.25846430549307076,-0.11090903893083903,-0.24388952783226936,-0.25846430549307076,1.0674094813156583,1.0596800420076116,2.9549111565006356,1.6472917246171068,1.2529721405928531,0.18854996379443623,0.1891718089390428,0.21071846571644554,0.20479093136166296,0.19770894566140362,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9700541421834601,0.9783593555819995,0.9790475810559319,1.0452385624172664,0.9497965823176808,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,36,33,7,9,14,0.34251293818291545,0.322739977532622,0.03223366611799366,0.10150386928872018,0.16134214308955355,exploratory,pending
switch_1.24,1.24,0.3,0.25,20,1.5,0.0,5.0,0.20127153337181425,0.20016054499723146,0.8214001545347476,0.37177948173048136,0.2561432403050563,-0.25846430549307087,-0.25846430549307087,-0.1109090389308387,-0.24388952783226858,-0.25846430549307087,1.0674094813156596,1.0596800420076122,2.954911156500636,1.647291724617105,1.2529721405928533,0.18854996379443623,0.18917180893904278,0.21071846571644545,0.20479093136166293,0.1977089456614036,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9700541421834601,0.9783593555819993,0.9790475810559319,1.0452385624172662,0.9497965823176805,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,36,33,7,9,14,0.3425129381829154,0.322739977532622,0.03223366611799366,0.10150386928872017,0.16134214308955352,exploratory,pending
switch_1.25,1.25,0.3,0.25,20,1.5,0.0,5.0,0.2035568797371763,0.2026324290309962,0.8214001545347516,0.37177948173048225,0.256143240305057,-0.25846430549307053,-0.2584643054930704,-0.11090903893083881,-0.24388952783226903,-0.2584643054930704,1.0774292273792079,1.07049191068157,2.954911156500643,1.6472917246171128,1.2529721405928524,0.1885654630418753,0.1891885634324829,0.21071846571644548,0.20479093136166293,0.1977089456614036,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9702183318061839,0.9785370973640588,0.9790475810559319,1.0452385624172662,0.9497965823176805,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,38,35,7,9,14,0.342716488204055,0.32294352755376154,0.03223366611799366,0.10150386928872017,0.16134214308955352,exploratory,pending
switch_1.26,1.26,0.3,0.25,20,1.5,0.0,5.0,0.20355687973717584,0.202632429030996,0.82140015453475,0.3717794817304825,0.256143240305057,-0.2584643054930712,-0.2584643054930711,-0.11090903893083892,-0.2438895278322687,-0.2584643054930712,1.0774292273792048,1.0704919106815693,2.9549111565006396,1.6472917246171142,1.2529721405928556,0.1885654630418753,0.18918856343248294,0.21071846571644556,0.20479093136166293,0.1977089456614036,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9702183318061839,0.9785370973640588,0.9790475810559319,1.0452385624172662,0.9497965823176805,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,38,35,7,9,14,0.342716488204055,0.32294352755376154,0.03223366611799366,0.10150386928872017,0.16134214308955352,exploratory,pending
switch_1.27,1.27,0.3,0.25,20,1.5,0.0,5.0,0.20294887473730383,0.20197475875990478,0.8214001545347491,0.3717794817304816,0.2561432403050563,-0.25846430549307065,-0.25846430549307065,-0.11090903893083892,-0.24388952783226936,-0.25846430549307076,1.0748223401398873,1.0676782168015961,2.954911156500635,1.647291724617106,1.252972140592851,0.18854951155976363,0.18917134448967785,0.2107184657164454,0.20479093136166296,0.19770894566140357,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9702305948916236,0.9785503726406779,0.9790475810559318,1.0452385624172662,0.9497965823176805,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,39,36,7,9,14,0.34271611957290504,0.32294315892261166,0.03223366611799365,0.10150386928872017,0.16134214308955352,exploratory,pending
switch_1.28,1.28,0.3,0.25,20,1.5,0.0,5.0,0.20294887473730383,0.20197475875990478,0.8214001545347491,0.3717794817304816,0.2561432403050563,-0.25846430549307065,-0.25846430549307065,-0.11090903893083892,-0.24388952783226936,-0.25846430549307076,1.0748223401398873,1.0676782168015961,2.954911156500635,1.647291724617106,1.252972140592851,0.18854951155976363,0.18917134448967785,0.2107184657164454,0.20479093136166296,0.19770894566140357,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9702305948916236,0.9785503726406779,0.9790475810559318,1.0452385624172662,0.9497965823176805,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,39,36,7,9,14,0.34271611957290504,0.32294315892261166,0.03223366611799365,0.10150386928872017,0.16134214308955352,exploratory,pending
switch_1.29,1.29,0.3,0.25,20,1.5,0.0,5.0,0.2029488747373045,0.201974758759905,0.82140015453475,0.3717794817304825,0.2561432403050572,-0.25846430549307053,-0.25846430549307053,-0.11090903893083881,-0.24388952783226825,-0.25846430549307053,1.0748223401398895,1.0676782168015988,2.9549111565006365,1.6472917246171137,1.252972140592857,0.18854951155976357,0.1891713444896778,0.21071846571644545,0.20479093136166301,0.19770894566140357,0.6730205278592375,0.6785714285714286,0.6865079365079365,0.716931216931217,0.6547619047619048,0.9702305948916236,0.9785503726406779,0.9790475810559318,1.0452385624172662,0.9497965823176805,1.5,1.5,1.5,1.5,1.5,511.0,478.0,66.0,145.0,235.0,48,47,2,13,21,39,36,7,9,14,0.34271611957290504,0.32294315892261166,0.03223366611799365,0.10150386928872017,0.16134214308955352,exploratory,pending
