candidate,TARGET_VOL,MAX_LEV,R2_THRESHOLD,VOL_WINDOW,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,pct_at_max_lev,pct_below_1x,avg_final_exposure,max_final_exposure,turnover_sum,cost_total,overheat_days,overheat_triggers,staged_initials,staged_fills
tv_30_lev_1p5,0.3,1.5,0.2,80,last_1y,2025-04-22,2026-05-08,252,1.03807480556427,0.2781854338899607,2.7003836199665137,-0.15278620896944528,1.03807480556427,2025-10-22,2025-12-16,77,19,229,0.9087301587301587,1.3622854514340257,1.483520920499415,0.0,0.0,1.0587350430043299,1.483520920499415,90.35242296134787,0.09035242296134788,4,2,38,27
tv_30_lev_1p75,0.3,1.75,0.2,80,full,2011-12-09,2026-05-08,3496,0.404877647156785,0.2879736468131493,1.324334796039688,-0.32576275204564553,110.73552896500257,2016-03-08,2016-12-05,751,740,2726,0.7797482837528604,1.5135108521511573,1.75,0.3149313501144165,0.02946224256292906,1.0569323820844334,1.75,878.7037242402912,0.8787037242402912,30,11,308,267
tv_30_lev_1p75,0.3,1.75,0.2,80,last_10y,2015-12-18,2026-05-08,2520,0.4414929348080887,0.29290049926172684,1.3950054479723588,-0.32576275204564553,37.736928430524635,2016-03-08,2016-12-05,602,225,2275,0.9027777777777778,1.5163124337080904,1.75,0.3253968253968254,0.040873015873015874,1.2220907614360608,1.75,725.9725766078293,0.7259725766078293,20,7,261,222
tv_30_lev_1p75,0.3,1.75,0.2,80,last_5y,2021-02-24,2026-05-08,1260,0.7534151106597986,0.30398886439945355,1.998636772664691,-0.21339882849934366,15.573862234932147,2022-03-22,2022-06-09,325,101,1141,0.9055555555555556,1.4602315379251714,1.75,0.04206349206349207,0.0,1.1778270764569745,1.75,390.2849967174572,0.39028499671745726,18,6,141,118
tv_30_lev_1p75,0.3,1.75,0.2,80,last_3y,2023-03-22,2026-05-08,756,1.2461208733143883,0.31273262631079946,2.7442165385258823,-0.18875677065980168,10.331812276551576,2024-07-15,2024-09-10,200,53,695,0.9193121693121693,1.3924714793627562,1.75,0.0701058201058201,0.0,1.1211087951677376,1.75,233.24490210812186,0.23324490210812188,8,4,89,73
tv_30_lev_1p75,0.3,1.75,0.2,80,last_1y,2025-04-22,2026-05-08,252,1.1624617292385437,0.2907770339477884,2.799788414317501,-0.15278620896944617,1.1624617292385437,2025-10-22,2025-12-16,78,19,229,0.9087301587301587,1.4228693574578681,1.687473188073781,0.0,0.0,1.1116890843928118,1.687473188073781,92.31056009962018,0.09231056009962019,4,2,38,27
tv_30_lev_2,0.3,2.0,0.2,80,full,2011-12-09,2026-05-08,3496,0.41815511585227294,0.301655391993483,1.3087250906285313,-0.34544330775839727,126.31096132859022,2016-03-08,2016-12-05,792,740,2726,0.7797482837528604,1.5949848442540662,2.0,0.1290045766590389,0.02946224256292906,1.111073582033891,2.0,920.9274506962292,0.9209274506962293,30,11,308,267
tv_30_lev_2,0.3,2.0,0.2,80,last_10y,2015-12-18,2026-05-08,2520,0.45593355483137543,0.3059457849467479,1.3808871833274166,-0.34544330775839727,41.79721939845882,2016-03-08,2016-12-05,637,225,2275,0.9027777777777778,1.5916604747174168,2.0,0.05793650793650794,0.040873015873015874,1.2828138111888245,2.0,757.9518156847894,0.7579518156847893,20,7,261,222
tv_30_lev_2,0.3,2.0,0.2,80,last_5y,2021-02-24,2026-05-08,1260,0.7793159761335333,0.31324292103009516,1.9954365155587126,-0.21339882849934355,16.834682862197386,2022-03-22,2022-06-09,341,101,1141,0.9055555555555556,1.499839334262534,2.0,0.06190476190476191,0.0,1.21177162633357,2.0,400.53771027339747,0.4005377102733975,18,6,141,118
tv_30_lev_2,0.3,2.0,0.2,80,last_3y,2023-03-22,2026-05-08,756,1.2949874620633857,0.32141214037728216,2.745628634900007,-0.20320623112631975,11.087624263205532,2024-07-15,2024-09-10,211,53,695,0.9193121693121693,1.425847931598568,1.9856738007105061,0.0,0.0,1.1502541850251404,1.9856738007105061,238.5102816249528,0.2385102816249528,8,4,89,73
