candidate,segment,r2_threshold,switch_buffer,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,held_day_avg_weight,holding_days,holding_day_ratio,avg_turnover,turnover_total,cost_total,trade_days,score_min,score_max
r2_0.010,full,0.01,1.0,2011-12-09,2026-09-02,3578,0.26432138780255254,0.22458740748758008,1.1561323457415855,-0.27402299660125273,0.698993851313583,1.0,2501,0.698993851313583,0.1679709334823924,601.0,0.601,391,0.5,5.0
r2_0.010,last_10y,0.01,1.0,2016-04-21,2026-09-02,2520,0.33271988245815676,0.2259494454374745,1.3834145298374418,-0.21416088101375685,0.794047619047619,1.0,2001,0.794047619047619,0.19960317460317462,503.0,0.503,312,0.5,5.0
r2_0.010,last_5y,0.01,1.0,2021-06-25,2026-09-02,1260,0.48148645853008576,0.25379635261785477,1.6741164121744851,-0.19719185006594409,0.8428571428571429,1.0,1062,0.8428571428571429,0.21428571428571427,270.0,0.27,159,0.5,5.0
r2_0.010,last_3y,0.01,1.0,2023-07-24,2026-09-02,756,0.6082243105222349,0.28160590333884095,1.8262839307063023,-0.16179995365228428,0.8756613756613757,1.0,662,0.8756613756613757,0.24074074074074073,182.0,0.18200000000000002,105,0.5,5.0
r2_0.010,last_1y,0.01,1.0,2025-08-20,2026-09-02,252,0.3844914818306906,0.3002254888767605,1.2340056410274545,-0.15868919725725517,0.8373015873015873,1.0,211,0.8373015873015873,0.30952380952380953,78.0,0.078,45,0.5,5.0
r2_0.025,full,0.025,1.0,2011-12-09,2026-09-02,3578,0.26432138780255254,0.22458740748758008,1.1561323457415855,-0.27402299660125273,0.698993851313583,1.0,2501,0.698993851313583,0.1679709334823924,601.0,0.601,391,0.5,5.0
r2_0.025,last_10y,0.025,1.0,2016-04-21,2026-09-02,2520,0.33271988245815676,0.2259494454374745,1.3834145298374418,-0.21416088101375685,0.794047619047619,1.0,2001,0.794047619047619,0.19960317460317462,503.0,0.503,312,0.5,5.0
r2_0.025,last_5y,0.025,1.0,2021-06-25,2026-09-02,1260,0.48148645853008576,0.25379635261785477,1.6741164121744851,-0.19719185006594409,0.8428571428571429,1.0,1062,0.8428571428571429,0.21428571428571427,270.0,0.27,159,0.5,5.0
r2_0.025,last_3y,0.025,1.0,2023-07-24,2026-09-02,756,0.6082243105222349,0.28160590333884095,1.8262839307063023,-0.16179995365228428,0.8756613756613757,1.0,662,0.8756613756613757,0.24074074074074073,182.0,0.18200000000000002,105,0.5,5.0
r2_0.025,last_1y,0.025,1.0,2025-08-20,2026-09-02,252,0.3844914818306906,0.3002254888767605,1.2340056410274545,-0.15868919725725517,0.8373015873015873,1.0,211,0.8373015873015873,0.30952380952380953,78.0,0.078,45,0.5,5.0
r2_0.050,full,0.05,1.0,2011-12-09,2026-09-02,3578,0.2606462250615351,0.2236460391197062,1.1470604272006921,-0.2694380993454244,0.6984348798211292,1.0,2499,0.6984348798211292,0.1679709334823924,601.0,0.601,392,0.5,5.0
r2_0.050,last_10y,0.05,1.0,2016-04-21,2026-09-02,2520,0.3327198824581561,0.2259494454374745,1.383414529837441,-0.21416088101375708,0.794047619047619,1.0,2001,0.794047619047619,0.19960317460317462,503.0,0.503,312,0.5,5.0
r2_0.050,last_5y,0.05,1.0,2021-06-25,2026-09-02,1260,0.48148645853008576,0.25379635261785477,1.674116412174484,-0.19719185006594442,0.8428571428571429,1.0,1062,0.8428571428571429,0.21428571428571427,270.0,0.27,159,0.5,5.0
r2_0.050,last_3y,0.05,1.0,2023-07-24,2026-09-02,756,0.6082243105222329,0.281605903338841,1.8262839307062988,-0.16179995365228417,0.8756613756613757,1.0,662,0.8756613756613757,0.24074074074074073,182.0,0.18200000000000002,105,0.5,5.0
r2_0.050,last_1y,0.05,1.0,2025-08-20,2026-09-02,252,0.38449148183068704,0.30022548887676054,1.234005641027452,-0.15868919725725572,0.8373015873015873,1.0,211,0.8373015873015873,0.30952380952380953,78.0,0.078,45,0.5,5.0
r2_0.075,full,0.075,1.0,2011-12-09,2026-09-02,3578,0.2669020541988385,0.22306883427474283,1.1716444842877753,-0.22769170502230562,0.6975964225824483,1.0,2496,0.6975964225824483,0.1679709334823924,601.0,0.601,392,0.5,5.0
r2_0.075,last_10y,0.075,1.0,2016-04-21,2026-09-02,2520,0.3318334675941568,0.2259432448312109,1.3804979622984712,-0.21416088101375597,0.7936507936507936,1.0,2000,0.7936507936507936,0.19960317460317462,503.0,0.503,312,0.5,5.0
r2_0.075,last_5y,0.075,1.0,2021-06-25,2026-09-02,1260,0.4795163897779895,0.2537876494731685,1.6689130722561272,-0.1971918500659442,0.8420634920634921,1.0,1061,0.8420634920634921,0.21428571428571427,270.0,0.27,159,0.5,5.0
r2_0.075,last_3y,0.075,1.0,2023-07-24,2026-09-02,756,0.6046615511554538,0.2815956201152036,1.8184485494099216,-0.16735830939729612,0.8743386243386243,1.0,661,0.8743386243386243,0.24074074074074073,182.0,0.18200000000000002,105,0.5,5.0
r2_0.075,last_1y,0.075,1.0,2025-08-20,2026-09-02,252,0.3844914818306866,0.3002254888767606,1.2340056410274487,-0.1586891972572555,0.8373015873015873,1.0,211,0.8373015873015873,0.30952380952380953,78.0,0.078,45,0.5,5.0
r2_0.100,full,0.1,1.0,2011-12-09,2026-09-02,3578,0.2656458093895835,0.22294796098985117,1.1677058860399414,-0.22769170502230507,0.6967579653437674,1.0,2493,0.6967579653437674,0.1679709334823924,601.0,0.601,392,0.5,5.0
r2_0.100,last_10y,0.1,1.0,2016-04-21,2026-09-02,2520,0.3315673390641469,0.22580117134000008,1.3803402005732812,-0.2141608810137562,0.7928571428571428,1.0,1998,0.7928571428571428,0.19960317460317462,503.0,0.503,312,0.5,5.0
