candidate,SWITCH_BUFFER,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,segment,start,end,rows,ann_return,max_dd,sharpe_repo,ann_vol,total_return,asset_switches,cash_days,holding_day_ratio,trades,turnover_sum,cost_total,avg_weight,max_weight,buffer_blocked_days,maxdd_start,maxdd_trough
switch_1.50,1.5,0.2,0.25,80,1.5,last_5y,2021-03-03,2026-05-15,1260,0.3180273932176254,-0.25306182446674785,1.220592128318901,0.2525635057847367,2.977609851053245,67,93,0.9261904761904762,801.0,261.40295105011154,0.2614029510501116,1.2126451972458678,1.5,16,2022-09-13,2022-12-29
switch_1.50,1.5,0.2,0.25,80,1.5,last_3y,2023-03-29,2026-05-15,756,0.4827024701183418,-0.19474584897334168,1.6436364202640925,0.2605679292349233,2.259582918229366,32,42,0.9444444444444444,493.0,118.2340635262739,0.1182340635262739,1.1937187964515343,1.5,12,2024-07-11,2024-08-05
switch_1.50,1.5,0.2,0.25,80,1.5,last_1y,2025-04-29,2026-05-15,252,0.5755201966791756,-0.19420906565125562,1.84459278935635,0.2659074781900679,0.5755201966791756,9,15,0.9404761904761905,212.0,25.270198242941873,0.025270198242941872,1.0117460011404125,1.5,2,2025-10-17,2025-11-21
switch_2.00,2.0,0.2,0.25,80,1.5,full,2015-07-13,2026-05-15,2632,0.24793071723460303,-0.2590651217748705,1.0509640450591067,0.23781548698552016,9.1077867358397,116,240,0.9088145896656535,1239.0,481.3767911536656,0.48137679115366566,1.2033848026589533,1.5,81,2022-09-13,2022-12-29
switch_2.00,2.0,0.2,0.25,80,1.5,last_10y,2015-12-25,2026-05-15,2520,0.26671018612394914,-0.2590651217748705,1.1005640534736782,0.24148366840275215,9.635860414288558,113,204,0.919047619047619,1225.0,460.8767911536656,0.46087679115366564,1.2211542859517321,1.5,79,2022-09-13,2022-12-29
switch_2.00,2.0,0.2,0.25,80,1.5,last_5y,2021-03-03,2026-05-15,1260,0.3163454485133328,-0.2590651217748704,1.2198316677432701,0.25144701648117773,2.9522952520949293,65,93,0.9261904761904762,777.0,255.44595481542862,0.25544595481542864,1.2140723890688667,1.5,34,2022-09-13,2022-12-29
switch_2.00,2.0,0.2,0.25,80,1.5,last_3y,2023-03-29,2026-05-15,756,0.5028774328323551,-0.19612714582179025,1.6978953641223204,0.2601508252962013,2.394459953731118,30,42,0.9444444444444444,489.0,112.08239670430925,0.11208239670430925,1.1937199033439843,1.5,25,2024-07-11,2024-08-05
switch_2.00,2.0,0.2,0.25,80,1.5,last_1y,2025-04-29,2026-05-15,252,0.5348016407719902,-0.18072300631697724,1.743374511047881,0.26637478715707513,0.5348016407719902,9,15,0.9404761904761905,212.0,25.252418940749365,0.025252418940749366,1.0105300868210263,1.5,4,2025-10-17,2025-11-21
switch_2.50,2.5,0.2,0.25,80,1.5,full,2015-07-13,2026-05-15,2632,0.2590797947870649,-0.256239470126275,1.090495757483671,0.23722570306478852,10.091764987683629,113,240,0.9088145896656535,1221.0,473.6118056510526,0.4736118056510526,1.2050125807073486,1.5,119,2022-09-13,2023-02-22
switch_2.50,2.5,0.2,0.25,80,1.5,last_10y,2015-12-25,2026-05-15,2520,0.2785323517188443,-0.2562394701262751,1.1413224381605986,0.24087460394025975,10.67124586619959,110,204,0.919047619047619,1207.0,453.1118056510526,0.4531118056510526,1.2228544096911673,1.5,117,2022-09-13,2023-02-22
switch_2.50,2.5,0.2,0.25,80,1.5,last_5y,2021-03-03,2026-05-15,1260,0.3407521296083893,-0.2562394701262751,1.2950129284102148,0.250950176051724,3.3325389651441233,62,93,0.9261904761904762,762.0,247.21455849474745,0.24721455849474747,1.2173078264608315,1.5,55,2022-09-13,2023-02-22
switch_2.50,2.5,0.2,0.25,80,1.5,last_3y,2023-03-29,2026-05-15,756,0.5284756126584416,-0.19612714582179025,1.7644178293886488,0.2598912918049114,2.5708823475176934,29,42,0.9444444444444444,483.0,109.07643554507625,0.10907643554507626,1.1942547273892417,1.5,41,2024-07-11,2024-08-05
switch_2.50,2.5,0.2,0.25,80,1.5,last_1y,2025-04-29,2026-05-15,252,0.5554686415659291,-0.18072300631697735,1.7942879252703436,0.2662688207392416,0.5554686415659291,9,15,0.9404761904761905,212.0,25.25492792249575,0.025254927922495753,1.0108563504253432,1.5,5,2025-10-17,2025-11-21
switch_3.00,3.0,0.2,0.25,80,1.5,full,2015-07-13,2026-05-15,2632,0.2666946711575189,-0.25623947012627524,1.1143288972626626,0.23765645089044332,10.812760806723576,111,240,0.9088145896656535,1235.0,466.87904681701724,0.46687904681701725,1.2031944535196832,1.5,145,2022-09-13,2023-02-22
switch_3.00,3.0,0.2,0.25,80,1.5,last_10y,2015-12-25,2026-05-15,2520,0.28674925827313213,-0.2562394701262751,1.166218839123005,0.2413196929705711,11.443405839653014,108,204,0.919047619047619,1221.0,446.3790468170173,0.44637904681701734,1.220955476850717,1.5,142,2022-09-13,2023-02-22
switch_3.00,3.0,0.2,0.25,80,1.5,last_5y,2021-03-03,2026-05-15,1260,0.34368536171501507,-0.2562394701262751,1.3035802776237573,0.25098641165242924,3.3801393727098326,62,93,0.9261904761904762,763.0,247.25205205642987,0.24725205205642986,1.217446209230719,1.5,62,2022-09-13,2023-02-22
switch_3.00,3.0,0.2,0.25,80,1.5,last_3y,2023-03-29,2026-05-15,756,0.5340528832442373,-0.19612714582179036,1.778160823268839,0.2599420963098433,2.6101146444407033,29,42,0.9444444444444444,484.0,109.11392910675852,0.10911392910675854,1.1944853653390533,1.5,48,2024-07-11,2024-08-05
switch_3.00,3.0,0.2,0.25,80,1.5,last_1y,2025-04-29,2026-05-15,252,0.5694964593367491,-0.18072300631697735,1.828119400629746,0.2662602488047765,0.5694964593367491,9,15,0.9404761904761905,212.0,25.274758133876375,0.02527475813387637,1.0108102134978307,1.5,8,2025-10-17,2025-11-21
