candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,cost_total,qqq_days,gld_days
r2_0.30_tv_20_vw_20,0.3,0.2,20,1.5,last_1y,2025-05-15,2026-05-15,252,0.6397256013662769,0.23107038471971655,2.259552748981685,-0.1537720606920855,0.6397256013662769,2025-05-15,2026-03-30,160,36,216,0.8571428571428571,0.9768061142350053,1.5,0.0,117,99
r2_0.30_tv_25_vw_20,0.3,0.25,20,1.5,full,2015-07-13,2026-05-15,2728,0.29472127549033056,0.22628070776314027,1.2551487643655699,-0.2097576665811003,15.381467146792787,2015-07-13,2022-05-13,950,382,2346,0.8599706744868035,1.190265657724512,1.5,0.0,1356,990
r2_0.30_tv_25_vw_20,0.3,0.25,20,1.5,last_10y,2016-05-09,2026-05-15,2520,0.29475992487924096,0.22746005084550489,1.2499775551226735,-0.2097576665811004,12.240137262549936,2016-05-09,2022-05-13,905,343,2177,0.8638888888888889,1.1911479370629086,1.5,0.0,1280,897
r2_0.30_tv_25_vw_20,0.3,0.25,20,1.5,last_5y,2021-05-11,2026-05-15,1260,0.367879872876129,0.24708892359709966,1.3918817511860215,-0.2097576665811003,3.7889444203257483,2021-05-11,2022-05-13,532,173,1087,0.8626984126984127,1.1641399416273597,1.5,0.0,587,500
r2_0.30_tv_25_vw_20,0.3,0.25,20,1.5,last_3y,2023-05-11,2026-05-15,756,0.5005349255603349,0.2530024617747039,1.7315752629333432,-0.19027154989128625,2.378612035339425,2023-05-11,2026-03-30,286,95,661,0.8743386243386243,1.1863255117069929,1.5,0.0,368,293
r2_0.30_tv_25_vw_20,0.3,0.25,20,1.5,last_1y,2025-05-15,2026-05-15,252,0.7354308656405888,0.2689829729430923,2.1889560619209583,-0.19027154989128625,0.7354308656405888,2025-05-15,2026-03-30,124,36,216,0.8571428571428571,1.0925894197384178,1.5,0.0,117,99
r2_0.30_tv_30_vw_20,0.3,0.3,20,1.5,full,2015-07-13,2026-05-15,2728,0.30935913382802616,0.2424574977310137,1.2334898305817381,-0.22935656902054447,17.501535282591686,2015-07-13,2022-05-13,748,382,2346,0.8599706744868035,1.2364470776969567,1.5,0.0,1356,990
r2_0.30_tv_30_vw_20,0.3,0.3,20,1.5,last_10y,2016-05-09,2026-05-15,2520,0.30901937922163714,0.24458498748564417,1.2238483753255245,-0.22935656902054435,13.772730008816083,2016-05-09,2022-05-13,708,343,2177,0.8638888888888889,1.2393412726014161,1.5,0.0,1280,897
r2_0.30_tv_30_vw_20,0.3,0.3,20,1.5,last_5y,2021-05-11,2026-05-15,1260,0.3839480328336038,0.2688151168755927,1.343693619684269,-0.22935656902054447,4.076903557381989,2021-05-11,2022-05-13,412,173,1087,0.8626984126984127,1.2263908506921952,1.5,0.0,587,500
r2_0.30_tv_30_vw_20,0.3,0.3,20,1.5,last_3y,2023-05-11,2026-05-15,756,0.5319548079134133,0.27558809086921277,1.6865739302829914,-0.22565385484571032,2.5953225766509447,2023-05-11,2026-03-30,224,95,661,0.8743386243386243,1.236341257317768,1.5,0.0,368,293
r2_0.30_tv_30_vw_20,0.3,0.3,20,1.5,last_1y,2025-05-15,2026-05-15,252,0.7861323602871646,0.3028898182198891,2.073013612967483,-0.22565385484571032,0.7861323602871646,2025-05-15,2026-03-30,104,36,216,0.8571428571428571,1.1762498276138558,1.5,0.0,117,99
r2_0.30_no_tv_vw_40,0.3,,40,1.5,full,2015-07-13,2026-05-15,2728,0.22868072775057557,0.1810745381215321,1.2284551056988224,-0.16742622658789652,8.294224694808834,2015-07-13,2022-05-13,275,382,2346,0.8599706744868035,0.8599706744868035,1.0,0.0,1356,990
r2_0.30_no_tv_vw_40,0.3,,40,1.5,last_10y,2016-05-09,2026-05-15,2520,0.22977063566427125,0.18371341463359844,1.218284720314118,-0.16742622658789663,6.911178578764063,2016-05-09,2022-05-13,255,343,2177,0.8638888888888889,0.8638888888888889,1.0,0.0,1280,897
r2_0.30_no_tv_vw_40,0.3,,40,1.5,last_5y,2021-05-11,2026-05-15,1260,0.2614271829624044,0.1935937389187878,1.2968920165355367,-0.16742622658789663,2.1938236144970515,2021-05-11,2022-05-13,128,173,1087,0.8626984126984127,0.8626984126984127,1.0,0.0,587,500
r2_0.30_no_tv_vw_40,0.3,,40,1.5,last_3y,2023-05-11,2026-05-15,756,0.34954844238460536,0.20124741717598052,1.5909687710724387,-0.16186179280339452,1.45790693445809,2023-05-11,2026-03-30,73,95,661,0.8743386243386243,0.8743386243386243,1.0,0.0,368,293
r2_0.30_no_tv_vw_40,0.3,,40,1.5,last_1y,2025-05-15,2026-05-15,252,0.5060380692294328,0.231215998115817,1.8898593187215538,-0.16186179280339452,0.5060380692294328,2025-05-15,2026-03-30,21,36,216,0.8571428571428571,0.8571428571428571,1.0,0.0,117,99
r2_0.30_tv_15_vw_40,0.3,0.15,40,1.5,full,2015-07-13,2026-05-15,2728,0.20217823236778232,0.16528420606876382,1.1970969247794314,-0.16386460978826833,6.339976057396489,2015-07-13,2016-12-30,2166,382,2346,0.8599706744868035,0.9096307718893538,1.5,0.0,1356,990
r2_0.30_tv_15_vw_40,0.3,0.15,40,1.5,last_10y,2016-05-09,2026-05-15,2520,0.20149505276095514,0.16470763156125284,1.197285257476602,-0.16386460978826822,5.2693117904789935,2016-05-09,2016-12-30,1995,343,2177,0.8638888888888889,0.9081707216313272,1.5,0.0,1280,897
r2_0.30_tv_15_vw_40,0.3,0.15,40,1.5,last_5y,2021-05-11,2026-05-15,1260,0.24720230687315659,0.16888565930564184,1.3929769052160506,-0.1450301218985528,2.0177588160921998,2021-05-11,2022-05-13,1093,173,1087,0.8626984126984127,0.8276719687130749,1.5,0.0,587,500
r2_0.30_tv_15_vw_40,0.3,0.15,40,1.5,last_3y,2023-05-11,2026-05-15,756,0.3354442346300395,0.17614127302751698,1.7311567554956708,-0.14290674370443657,1.3816463436425823,2023-05-11,2024-11-15,672,95,661,0.8743386243386243,0.8462856587670093,1.5,0.0,368,293
r2_0.30_tv_15_vw_40,0.3,0.15,40,1.5,last_1y,2025-05-15,2026-05-15,252,0.5253913886660035,0.17474725419859694,2.5065168039481525,-0.09536652177920824,0.5253913886660035,2025-05-15,2025-11-07,215,36,216,0.8571428571428571,0.7075781937734537,1.5,0.0,117,99
r2_0.30_tv_20_vw_40,0.3,0.2,40,1.5,full,2015-07-13,2026-05-15,2728,0.25935560864885576,0.20309836622999491,1.2374810120237925,-0.18818019490343263,11.137967274823033,2015-07-13,2022-05-13,1454,382,2346,0.8599706744868035,1.0943140648121275,1.5,0.0,1356,990
r2_0.30_tv_20_vw_40,0.3,0.2,40,1.5,last_10y,2016-05-09,2026-05-15,2520,0.2581338168967535,0.2030065580249917,1.23320205081031,-0.18818019490343263,8.937299001680353,2016-05-09,2022-05-13,1363,343,2177,0.8638888888888889,1.0918469224647773,1.5,0.0,1280,897
r2_0.30_tv_20_vw_40,0.3,0.2,40,1.5,last_5y,2021-05-11,2026-05-15,1260,0.3199039885406403,0.21407344830243935,1.404246439561842,-0.1881801949034324,3.006007021524777,2021-05-11,2022-05-13,799,173,1087,0.8626984126984127,1.0337243311940465,1.5,0.0,587,500
r2_0.30_tv_20_vw_40,0.3,0.2,40,1.5,last_3y,2023-05-11,2026-05-15,756,0.43749756449416477,0.2228316600148138,1.7410977149062294,-0.16847005010767546,1.9704438861671405,2023-05-11,2024-12-19,480,95,661,0.8743386243386243,1.06294637643023,1.5,0.0,368,293
r2_0.30_tv_20_vw_40,0.3,0.2,40,1.5,last_1y,2025-05-15,2026-05-15,252,0.6906774538388056,0.22356260811229772,2.464627129336833,-0.12589745025475085,0.6906774538388056,2025-05-15,2025-11-07,170,36,216,0.8571428571428571,0.8762416585028325,1.5,0.0,117,99
r2_0.30_tv_25_vw_40,0.3,0.25,40,1.5,full,2015-07-13,2026-05-15,2728,0.2929892310521378,0.22758171719730808,1.2434673544076016,-0.21050470951765066,15.145784826651276,2015-07-13,2022-05-13,1031,382,2346,0.8599706744868035,1.1842131497494859,1.5,0.0,1356,990
r2_0.30_tv_25_vw_40,0.3,0.25,40,1.5,last_10y,2016-05-09,2026-05-15,2520,0.2913709764501091,0.22864315591812084,1.2333093656182668,-0.21050470951765077,11.897638914437426,2016-05-09,2022-05-13,973,343,2177,0.8638888888888889,1.1838634270862005,1.5,0.0,1280,897
r2_0.30_tv_25_vw_40,0.3,0.25,40,1.5,last_5y,2021-05-11,2026-05-15,1260,0.3606431906952974,0.24629767518724438,1.3741480361661664,-0.21050470951765066,3.6635996704966933,2021-05-11,2022-05-13,597,173,1087,0.8626984126984127,1.1491778445028695,1.5,0.0,587,500
r2_0.30_tv_25_vw_40,0.3,0.25,40,1.5,last_3y,2023-05-11,2026-05-15,756,0.4964193698323571,0.2534074764448826,1.7184714334821143,-0.17659602689223963,2.350888394567254,2023-05-11,2024-12-19,301,95,661,0.8743386243386243,1.1666838085398379,1.5,0.0,368,293
r2_0.30_tv_25_vw_40,0.3,0.25,40,1.5,last_1y,2025-05-15,2026-05-15,252,0.7900215467474045,0.2657884227046682,2.3286524176578105,-0.1558108758810366,0.7900215467474045,2025-05-15,2025-11-07,158,36,216,0.8571428571428571,1.006026516113914,1.5,0.0,117,99
r2_0.30_tv_30_vw_40,0.3,0.3,40,1.5,full,2015-07-13,2026-05-15,2728,0.3128891782450578,0.24498993848363082,1.234248787172265,-0.23229322923562368,18.048718254580713,2015-07-13,2022-05-13,726,382,2346,0.8599706744868035,1.234463262074422,1.5,0.0,1356,990
r2_0.30_tv_30_vw_40,0.3,0.3,40,1.5,last_10y,2016-05-09,2026-05-15,2520,0.31151838158145817,0.24708507564604568,1.2216694543987479,-0.23229322923562357,14.057186103494281,2016-05-09,2022-05-13,706,343,2177,0.8638888888888889,1.2357602297377077,1.5,0.0,1280,897
r2_0.30_tv_30_vw_40,0.3,0.3,40,1.5,last_5y,2021-05-11,2026-05-15,1260,0.39049964815352967,0.26942446162007283,1.3587144302808882,-0.23229322923562357,4.198217135704349,2021-05-11,2022-05-13,435,173,1087,0.8626984126984127,1.223869879922547,1.5,0.0,587,500
r2_0.30_tv_30_vw_40,0.3,0.3,40,1.5,last_3y,2023-05-11,2026-05-15,756,0.5418925187429031,0.2745293841992551,1.7153937520577447,-0.18167879340220705,2.665745446247932,2023-05-11,2026-03-30,232,95,661,0.8743386243386243,1.2225548314005963,1.5,0.0,368,293
r2_0.30_tv_30_vw_40,0.3,0.3,40,1.5,last_1y,2025-05-15,2026-05-15,252,0.8678554650867165,0.29658593644008185,2.261116141473401,-0.18167879340220716,0.8678554650867165,2025-05-15,2026-03-30,125,36,216,0.8571428571428571,1.1069459208684076,1.5,0.0,117,99
r2_0.30_no_tv_vw_60,0.3,,60,1.5,full,2015-07-13,2026-05-15,2728,0.22868072775057557,0.1810745381215321,1.2284551056988224,-0.16742622658789652,8.294224694808834,2015-07-13,2022-05-13,275,382,2346,0.8599706744868035,0.8599706744868035,1.0,0.0,1356,990
r2_0.30_no_tv_vw_60,0.3,,60,1.5,last_10y,2016-05-09,2026-05-15,2520,0.22977063566427125,0.18371341463359844,1.218284720314118,-0.16742622658789663,6.911178578764063,2016-05-09,2022-05-13,255,343,2177,0.8638888888888889,0.8638888888888889,1.0,0.0,1280,897
r2_0.30_no_tv_vw_60,0.3,,60,1.5,last_5y,2021-05-11,2026-05-15,1260,0.2614271829624044,0.1935937389187878,1.2968920165355367,-0.16742622658789663,2.1938236144970515,2021-05-11,2022-05-13,128,173,1087,0.8626984126984127,0.8626984126984127,1.0,0.0,587,500
r2_0.30_no_tv_vw_60,0.3,,60,1.5,last_3y,2023-05-11,2026-05-15,756,0.34954844238460536,0.20124741717598052,1.5909687710724387,-0.16186179280339452,1.45790693445809,2023-05-11,2026-03-30,73,95,661,0.8743386243386243,0.8743386243386243,1.0,0.0,368,293
r2_0.30_no_tv_vw_60,0.3,,60,1.5,last_1y,2025-05-15,2026-05-15,252,0.5060380692294328,0.231215998115817,1.8898593187215538,-0.16186179280339452,0.5060380692294328,2025-05-15,2026-03-30,21,36,216,0.8571428571428571,0.8571428571428571,1.0,0.0,117,99
r2_0.30_tv_15_vw_60,0.3,0.15,60,1.5,full,2015-07-13,2026-05-15,2728,0.19294245837804724,0.16368831888594323,1.1600194087540598,-0.1726489812320562,5.7520624181912465,2015-07-13,2016-12-30,2226,382,2346,0.8599706744868035,0.8915015205089928,1.5,0.0,1356,990
r2_0.30_tv_15_vw_60,0.3,0.15,60,1.5,last_10y,2016-05-09,2026-05-15,2520,0.18955802731005833,0.16331871857147204,1.144891792458266,-0.1726489812320562,4.673568728548357,2016-05-09,2016-12-30,2064,343,2177,0.8638888888888889,0.8891799445107491,1.5,0.0,1280,897
r2_0.30_tv_15_vw_60,0.3,0.15,60,1.5,last_5y,2021-05-11,2026-05-15,1260,0.2412701427572097,0.1661321196366071,1.3845188237580757,-0.14241730849361545,1.9466702976938617,2021-05-11,2022-05-13,1108,173,1087,0.8626984126984127,0.802815353365493,1.5,0.0,587,500
r2_0.30_tv_15_vw_60,0.3,0.15,60,1.5,last_3y,2023-05-11,2026-05-15,756,0.3135511060519356,0.17241220247772196,1.6687705324758308,-0.12334274893960218,1.26642276275986,2023-05-11,2024-12-19,683,95,661,0.8743386243386243,0.8063202064934756,1.4877416507166947,0.0,368,293
r2_0.30_tv_15_vw_60,0.3,0.15,60,1.5,last_1y,2025-05-15,2026-05-15,252,0.4448015831177603,0.1701292079607777,2.250381461152608,-0.1040087690289262,0.4448015831177603,2025-05-15,2025-11-07,222,36,216,0.8571428571428571,0.636281094286389,1.4877416507166947,0.0,117,99
r2_0.30_tv_20_vw_60,0.3,0.2,60,1.5,full,2015-07-13,2026-05-15,2728,0.2508891523261225,0.20399429401860775,1.1998288105545283,-0.18068058848023827,10.283202281751132,2015-07-13,2022-05-13,1574,382,2346,0.8599706744868035,1.0852583008050176,1.5,0.0,1356,990
r2_0.30_tv_20_vw_60,0.3,0.2,60,1.5,last_10y,2016-05-09,2026-05-15,2520,0.2457955901834219,0.2038337649485304,1.1806215643768103,-0.18068058848023838,8.0046718837726,2016-05-09,2022-05-13,1463,343,2177,0.8638888888888889,1.0813038375193023,1.5,0.0,1280,897
r2_0.30_tv_20_vw_60,0.3,0.2,60,1.5,last_5y,2021-05-11,2026-05-15,1260,0.30679572416907863,0.21370636839091026,1.3594602422677629,-0.18068058848023827,2.8109962723745707,2021-05-11,2022-05-13,856,173,1087,0.8626984126984127,1.0140592146739793,1.5,0.0,587,500
r2_0.30_tv_20_vw_60,0.3,0.2,60,1.5,last_3y,2023-05-11,2026-05-15,756,0.40147136372950776,0.2236822028920011,1.621579530365906,-0.16281284541573304,1.7526607145420203,2023-05-11,2024-12-19,534,95,661,0.8743386243386243,1.0346675370013367,1.5,0.0,368,293
r2_0.30_tv_20_vw_60,0.3,0.2,60,1.5,last_1y,2025-05-15,2026-05-15,252,0.5522332258774372,0.21947998188972567,2.116513200452532,-0.13712195658550663,0.5522332258774372,2025-05-15,2025-11-07,187,36,216,0.8571428571428571,0.8025222660931723,1.5,0.0,117,99
r2_0.30_tv_25_vw_60,0.3,0.25,60,1.5,full,2015-07-13,2026-05-15,2728,0.2839691446297794,0.22932451053154704,1.205172063440696,-0.19442134421017476,13.967404090374346,2015-07-13,2022-05-13,996,382,2346,0.8599706744868035,1.1792389978401505,1.5,0.0,1356,990
r2_0.30_tv_25_vw_60,0.3,0.25,60,1.5,last_10y,2016-05-09,2026-05-15,2520,0.2803390600925235,0.23027841678777214,1.188862811500918,-0.19442134421017476,10.837226284680915,2016-05-09,2022-05-13,936,343,2177,0.8638888888888889,1.1764276006060057,1.5,0.0,1280,897
r2_0.30_tv_25_vw_60,0.3,0.25,60,1.5,last_5y,2021-05-11,2026-05-15,1260,0.3521456386294066,0.24698726609512842,1.3454652003967986,-0.19442134421017487,3.519780648145301,2021-05-11,2022-05-13,614,173,1087,0.8626984126984127,1.1374144544696383,1.5,0.0,587,500
r2_0.30_tv_25_vw_60,0.3,0.25,60,1.5,last_3y,2023-05-11,2026-05-15,756,0.45954504488314796,0.25622392227627083,1.6046609376042922,-0.16845582093027112,2.1092275595152,2023-05-11,2025-11-07,317,95,661,0.8743386243386243,1.1515729703028472,1.5,0.0,368,293
r2_0.30_tv_25_vw_60,0.3,0.25,60,1.5,last_1y,2025-05-15,2026-05-15,252,0.6170084534539162,0.26043899456110725,1.980214975192957,-0.16845582093027123,0.6170084534539162,2025-05-15,2025-11-07,169,36,216,0.8571428571428571,0.9316075549986286,1.5,0.0,117,99
r2_0.30_tv_30_vw_60,0.3,0.3,60,1.5,full,2015-07-13,2026-05-15,2728,0.3012672207412008,0.2466030648786162,1.1917602390877795,-0.22755471769573,16.300658636922705,2015-07-13,2022-05-13,759,382,2346,0.8599706744868035,1.2285086528319078,1.5,0.0,1356,990
r2_0.30_tv_30_vw_60,0.3,0.3,60,1.5,last_10y,2016-05-09,2026-05-15,2520,0.29895489151492827,0.248816050010251,1.1762464049778394,-0.22755471769573,12.675420746302848,2016-05-09,2022-05-13,739,343,2177,0.8638888888888889,1.2293141289386684,1.5,0.0,1280,897
r2_0.30_tv_30_vw_60,0.3,0.3,60,1.5,last_5y,2021-05-11,2026-05-15,1260,0.37457456624056484,0.2700265997933323,1.313627520595029,-0.2275547176957301,3.9072876923601694,2021-05-11,2022-05-13,473,173,1087,0.8626984126984127,1.218099014178192,1.5,0.0,587,500
r2_0.30_tv_30_vw_60,0.3,0.3,60,1.5,last_3y,2023-05-11,2026-05-15,756,0.49577327411840133,0.275472249954444,1.6001578812900283,-0.1901360773271893,2.3465499182404086,2023-05-11,2026-03-30,242,95,661,0.8743386243386243,1.2116405444891196,1.5,0.0,368,293
r2_0.30_tv_30_vw_60,0.3,0.3,60,1.5,last_1y,2025-05-15,2026-05-15,252,0.6904532772453624,0.29360581428185367,1.9408099974686854,-0.1901360773271893,0.6904532772453624,2025-05-15,2026-03-30,152,36,216,0.8571428571428571,1.0457724618720152,1.5,0.0,117,99
r2_0.30_no_tv_vw_80,0.3,,80,1.5,full,2015-07-13,2026-05-15,2728,0.22868072775057557,0.1810745381215321,1.2284551056988224,-0.16742622658789652,8.294224694808834,2015-07-13,2022-05-13,275,382,2346,0.8599706744868035,0.8599706744868035,1.0,0.0,1356,990
r2_0.30_no_tv_vw_80,0.3,,80,1.5,last_10y,2016-05-09,2026-05-15,2520,0.22977063566427125,0.18371341463359844,1.218284720314118,-0.16742622658789663,6.911178578764063,2016-05-09,2022-05-13,255,343,2177,0.8638888888888889,0.8638888888888889,1.0,0.0,1280,897
r2_0.30_no_tv_vw_80,0.3,,80,1.5,last_5y,2021-05-11,2026-05-15,1260,0.2614271829624044,0.1935937389187878,1.2968920165355367,-0.16742622658789663,2.1938236144970515,2021-05-11,2022-05-13,128,173,1087,0.8626984126984127,0.8626984126984127,1.0,0.0,587,500
r2_0.30_no_tv_vw_80,0.3,,80,1.5,last_3y,2023-05-11,2026-05-15,756,0.34954844238460536,0.20124741717598052,1.5909687710724387,-0.16186179280339452,1.45790693445809,2023-05-11,2026-03-30,73,95,661,0.8743386243386243,0.8743386243386243,1.0,0.0,368,293
r2_0.30_no_tv_vw_80,0.3,,80,1.5,last_1y,2025-05-15,2026-05-15,252,0.5060380692294328,0.231215998115817,1.8898593187215538,-0.16186179280339452,0.5060380692294328,2025-05-15,2026-03-30,21,36,216,0.8571428571428571,0.8571428571428571,1.0,0.0,117,99
r2_0.30_tv_15_vw_80,0.3,0.15,80,1.5,full,2015-07-13,2026-05-15,2728,0.18851217288824507,0.1631066679119629,1.1407410880622375,-0.17438151187982043,5.485509553304847,2015-07-13,2016-12-30,2272,382,2346,0.8599706744868035,0.8811652539025386,1.5,0.0,1356,990
r2_0.30_tv_15_vw_80,0.3,0.15,80,1.5,last_10y,2016-05-09,2026-05-15,2520,0.18604421768762003,0.16256359675911133,1.131234777118593,-0.1743815118798202,4.508188643182661,2016-05-09,2016-12-30,2101,343,2177,0.8638888888888889,0.876598953388151,1.5,0.0,1280,897
r2_0.30_tv_15_vw_80,0.3,0.15,80,1.5,last_5y,2021-05-11,2026-05-15,1260,0.22906736150095353,0.163991511400083,1.340092339501396,-0.14028810460776575,1.8046484334582567,2021-05-11,2022-05-13,1111,173,1087,0.8626984126984127,0.789669556785697,1.5,0.0,587,500
r2_0.30_tv_15_vw_80,0.3,0.15,80,1.5,last_3y,2023-05-11,2026-05-15,756,0.30431747723533875,0.16910148455980273,1.6562501265370013,-0.11541141267558941,1.218962388441318,2023-05-11,2025-11-07,683,95,661,0.8743386243386243,0.7873899082255754,1.4249665028375833,0.0,368,293
r2_0.30_tv_15_vw_80,0.3,0.15,80,1.5,last_1y,2025-05-15,2026-05-15,252,0.3949955213653624,0.1655978808320196,2.0951390642657777,-0.11541141267558941,0.3949955213653624,2025-05-15,2025-11-07,222,36,216,0.8571428571428571,0.5931017951608641,1.4249665028375833,0.0,117,99
r2_0.30_tv_20_vw_80,0.3,0.2,80,1.5,full,2015-07-13,2026-05-15,2728,0.24566685493719476,0.204434605133507,1.1771752003721203,-0.18762211123912176,9.783593799473683,2015-07-13,2020-03-16,1562,382,2346,0.8599706744868035,1.0784908842253846,1.5,0.0,1356,990
r2_0.30_tv_20_vw_80,0.3,0.2,80,1.5,last_10y,2016-05-09,2026-05-15,2520,0.2403727817922694,0.20423304818742358,1.157302762518523,-0.18762211123912176,7.620297950857756,2016-05-09,2020-03-16,1457,343,2177,0.8638888888888889,1.0727755895269626,1.5,0.0,1280,897
r2_0.30_tv_20_vw_80,0.3,0.2,80,1.5,last_5y,2021-05-11,2026-05-15,1260,0.29187597302732304,0.21187587319562157,1.315026572479336,-0.1799822134365876,2.598355815500091,2021-05-11,2022-05-13,866,173,1087,0.8626984126984127,1.0042617428273048,1.5,0.0,587,500
r2_0.30_tv_20_vw_80,0.3,0.2,80,1.5,last_3y,2023-05-11,2026-05-15,756,0.3915912870911673,0.22040820161671212,1.6100557463421385,-0.15195475040648365,1.6948531406474912,2023-05-11,2025-11-07,543,95,661,0.8743386243386243,1.0173535134894187,1.5,0.0,368,293
r2_0.30_tv_20_vw_80,0.3,0.2,80,1.5,last_1y,2025-05-15,2026-05-15,252,0.48972187449467564,0.2145043157281098,1.9684597105218533,-0.15195475040648365,0.48972187449467564,2025-05-15,2025-11-07,190,36,216,0.8571428571428571,0.7609498437601482,1.5,0.0,117,99
r2_0.30_tv_25_vw_80,0.3,0.25,80,1.5,full,2015-07-13,2026-05-15,2728,0.2718877321016917,0.2301614393043842,1.160442436552569,-0.20104754608331166,12.511372705349888,2015-07-13,2022-05-13,1007,382,2346,0.8599706744868035,1.175630082930221,1.5,0.0,1356,990
r2_0.30_tv_25_vw_80,0.3,0.25,80,1.5,last_10y,2016-05-09,2026-05-15,2520,0.2672367335881167,0.23113436847600344,1.1406961226876167,-0.20104754608331155,9.680154465994253,2016-05-09,2022-05-13,987,343,2177,0.8638888888888889,1.1720709786641441,1.5,0.0,1280,897
