candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,MAX_LEV,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,max_weight_full,max_weight_last_10y,max_weight_last_1y,max_weight_last_3y,max_weight_last_5y,decision_hint,stability_label
r2_0.30_no_tv_vw_120,0.3,,120,1.5,0.22868072775057557,0.22977063566427125,0.5060380692294328,0.34954844238460536,0.2614271829624044,-0.16742622658789652,-0.16742622658789663,-0.16186179280339452,-0.16186179280339452,-0.16742622658789663,1.2284551056988224,1.218284720314118,1.8898593187215538,1.5909687710724387,1.2968920165355367,0.1810745381215321,0.18371341463359844,0.231215998115817,0.20124741717598052,0.1935937389187878,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.0,1.0,1.0,1.0,1.0,exploratory,pending
r2_0.30_tv_15_vw_120,0.3,0.15,120,1.5,0.18849611323432702,0.18388936151823887,0.3216817051545169,0.278050594949681,0.20885180340641152,-0.16421650734565674,-0.16421650734565674,-0.11664632132985153,-0.11664632132985142,-0.1564196726282493,1.136630429870097,1.1173984894866364,1.769777694085747,1.5243528454296154,1.2285932724549817,0.16378460780468046,0.1630178873871353,0.1655207212873505,0.1705353640973358,0.1655809506082426,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,0.868641300380994,0.8612715390379856,0.5579934164940255,0.7720321178207133,0.7741192798922487,1.5,1.5,1.0413252925472212,1.3675321961701556,1.4889481399068987,exploratory,pending
r2_0.30_tv_20_vw_120,0.3,0.2,120,1.5,0.24599911501512794,0.2401968080251371,0.44128007001633307,0.3743830145249407,0.2803920706847445,-0.19637169299402413,-0.19637169299402424,-0.15348483536486557,-0.15348483536486557,-0.19117140903036045,1.1649917696718701,1.1437650212770751,1.7697776940857337,1.527137547381501,1.2527582140282867,0.20731698331280166,0.20703709138755189,0.2206942950498004,0.22486634908602543,0.21597391262147386,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.0747458664678853,1.0670031714108028,0.7439912219920339,1.012910751241696,1.000407323113365,1.5,1.5,1.388433723396295,1.5,1.5,exploratory,pending
r2_0.30_tv_25_vw_120,0.3,0.25,120,1.5,0.2797841926399993,0.2757558846757435,0.544857934675927,0.44319200543484794,0.33278372471606543,-0.2216064631856367,-0.22160646318563682,-0.1832541559191495,-0.1832541559191495,-0.2216064631856367,1.1703636149031753,1.1518618791443032,1.7566958846946672,1.5212429928649644,1.2611170305677057,0.2343510294782631,0.23564812500912596,0.2688344859058503,0.26415468786993085,0.2532710862190318,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.1752875283853668,1.171700149775905,0.9215236844954813,1.1609093501727876,1.1468167078798304,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_tv_30_vw_120,0.3,0.3,120,1.5,0.2991307198112938,0.29664631088269466,0.6567861575803491,0.49110559529766973,0.3667653916483564,-0.2426514381712389,-0.2426514381712388,-0.19776914027792802,-0.19776914027792802,-0.2426514381712388,1.1693273291131296,1.1526953163361735,1.818044981628773,1.5597182667678553,1.275850671003428,0.2509263020501529,0.25345196152592353,0.3040859977295702,0.28173308748682263,0.2745228839670923,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.2278074788008926,1.2285550802257281,1.0678882997721495,1.2271971634841479,1.2292797397211652,1.5,1.5,1.5,1.5,1.5,exploratory,pending
r2_0.30_no_tv_vw_160,0.3,,160,1.5,0.22868072775057557,0.22977063566427125,0.5060380692294328,0.34954844238460536,0.2614271829624044,-0.16742622658789652,-0.16742622658789663,-0.16186179280339452,-0.16186179280339452,-0.16742622658789663,1.2284551056988224,1.218284720314118,1.8898593187215538,1.5909687710724387,1.2968920165355367,0.1810745381215321,0.18371341463359844,0.231215998115817,0.20124741717598052,0.1935937389187878,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.0,1.0,1.0,1.0,1.0,exploratory,pending
r2_0.30_tv_15_vw_160,0.3,0.15,160,1.5,0.19438088234955453,0.18980905051441588,0.31793851128621475,0.2836793696928148,0.2131269377820051,-0.16372111533055878,-0.1637211153305589,-0.11132007525610876,-0.12125012899715992,-0.16106644349999366,1.1668462930412367,1.1478762767261184,1.8511409223924962,1.5720951471065006,1.2545370498194224,0.16377582656310047,0.16303824773520456,0.1558676418165616,0.1678508598014461,0.16486885049939212,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,0.8590736888753334,0.8511278680502236,0.5518879444638596,0.7641391740440293,0.7659824065170711,1.5,1.5,0.8374263816626507,1.28481142831807,1.3843303618008176,exploratory,pending
r2_0.30_tv_20_vw_160,0.3,0.2,160,1.5,0.2516957327023508,0.2463021430070942,0.43684800030568893,0.3787126047134024,0.2825756915446851,-0.20312187740860155,-0.20312187740860155,-0.14763349016802785,-0.1588868507997805,-0.19591523133780342,1.1799477674567462,1.160708106816495,1.8511409223924857,1.558325877034704,1.2602873933024563,0.20881990406532253,0.2085087351916814,0.20782352242208207,0.22193294866661795,0.21602416368670277,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.0763181785817815,1.0676961547670991,0.7358505926184795,1.0066592624432713,0.9999901733418176,1.5,1.5,1.1165685088835344,1.5,1.5,exploratory,pending
r2_0.30_tv_25_vw_160,0.3,0.25,160,1.5,0.2848351455820626,0.28120741752539424,0.5619630787891778,0.4515373224056396,0.33445276277624525,-0.2354199282160685,-0.2354199282160686,-0.18349407439990784,-0.18349407439990773,-0.2354199282160685,1.1808620156571035,1.1633384737174393,1.8511409223924984,1.5458566231194597,1.2615932159606231,0.23592737071691416,0.23734499195689016,0.2597794030276026,0.26353759439364477,0.25436171656996914,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.1760068456072286,1.1724788392129046,0.9198132407730994,1.1638204273157748,1.1524291361855337,1.5,1.5,1.3957106361044178,1.5,1.5,exploratory,pending
r2_0.30_tv_30_vw_160,0.3,0.3,160,1.5,0.30841513034414714,0.30668078530621257,0.6656209255157264,0.49613131892111584,0.3714893615150878,-0.2434774764287867,-0.2434774764287866,-0.21862743899804826,-0.21862743899804815,-0.2434774764287866,1.1907443142681267,1.1758639638679989,1.8250205745129886,1.5616224819806206,1.2807408243030143,0.25280468676140033,0.25546478910735276,0.3063281235153741,0.2840005245855912,0.27666148052039313,0.8599706744868035,0.8638888888888889,0.8571428571428571,0.8743386243386243,0.8626984126984127,1.2316032039726141,1.2326641033481316,1.085750507498471,1.2372626563273383,1.2380164912358507,1.5,1.5,1.5,1.5,1.5,exploratory,pending
