check,threshold,segment,metric,abs_diff
overlap_metric,0.4,full,turnover_total,0.0
overlap_metric,0.4,full,cost_total,0.0
overlap_metric,0.4,last_10y,ann_return,5.551115123125783e-17
overlap_metric,0.4,last_10y,ann_vol,5.551115123125783e-17
overlap_metric,0.4,last_10y,sharpe_repo,0.0
overlap_metric,0.4,last_10y,max_dd,5.551115123125783e-17
overlap_metric,0.4,last_10y,turnover_total,0.0
overlap_metric,0.4,last_10y,cost_total,0.0
overlap_metric,0.4,last_5y,ann_return,5.551115123125783e-17
overlap_metric,0.4,last_5y,ann_vol,5.551115123125783e-17
overlap_metric,0.4,last_5y,sharpe_repo,0.0
overlap_metric,0.4,last_5y,max_dd,2.7755575615628914e-17
overlap_metric,0.4,last_5y,turnover_total,0.0
overlap_metric,0.4,last_5y,cost_total,5.551115123125783e-17
overlap_metric,0.4,last_3y,ann_return,5.551115123125783e-17
overlap_metric,0.4,last_3y,ann_vol,5.551115123125783e-17
overlap_metric,0.4,last_3y,sharpe_repo,0.0
overlap_metric,0.4,last_3y,max_dd,5.551115123125783e-17
overlap_metric,0.4,last_3y,turnover_total,0.0
overlap_metric,0.4,last_3y,cost_total,0.0
overlap_metric,0.4,last_1y,ann_return,5.551115123125783e-17
overlap_metric,0.4,last_1y,ann_vol,0.0
overlap_metric,0.4,last_1y,sharpe_repo,0.0
overlap_metric,0.4,last_1y,max_dd,8.326672684688674e-17
overlap_metric,0.4,last_1y,turnover_total,0.0
overlap_metric,0.4,last_1y,cost_total,1.3877787807814457e-17
overlap_metric,0.5,full,ann_return,0.0
overlap_metric,0.5,full,ann_vol,5.551115123125783e-17
overlap_metric,0.5,full,sharpe_repo,0.0
overlap_metric,0.5,full,max_dd,5.551115123125783e-17
overlap_metric,0.5,full,turnover_total,0.0
overlap_metric,0.5,full,cost_total,0.0
overlap_metric,0.5,last_10y,ann_return,0.0
overlap_metric,0.5,last_10y,ann_vol,2.7755575615628914e-17
overlap_metric,0.5,last_10y,sharpe_repo,0.0
overlap_metric,0.5,last_10y,max_dd,0.0
overlap_metric,0.5,last_10y,turnover_total,0.0
overlap_metric,0.5,last_10y,cost_total,0.0
overlap_metric,0.5,last_5y,ann_return,0.0
overlap_metric,0.5,last_5y,ann_vol,0.0
overlap_metric,0.5,last_5y,sharpe_repo,0.0
overlap_metric,0.5,last_5y,max_dd,0.0
overlap_metric,0.5,last_5y,turnover_total,0.0
overlap_metric,0.5,last_5y,cost_total,5.551115123125783e-17
overlap_metric,0.5,last_3y,ann_return,5.551115123125783e-17
overlap_metric,0.5,last_3y,ann_vol,0.0
overlap_metric,0.5,last_3y,sharpe_repo,0.0
overlap_metric,0.5,last_3y,max_dd,0.0
overlap_metric,0.5,last_3y,turnover_total,0.0
overlap_metric,0.5,last_3y,cost_total,0.0
overlap_metric,0.5,last_1y,ann_return,5.551115123125783e-17
overlap_metric,0.5,last_1y,ann_vol,0.0
overlap_metric,0.5,last_1y,sharpe_repo,0.0
overlap_metric,0.5,last_1y,max_dd,8.326672684688674e-17
overlap_metric,0.5,last_1y,turnover_total,0.0
overlap_metric,0.5,last_1y,cost_total,1.3877787807814457e-17
daily_curve,off,full,return,9.974659986866641e-17
daily_curve,off,full,nav,3.552713678800501e-15
daily_curve,0.2,full,return,9.974659986866641e-17
daily_curve,0.2,full,nav,7.105427357601002e-15
