start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,holding_day_ratio,cash_days,trade_days,avg_turnover,turnover_total,cost_total,candidate,segment,score_max,lookback,r2,switch_buffer,initial_entry_fraction,overheat,target_vol
2011-12-09,2026-09-02,3578,0.2302778056401391,0.24593861730380348,0.9651060848896076,-0.3571026032125143,0.8968697596422582,0.8968697596422582,369,365,0.1825041922861934,653.0,0.653,score_max_6,full,6,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.3317291092731385,0.24263038048182584,1.3013209990224894,-0.21451351913866745,0.9757936507936508,0.9757936507936508,61,272,0.20634920634920634,520.0,0.52,score_max_6,last_10y,6,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.4854558833235241,0.2674016659323791,1.61215765951266,-0.20432103555014525,0.9722222222222222,0.9722222222222222,35,141,0.21587301587301588,272.0,0.272,score_max_6,last_5y,6,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.5834064326552615,0.2905551967460435,1.725296177083219,-0.1722209522925281,0.9642857142857143,0.9642857142857143,27,94,0.24074074074074073,182.0,0.182,score_max_6,last_3y,6,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.3698958268175858,0.3126901147210345,1.1630161491009545,-0.17222095229252787,0.9722222222222222,0.9722222222222222,7,40,0.30952380952380953,78.0,0.07800000000000001,score_max_6,last_1y,6,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.22136211814070839,0.25133477216189765,0.9208394559242673,-0.42212784263518266,0.9019005030743432,0.9019005030743432,351,346,0.17300167691447735,619.0,0.619,score_max_7,full,7,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.3110097741296931,0.24658214906211176,1.2208885003820564,-0.20566104059403545,0.976984126984127,0.976984126984127,58,260,0.19682539682539682,496.0,0.496,score_max_7,last_10y,7,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.46111009810848635,0.27388620153579973,1.5202166666025787,-0.20432103555014414,0.9746031746031746,0.9746031746031746,32,132,0.2015873015873016,254.0,0.254,score_max_7,last_5y,7,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.5876323231264557,0.29500481650523247,1.712804420612147,-0.16890475391354343,0.9642857142857143,0.9642857142857143,27,85,0.21693121693121692,164.0,0.164,score_max_7,last_3y,7,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.35824471180617623,0.31858504517601566,1.1206725810656686,-0.16890475391354332,0.9722222222222222,0.9722222222222222,7,35,0.2698412698412698,68.0,0.068,score_max_7,last_1y,7,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.24011406596898666,0.2559121238399718,0.9684786025052201,-0.42464192018954694,0.9058133035215205,0.9058133035215205,337,341,0.16964784795975404,607.0,0.607,score_max_8,full,8,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.3167796133476568,0.25165137111333435,1.2187736961324134,-0.23676835526687678,0.9777777777777777,0.9777777777777777,56,253,0.19206349206349208,484.0,0.484,score_max_8,last_10y,8,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.4965915962918743,0.27867449545565814,1.5850207373154204,-0.20432103555014525,0.9761904761904762,0.9761904761904762,30,125,0.19206349206349208,242.0,0.24200000000000002,score_max_8,last_5y,8,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.6930663354628357,0.3001555144143315,1.903042886980329,-0.16197374923732277,0.9642857142857143,0.9642857142857143,27,82,0.20899470899470898,158.0,0.15799999999999997,score_max_8,last_3y,8,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.5607635180240638,0.3294941649147465,1.516521134357176,-0.16122801705383538,0.9722222222222222,0.9722222222222222,7,32,0.24603174603174602,62.0,0.062000000000000006,score_max_8,last_1y,8,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.23032274434736522,0.2578998641867173,0.9322447690619717,-0.41871461479323524,0.9086081609837898,0.9086081609837898,327,315,0.15735047512576858,563.0,0.5630000000000001,score_max_10,full,10,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.2977481968575517,0.25219728007751285,1.1589212070421036,-0.2367683552668749,0.9777777777777777,0.9777777777777777,56,239,0.18095238095238095,456.0,0.456,score_max_10,last_10y,10,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.45285659261007094,0.2787109002457957,1.4783268617624228,-0.20432103555014458,0.9761904761904762,0.9761904761904762,30,120,0.18412698412698414,232.0,0.232,score_max_10,last_5y,10,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.6114112254676991,0.3002900412209097,1.7374660233203896,-0.16920314586198648,0.9642857142857143,0.9642857142857143,27,77,0.19576719576719576,148.0,0.14800000000000002,score_max_10,last_3y,10,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.4188721714338295,0.32784719058159995,1.2315022469526349,-0.16920314586198648,0.9722222222222222,0.9722222222222222,7,27,0.20634920634920634,52.0,0.052000000000000005,score_max_10,last_1y,10,25,off,1.0,1.0,off,off
2011-12-09,2026-09-02,3578,0.21571900502282704,0.2836908550806179,0.8301094646111717,-0.3855215681943228,0.9114030184460592,0.9114030184460592,317,272,0.1344326439351593,481.0,0.48100000000000004,score_max_inf,full,inf,25,off,1.0,1.0,off,off
2016-04-21,2026-09-02,2520,0.2325739451406459,0.2813046815430878,0.8834756613122825,-0.30048698363910964,0.9777777777777777,0.9777777777777777,56,209,0.15714285714285714,396.0,0.396,score_max_inf,last_10y,inf,25,off,1.0,1.0,off,off
2021-06-25,2026-09-02,1260,0.31545647462197524,0.3219736568951509,1.0112307811647483,-0.30048698363910964,0.9761904761904762,0.9761904761904762,30,103,0.15714285714285714,198.0,0.198,score_max_inf,last_5y,inf,25,off,1.0,1.0,off,off
2023-07-24,2026-09-02,756,0.36675463544050846,0.3640233256691776,1.038559946096048,-0.3004869836391094,0.9642857142857143,0.9642857142857143,27,62,0.15608465608465608,118.0,0.118,score_max_inf,last_3y,inf,25,off,1.0,1.0,off,off
2025-08-20,2026-09-02,252,0.19287758539497513,0.36482130929883083,0.6668525841280576,-0.19959819647932853,0.9722222222222222,0.9722222222222222,7,20,0.15079365079365079,38.0,0.038000000000000006,score_max_inf,last_1y,inf,25,off,1.0,1.0,off,off
