candidate,line_role,lookback,r2_threshold,r2_label,r2_execution_threshold,switch_buffer,buffer_label,entry_fraction,entry_label,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,cash_days,trades,cost_total,turnover_total,holding_day_ratio,avg_holding_fraction,partial_position_days,pending_days,staged_initials,staged_fills,reason
lb_28_r2_none_buf_1p15_entry_0p67,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.67,0p67,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.04784943612934911,0.2062520001760935,-0.29477563941814067,0.33012286131157087,91.0,230.0,0.21509,215.08999999999997,0.9277777777777778,0.8696349206349206,222.0,222.0,112.0,99.0,
lb_28_r2_none_buf_1p15_entry_0p67,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.67,0p67,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.026455075060471955,0.2054039913903138,-0.29477563941814033,0.2303687977259105,51.0,143.0,0.13171,131.70999999999998,0.9325396825396826,0.8779761904761904,125.0,125.0,68.0,62.0,
lb_28_r2_none_buf_1p15_entry_0p67,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.67,0p67,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.17077495207324533,0.1965259796203136,-0.26049062499894493,-0.8530757230858973,12.0,49.0,0.04602,46.019999999999996,0.9523809523809523,0.893452380952381,45.0,45.0,24.0,21.0,
lb_28_r2_none_buf_1p15_entry_0p50,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.5,0p50,full,Full,2016-12-30,2007-01-04,2432.0,0.10979307930306637,0.20902465114673838,-0.2988683050357217,0.6031085308510079,220.0,412.0,0.377,377.0,0.9095394736842105,0.8238075657894737,417.0,417.0,200.0,178.0,
lb_28_r2_none_buf_1p15_entry_0p50,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.5,0p50,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p15_entry_0p50,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.5,0p50,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.050923338414990305,0.20106858370489478,-0.2814492255977393,0.34789634225463356,91.0,230.0,0.21050000000000002,210.5,0.9277777777777778,0.8396825396825397,222.0,222.0,112.0,99.0,
lb_28_r2_none_buf_1p15_entry_0p50,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.5,0p50,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.03906730105903944,0.19961476698977762,-0.281449225597738,0.29227059392441834,51.0,143.0,0.1295,129.5,0.9325396825396826,0.8498677248677249,125.0,125.0,68.0,62.0,
lb_28_r2_none_buf_1p15_entry_0p50,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.5,0p50,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.14698318933179866,0.1925920152212142,-0.24174390907913512,-0.7277686843547375,12.0,49.0,0.045,45.0,0.9523809523809523,0.8630952380952381,45.0,45.0,24.0,21.0,
lb_28_r2_none_buf_1p15_entry_0p33,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.33,0p33,full,Full,2016-12-30,2007-01-04,2432.0,0.1074842458704417,0.2059233080489672,-0.2960729721295623,0.5989299801580998,220.0,412.0,0.36951999999999996,369.52,0.9095394736842105,0.7946587171052633,417.0,417.0,200.0,178.0,
lb_28_r2_none_buf_1p15_entry_0p33,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.33,0p33,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p15_entry_0p33,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.33,0p33,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.053678836882133485,0.19724908942284922,-0.2683080255228404,0.3640224555250264,91.0,230.0,0.20590999999999998,205.91000000000003,0.9277777777777778,0.8097301587301587,222.0,222.0,112.0,99.0,
lb_28_r2_none_buf_1p15_entry_0p33,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.33,0p33,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.05146888266396088,0.19533656159633953,-0.26830802552284017,0.3550476507977725,51.0,143.0,0.12729000000000001,127.29,0.9325396825396826,0.8217592592592594,125.0,125.0,68.0,62.0,
lb_28_r2_none_buf_1p15_entry_0p33,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.33,0p33,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.12271301453551475,0.18969653602046163,-0.22266276797567908,-0.59402077925289,12.0,49.0,0.043980000000000005,43.980000000000004,0.9523809523809523,0.8327380952380952,45.0,45.0,24.0,21.0,
lb_28_r2_none_buf_1p15_entry_0p25,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.25,0p25,full,Full,2016-12-30,2007-01-04,2432.0,0.10629928953682533,0.20487049660060608,-0.29479256975122814,0.5957188623024303,220.0,412.0,0.366,366.0,0.9095394736842105,0.7809416118421053,417.0,417.0,200.0,178.0,
lb_28_r2_none_buf_1p15_entry_0p25,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.25,0p25,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p15_entry_0p25,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.25,0p25,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.054865212637917216,0.19594723070667125,-0.262192769834413,0.370870489220382,91.0,230.0,0.20375,203.75,0.9277777777777778,0.7956349206349206,222.0,222.0,112.0,99.0,
lb_28_r2_none_buf_1p15_entry_0p25,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.25,0p25,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.057229830249120095,0.19387573623193527,-0.2621927698344141,0.3844336738267652,51.0,143.0,0.12625,126.25,0.9325396825396826,0.808531746031746,125.0,125.0,68.0,62.0,
lb_28_r2_none_buf_1p15_entry_0p25,primary_drawdown_r2_removed,28,,none,0.0,1.15,1p15,0.25,0p25,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.11112491826593729,0.1887073428711214,-0.2135666977253129,-0.5286285436140468,12.0,49.0,0.043500000000000004,43.5,0.9523809523809523,0.8184523809523809,45.0,45.0,24.0,21.0,
lb_28_r2_none_buf_1p08_entry_full,return_watch_r2_removed,28,,none,0.0,1.08,1p08,1.0,full,full,Full,2016-12-30,2007-01-04,2432.0,0.12079116377486421,0.22578217947909274,-0.3472784440942456,0.6183054946076274,220.0,240.0,0.41100000000000003,411.0,0.9095394736842105,0.9095394736842105,0.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p08_entry_full,return_watch_r2_removed,28,,none,0.0,1.08,1p08,1.0,full,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p08_entry_full,return_watch_r2_removed,28,,none,0.0,1.08,1p08,1.0,full,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.03781671878369863,0.2217102607029238,-0.34727844409424535,0.2788225851615269,91.0,134.0,0.23,230.0,0.9277777777777778,0.9277777777777778,0.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p08_entry_full,return_watch_r2_removed,28,,none,0.0,1.08,1p08,1.0,full,last_3y,3Y,2016-12-30,2013-11-29,756.0,-0.0028757791954699963,0.22358085356808274,-0.3472784440942468,0.09972724867813339,51.0,84.0,0.14200000000000002,142.0,0.9325396825396826,0.9325396825396826,0.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p08_entry_full,return_watch_r2_removed,28,,none,0.0,1.08,1p08,1.0,full,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.24166710056174034,0.2079443577977607,-0.3184461773452083,-1.2242309734642032,12.0,28.0,0.048,48.0,0.9523809523809523,0.9523809523809523,0.0,0.0,0.0,0.0,
lb_28_r2_none_buf_1p08_entry_0p75,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.75,0p75,full,Full,2016-12-30,2007-01-04,2432.0,0.1166430681713011,0.21726415118009554,-0.33393678422100004,0.6167132103144775,220.0,423.0,0.39949999999999997,399.5,0.9095394736842105,0.8663651315789473,420.0,420.0,206.0,183.0,
lb_28_r2_none_buf_1p08_entry_0p75,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.75,0p75,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p08_entry_0p75,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.75,0p75,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.04560071907475449,0.21189462821881155,-0.33393678422100026,0.31681646798111246,91.0,237.0,0.22375,223.75,0.9277777777777778,0.8847222222222222,217.0,217.0,115.0,103.0,
lb_28_r2_none_buf_1p08_entry_0p75,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.75,0p75,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.019182984885772525,0.21296230764313318,-0.3339367842209996,0.19632526074632428,51.0,149.0,0.13874999999999998,138.75,0.9325396825396826,0.8931878306878307,119.0,119.0,71.0,65.0,
lb_28_r2_none_buf_1p08_entry_0p75,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.75,0p75,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.2169147236248684,0.20389785024203821,-0.2942390656392545,-1.095269340711903,12.0,50.0,0.047,47.0,0.9523809523809523,0.9146825396825397,38.0,38.0,24.0,22.0,
lb_28_r2_none_buf_1p08_entry_0p67,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.67,0p67,full,Full,2016-12-30,2007-01-04,2432.0,0.11518851085930448,0.21498448035515477,-0.33011554597674286,0.6148785886086886,220.0,423.0,0.39582,395.81999999999994,0.9095394736842105,0.8525493421052632,420.0,420.0,206.0,183.0,
lb_28_r2_none_buf_1p08_entry_0p67,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.67,0p67,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p08_entry_0p67,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.67,0p67,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.04796420732650142,0.20925345947872828,-0.33011554597674286,0.3289174596070071,91.0,237.0,0.22175,221.75,0.9277777777777778,0.8709444444444445,217.0,217.0,115.0,103.0,
lb_28_r2_none_buf_1p08_entry_0p67,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.67,0p67,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.026193506520568066,0.21009835003771582,-0.33011554597674275,0.22869758358588874,51.0,149.0,0.13771,137.71,0.9325396825396826,0.8805952380952381,119.0,119.0,71.0,65.0,
lb_28_r2_none_buf_1p08_entry_0p67,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.67,0p67,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.20886708670905418,0.20282059730161717,-0.2863394916883141,-1.051807239158713,12.0,50.0,0.04668,46.68,0.9523809523809523,0.9026190476190477,38.0,38.0,24.0,22.0,
lb_28_r2_none_buf_1p08_entry_0p50,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.5,0p50,full,Full,2016-12-30,2007-01-04,2432.0,0.1118952338618786,0.2109077001332422,-0.3221615150132221,0.6085924004996516,220.0,423.0,0.388,388.0,0.9095394736842105,0.8231907894736842,420.0,420.0,206.0,183.0,
lb_28_r2_none_buf_1p08_entry_0p50,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.5,0p50,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p08_entry_0p50,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.5,0p50,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.05277983015839727,0.20451164224406604,-0.32216151501322166,0.35412046293953287,91.0,237.0,0.2175,217.5,0.9277777777777778,0.8416666666666667,217.0,217.0,115.0,103.0,
lb_28_r2_none_buf_1p08_entry_0p50,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.5,0p50,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.041007332335807334,0.20494835165594405,-0.3221615150132219,0.2990951492032284,51.0,149.0,0.1355,135.5,0.9325396825396826,0.8538359788359788,119.0,119.0,71.0,65.0,
lb_28_r2_none_buf_1p08_entry_0p50,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.5,0p50,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.19155995104727852,0.20089361405431988,-0.2693021420921883,-0.9562109045543976,12.0,50.0,0.046,46.0,0.9523809523809523,0.876984126984127,38.0,38.0,24.0,22.0,
lb_28_r2_none_buf_1p08_entry_0p33,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.33,0p33,full,Full,2016-12-30,2007-01-04,2432.0,0.10832957966508872,0.20792325446285653,-0.3144411929938511,0.5988506293880307,220.0,423.0,0.38018,380.18000000000006,0.9095394736842105,0.7938322368421052,420.0,420.0,206.0,183.0,
lb_28_r2_none_buf_1p08_entry_0p33,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.33,0p33,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p08_entry_0p33,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.33,0p33,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.05731238815833817,0.20102015889624714,-0.3144411929938512,0.3780982962758048,91.0,237.0,0.21325,213.25,0.9277777777777778,0.8123888888888888,217.0,217.0,115.0,103.0,
lb_28_r2_none_buf_1p08_entry_0p33,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.33,0p33,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.05570089314090754,0.2011485062336503,-0.31444119299385165,0.3705631199713014,51.0,149.0,0.13329000000000002,133.29,0.9325396825396826,0.8270767195767196,119.0,119.0,71.0,65.0,
lb_28_r2_none_buf_1p08_entry_0p33,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.33,0p33,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.17397092011705373,0.19947032224825406,-0.25191918183891016,-0.8566464419435543,12.0,50.0,0.04532,45.32,0.9523809523809523,0.8513492063492063,38.0,38.0,24.0,22.0,
lb_28_r2_none_buf_1p08_entry_0p25,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.25,0p25,full,Full,2016-12-30,2007-01-04,2432.0,0.10655837245665478,0.20691078049742814,-0.31089163836595624,0.5930276610222277,220.0,423.0,0.37650000000000006,376.5,0.9095394736842105,0.780016447368421,420.0,420.0,206.0,183.0,
lb_28_r2_none_buf_1p08_entry_0p25,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.25,0p25,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_none_buf_1p08_entry_0p25,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.25,0p25,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.05934680843345652,0.19982913388324827,-0.31089163836595624,0.38877202603511696,91.0,237.0,0.21125,211.25,0.9277777777777778,0.7986111111111112,217.0,217.0,115.0,103.0,
lb_28_r2_none_buf_1p08_entry_0p25,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.25,0p25,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.06257158455169232,0.1998503014305974,-0.31089163836595646,0.4041256606882433,51.0,149.0,0.13225,132.25,0.9325396825396826,0.814484126984127,119.0,119.0,71.0,65.0,
lb_28_r2_none_buf_1p08_entry_0p25,return_watch_r2_removed,28,,none,0.0,1.08,1p08,0.25,0p25,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.16559555140179516,0.1989779697972558,-0.24361777750102653,-0.8085956699519251,12.0,50.0,0.045,45.0,0.9523809523809523,0.8392857142857143,38.0,38.0,24.0,22.0,
lb_30_r2_none_buf_1p03_entry_full,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,1.0,full,full,Full,2016-12-30,2007-01-04,2432.0,0.09983406126153338,0.22249442421288745,-0.36208109959636225,0.5393327699561995,224.0,230.0,0.389,389.0,0.9078947368421053,0.9078947368421053,0.0,0.0,0.0,0.0,
lb_30_r2_none_buf_1p03_entry_full,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,1.0,full,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_30_r2_none_buf_1p03_entry_full,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,1.0,full,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.06738749431419921,0.21798146279707636,-0.3533362660335939,0.40873854863895104,95.0,126.0,0.21200000000000002,212.0,0.9246031746031746,0.9246031746031746,0.0,0.0,0.0,0.0,
lb_30_r2_none_buf_1p03_entry_full,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,1.0,full,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.0031164525330249493,0.21689807455917556,-0.35333626603359314,0.12363949704102756,52.0,75.0,0.12400000000000001,124.0,0.9312169312169312,0.9312169312169312,0.0,0.0,0.0,0.0,
lb_30_r2_none_buf_1p03_entry_full,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,1.0,full,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.19003625427414705,0.20665823815282333,-0.26819177182020526,-0.9147454992171095,13.0,26.0,0.044000000000000004,44.0,0.9484126984126984,0.9484126984126984,0.0,0.0,0.0,0.0,
lb_30_r2_none_buf_1p03_entry_0p75,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.75,0p75,full,Full,2016-12-30,2007-01-04,2432.0,0.09432697971484627,0.21265336764644446,-0.3461441380906721,0.5305261917976123,224.0,402.0,0.3775,377.5,0.9078947368421053,0.8635896381578947,431.0,431.0,195.0,172.0,
lb_30_r2_none_buf_1p03_entry_0p75,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.75,0p75,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_30_r2_none_buf_1p03_entry_0p75,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.75,0p75,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.05639319249640318,0.2062322556594709,-0.3409517728949617,0.36959467045824634,95.0,223.0,0.20725000000000002,207.25,0.9246031746031746,0.8763888888888889,243.0,243.0,106.0,97.0,
lb_30_r2_none_buf_1p03_entry_0p75,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.75,0p75,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.006328411132753509,0.2039753877694685,-0.34095177289496326,0.1335858724263498,52.0,135.0,0.12275000000000001,122.75,0.9312169312169312,0.888558201058201,129.0,129.0,62.0,60.0,
lb_30_r2_none_buf_1p03_entry_0p75,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.75,0p75,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.17500202843223278,0.1982478634775733,-0.257182168381876,-0.8696596617494252,13.0,47.0,0.043500000000000004,43.5,0.9484126984126984,0.9007936507936508,48.0,48.0,22.0,21.0,
lb_30_r2_none_buf_1p03_entry_0p67,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.67,0p67,full,Full,2016-12-30,2007-01-04,2432.0,0.0924256390380751,0.21001082391229944,-0.34100066465525425,0.5262410181371567,224.0,402.0,0.37382000000000004,373.82,0.9078947368421053,0.8494120065789473,431.0,431.0,195.0,172.0,
lb_30_r2_none_buf_1p03_entry_0p67,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.67,0p67,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_30_r2_none_buf_1p03_entry_0p67,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.67,0p67,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.052735987741871604,0.20305604649162703,-0.33710015873738075,0.35506391754990424,95.0,223.0,0.20573000000000002,205.73000000000002,0.9246031746031746,0.8609603174603174,243.0,243.0,106.0,97.0,
lb_30_r2_none_buf_1p03_entry_0p67,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.67,0p67,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.007185995235055476,0.2004679152701567,-0.3371001587373813,0.13658598055490442,52.0,135.0,0.12235,122.35000000000001,0.9312169312169312,0.8749074074074074,129.0,129.0,62.0,60.0,
lb_30_r2_none_buf_1p03_entry_0p67,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.67,0p67,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.17022435961217364,0.19599221220815438,-0.253694832398183,-0.8525414899239607,13.0,47.0,0.04334,43.34,0.9484126984126984,0.8855555555555555,48.0,48.0,22.0,21.0,
lb_30_r2_none_buf_1p03_entry_0p50,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.5,0p50,full,Full,2016-12-30,2007-01-04,2432.0,0.08816468625411367,0.20527771055192498,-0.3300005324954186,0.5145134257185408,224.0,402.0,0.366,366.0,0.9078947368421053,0.8192845394736842,431.0,431.0,195.0,172.0,
lb_30_r2_none_buf_1p03_entry_0p50,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.5,0p50,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_30_r2_none_buf_1p03_entry_0p50,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.5,0p50,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.044747189372629004,0.19734210863464202,-0.32910137526607575,0.32089570117729893,95.0,223.0,0.2025,202.5,0.9246031746031746,0.8281746031746032,243.0,243.0,106.0,97.0,
lb_30_r2_none_buf_1p03_entry_0p50,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.5,0p50,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.008734865006916781,0.1941411106125912,-0.3291013752660754,0.14244957683710763,52.0,135.0,0.12150000000000001,121.5,0.9312169312169312,0.8458994708994709,129.0,129.0,62.0,60.0,
lb_30_r2_none_buf_1p03_entry_0p50,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.5,0p50,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.16012808386395128,0.1919524481884472,-0.24634322470156478,-0.8116711426250832,13.0,47.0,0.043000000000000003,43.0,0.9484126984126984,0.8531746031746031,48.0,48.0,22.0,21.0,
lb_30_r2_none_buf_1p03_entry_0p33,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.33,0p33,full,Full,2016-12-30,2007-01-04,2432.0,0.0836075681039643,0.2018112560209739,-0.32136265722375157,0.4990349076390287,224.0,402.0,0.35818,358.18,0.9078947368421053,0.789157072368421,431.0,431.0,195.0,172.0,
lb_30_r2_none_buf_1p03_entry_0p33,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.33,0p33,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_30_r2_none_buf_1p03_entry_0p33,width_confirm_r2_removed,30,,none,0.0,1.03,1p03,0.33,0p33,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.036470505239110995,0.19313544975527355,-0.3213626572237531,0.2824177116575043,95.0,223.0,0.19927,199.26999999999998,0.9246031746031746,0.7953888888888889,243.0,243.0,106.0,97.0,
