candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,entry_fraction,entry_label,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,cash_days,trades,cost_total,turnover_total,holding_day_ratio,avg_holding_fraction,partial_position_days,pending_days,staged_initials,staged_fills,reason
lb_28_r2_0p50_buf_1p00_entry_0p50,layer3_primary,28,0.5,0p50,1.0,1p00,0.5,0p50,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.0871045476690806,0.15379364361139222,-0.1857678767815899,0.620288797473739,501.0,211.0,0.1825,182.5,0.6023809523809524,0.526984126984127,190.0,190.0,104.0,79.0,
lb_28_r2_0p50_buf_1p00_entry_0p50,layer3_primary,28,0.5,0p50,1.0,1p00,0.5,0p50,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.076897230251465,0.15182875443319,-0.1857678767815899,0.5642835800252113,322.0,121.0,0.1035,103.5,0.5740740740740741,0.5059523809523809,103.0,103.0,60.0,44.0,
lb_28_r2_0p50_buf_1p00_entry_0p50,layer3_primary,28,0.5,0p50,1.0,1p00,0.5,0p50,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.03685538515128606,0.1293469390210048,-0.18576787678159,0.345120806336452,116.0,34.0,0.030000000000000006,30.0,0.5396825396825397,0.49404761904761907,23.0,23.0,17.0,14.0,
lb_28_r2_0p50_buf_1p00_entry_0p33,layer3_primary,28,0.5,0p50,1.0,1p00,0.33,0p33,full,Full,2016-12-30,2007-01-04,2432.0,0.07438649773550932,0.1552503643523315,-0.20132938598607097,0.5399313104424105,982.0,404.0,0.32872,328.72,0.5962171052631579,0.4879481907894737,393.0,393.0,193.0,151.0,
lb_28_r2_0p50_buf_1p00_entry_0p33,layer3_primary,28,0.5,0p50,1.0,1p00,0.33,0p33,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p33,layer3_primary,28,0.5,0p50,1.0,1p00,0.33,0p33,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.0809789720458216,0.15023694340191607,-0.1802835618064268,0.593725705920982,501.0,211.0,0.17383,173.82999999999998,0.6023809523809524,0.5013492063492064,190.0,190.0,104.0,79.0,
lb_28_r2_0p50_buf_1p00_entry_0p33,layer3_primary,28,0.5,0p50,1.0,1p00,0.33,0p33,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07831829779418298,0.14795571701361734,-0.18028356180642668,0.5840085087608272,322.0,121.0,0.09789,97.89,0.5740740740740741,0.4827910052910053,103.0,103.0,60.0,44.0,
lb_28_r2_0p50_buf_1p00_entry_0p33,layer3_primary,28,0.5,0p50,1.0,1p00,0.33,0p33,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.04956565996865603,0.1282832844820415,-0.18028356180642668,0.4418991246978924,116.0,34.0,0.028980000000000006,28.98,0.5396825396825397,0.47853174603174603,23.0,23.0,17.0,14.0,
lb_28_r2_0p50_buf_1p00_entry_0p25,layer3_primary,28,0.5,0p50,1.0,1p00,0.25,0p25,full,Full,2016-12-30,2007-01-04,2432.0,0.07098899364643851,0.15396076915939244,-0.1968532060189343,0.5225741602153783,982.0,404.0,0.322,322.0,0.5962171052631579,0.4750205592105263,393.0,393.0,193.0,151.0,
lb_28_r2_0p50_buf_1p00_entry_0p25,layer3_primary,28,0.5,0p50,1.0,1p00,0.25,0p25,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p25,layer3_primary,28,0.5,0p50,1.0,1p00,0.25,0p25,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.07802631912624491,0.14902787750348304,-0.17769352460009447,0.5789621862473546,501.0,211.0,0.16975,169.75,0.6023809523809524,0.48928571428571427,190.0,190.0,104.0,79.0,
lb_28_r2_0p50_buf_1p00_entry_0p25,layer3_primary,28,0.5,0p50,1.0,1p00,0.25,0p25,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07890002718424927,0.14663959926415193,-0.17769352460009435,0.5915971961560583,322.0,121.0,0.09525,95.25,0.5740740740740741,0.4718915343915344,103.0,103.0,60.0,44.0,
lb_28_r2_0p50_buf_1p00_entry_0p25,layer3_primary,28,0.5,0p50,1.0,1p00,0.25,0p25,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.055583025421796606,0.12789921950429536,-0.1776935246000948,0.4875449292295526,116.0,34.0,0.028500000000000004,28.5,0.5396825396825397,0.4712301587301587,23.0,23.0,17.0,14.0,
lb_28_r2_0p40_buf_1p00_entry_full,r2_neighbor,28,0.4,0p40,1.0,1p00,1.0,full,full,Full,2016-12-30,2007-01-04,2432.0,0.08864427091768623,0.18794384717835802,-0.31353268030072645,0.5462543663037978,839.0,264.0,0.40900000000000003,409.0,0.655016447368421,0.655016447368421,0.0,0.0,0.0,0.0,
lb_28_r2_0p40_buf_1p00_entry_full,r2_neighbor,28,0.4,0p40,1.0,1p00,1.0,full,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p40_buf_1p00_entry_full,r2_neighbor,28,0.4,0p40,1.0,1p00,1.0,full,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.08775721170807405,0.18667951823624498,-0.26503770159110096,0.544487065813336,417.0,139.0,0.22200000000000003,222.0,0.669047619047619,0.669047619047619,0.0,0.0,0.0,0.0,
lb_28_r2_0p40_buf_1p00_entry_full,r2_neighbor,28,0.4,0p40,1.0,1p00,1.0,full,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.04877303050470205,0.18880244054653084,-0.2650377015911012,0.34738022536957025,263.0,86.0,0.132,132.0,0.6521164021164021,0.6521164021164021,0.0,0.0,0.0,0.0,
lb_28_r2_0p40_buf_1p00_entry_full,r2_neighbor,28,0.4,0p40,1.0,1p00,1.0,full,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.12156289187187941,0.1617478971208132,-0.26503770159110196,-0.7193506670225003,93.0,28.0,0.043,43.0,0.6309523809523809,0.6309523809523809,0.0,0.0,0.0,0.0,
lb_28_r2_0p40_buf_1p00_entry_0p75,r2_neighbor,28,0.4,0p40,1.0,1p00,0.75,0p75,full,Full,2016-12-30,2007-01-04,2432.0,0.08386111418275366,0.1759633580150528,-0.28526540673672496,0.5458764202569537,839.0,423.0,0.386,386.0,0.655016447368421,0.6128700657894737,410.0,410.0,205.0,159.0,
lb_28_r2_0p40_buf_1p00_entry_0p75,r2_neighbor,28,0.4,0p40,1.0,1p00,0.75,0p75,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p40_buf_1p00_entry_0p75,r2_neighbor,28,0.4,0p40,1.0,1p00,0.75,0p75,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.08773149384941914,0.17347670115271632,-0.23341875130937895,0.5718942505844046,417.0,224.0,0.20875,208.75,0.669047619047619,0.6293650793650793,200.0,200.0,111.0,85.0,
lb_28_r2_0p40_buf_1p00_entry_0p75,r2_neighbor,28,0.4,0p40,1.0,1p00,0.75,0p75,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.06425281257541116,0.17365979139283477,-0.23341875130937906,0.4459263187240865,263.0,135.0,0.12325,123.25,0.6521164021164021,0.6154100529100529,111.0,111.0,66.0,49.0,
lb_28_r2_0p40_buf_1p00_entry_0p75,r2_neighbor,28,0.4,0p40,1.0,1p00,0.75,0p75,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.07568672554080791,0.15202990995153032,-0.23341875130937906,-0.44099893283248576,93.0,43.0,0.0395,39.5,0.6309523809523809,0.5982142857142857,33.0,33.0,22.0,15.0,
lb_28_r2_0p40_buf_1p00_entry_0p67,r2_neighbor,28,0.4,0p40,1.0,1p00,0.67,0p67,full,Full,2016-12-30,2007-01-04,2432.0,0.08218854783034768,0.17270406818327474,-0.27756887233252603,0.5439109214039882,839.0,423.0,0.37864,378.64,0.655016447368421,0.5993832236842105,410.0,410.0,205.0,159.0,
lb_28_r2_0p40_buf_1p00_entry_0p67,r2_neighbor,28,0.4,0p40,1.0,1p00,0.67,0p67,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p40_buf_1p00_entry_0p67,r2_neighbor,28,0.4,0p40,1.0,1p00,0.67,0p67,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.08756354563830793,0.16986592263239697,-0.22307216922659634,0.5794513265022377,417.0,224.0,0.20451000000000003,204.51,0.669047619047619,0.6166666666666667,200.0,200.0,111.0,85.0,
lb_28_r2_0p40_buf_1p00_entry_0p67,r2_neighbor,28,0.4,0p40,1.0,1p00,0.67,0p67,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.06907197371403417,0.16949125470937462,-0.22307216922659667,0.47926604623454716,263.0,135.0,0.12045,120.44999999999999,0.6521164021164021,0.6036640211640212,111.0,111.0,66.0,49.0,
lb_28_r2_0p40_buf_1p00_entry_0p67,r2_neighbor,28,0.4,0p40,1.0,1p00,0.67,0p67,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.06059365303205444,0.14938096000258064,-0.22307216922659645,-0.34316682367782186,93.0,43.0,0.03838,38.379999999999995,0.6309523809523809,0.5877380952380952,33.0,33.0,22.0,15.0,
lb_28_r2_0p40_buf_1p00_entry_0p50,r2_neighbor,28,0.4,0p40,1.0,1p00,0.5,0p50,full,Full,2016-12-30,2007-01-04,2432.0,0.07840915845188912,0.16681819009775162,-0.26435255521427115,0.5360837576565994,839.0,423.0,0.363,363.0,0.655016447368421,0.5707236842105263,410.0,410.0,205.0,159.0,
lb_28_r2_0p40_buf_1p00_entry_0p50,r2_neighbor,28,0.4,0p40,1.0,1p00,0.5,0p50,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p40_buf_1p00_entry_0p50,r2_neighbor,28,0.4,0p40,1.0,1p00,0.5,0p50,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.08695116732096109,0.16332131162585922,-0.20606582403743456,0.5924825699594807,417.0,224.0,0.1955,195.5,0.669047619047619,0.5896825396825397,200.0,200.0,111.0,85.0,
lb_28_r2_0p40_buf_1p00_entry_0p50,r2_neighbor,28,0.4,0p40,1.0,1p00,0.5,0p50,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07909126552552959,0.16190246530491562,-0.20606582403743468,0.5514893295292126,263.0,135.0,0.11449999999999999,114.5,0.6521164021164021,0.5787037037037037,111.0,111.0,66.0,49.0,
lb_28_r2_0p40_buf_1p00_entry_0p50,r2_neighbor,28,0.4,0p40,1.0,1p00,0.5,0p50,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.027841347606801237,0.14458176947578966,-0.20606582403743434,-0.12255269387929348,93.0,43.0,0.036000000000000004,36.0,0.6309523809523809,0.5654761904761905,33.0,33.0,22.0,15.0,
lb_28_r2_0p40_buf_1p00_entry_0p33,r2_neighbor,28,0.4,0p40,1.0,1p00,0.33,0p33,full,Full,2016-12-30,2007-01-04,2432.0,0.07432743590485358,0.16246940549796213,-0.25127169688523865,0.5226495379108524,839.0,423.0,0.34736,347.36,0.655016447368421,0.5420641447368422,410.0,410.0,205.0,159.0,
lb_28_r2_0p40_buf_1p00_entry_0p33,r2_neighbor,28,0.4,0p40,1.0,1p00,0.33,0p33,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p40_buf_1p00_entry_0p33,r2_neighbor,28,0.4,0p40,1.0,1p00,0.33,0p33,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.08599334642399237,0.1584631600557349,-0.1912527618575952,0.60011374652864,417.0,224.0,0.18649000000000002,186.49,0.669047619047619,0.5626984126984127,200.0,200.0,111.0,85.0,
lb_28_r2_0p40_buf_1p00_entry_0p33,r2_neighbor,28,0.4,0p40,1.0,1p00,0.33,0p33,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.08880370800893034,0.15624144723061045,-0.1912527618575952,0.6230174228215166,263.0,135.0,0.10855,108.55000000000001,0.6521164021164021,0.5537433862433863,111.0,111.0,66.0,49.0,
lb_28_r2_0p40_buf_1p00_entry_0p33,r2_neighbor,28,0.4,0p40,1.0,1p00,0.33,0p33,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.00585269900221741,0.141004570959704,-0.1912527618575952,0.11228720679365806,93.0,43.0,0.03362,33.620000000000005,0.6309523809523809,0.5432142857142858,33.0,33.0,22.0,15.0,
lb_28_r2_0p40_buf_1p00_entry_0p25,r2_neighbor,28,0.4,0p40,1.0,1p00,0.25,0p25,full,Full,2016-12-30,2007-01-04,2432.0,0.07230339368285965,0.160991914529766,-0.24516603868341047,0.5142368177507283,839.0,423.0,0.33999999999999997,340.0,0.655016447368421,0.528577302631579,410.0,410.0,205.0,159.0,
lb_28_r2_0p40_buf_1p00_entry_0p25,r2_neighbor,28,0.4,0p40,1.0,1p00,0.25,0p25,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p40_buf_1p00_entry_0p25,r2_neighbor,28,0.4,0p40,1.0,1p00,0.25,0p25,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.08542381606286131,0.15680731465795408,-0.1842218826246087,0.6014304285650036,417.0,224.0,0.18225,182.25,0.669047619047619,0.55,200.0,200.0,111.0,85.0,
lb_28_r2_0p40_buf_1p00_entry_0p25,r2_neighbor,28,0.4,0p40,1.0,1p00,0.25,0p25,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.09326615159125073,0.15430782725880543,-0.18422188262460915,0.6553800141295641,263.0,135.0,0.10575000000000001,105.75,0.6521164021164021,0.5419973544973545,111.0,111.0,66.0,49.0,
lb_28_r2_0p40_buf_1p00_entry_0p25,r2_neighbor,28,0.4,0p40,1.0,1p00,0.25,0p25,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.02204074212379581,0.13977247165649442,-0.18422188262460815,0.2262603649939223,93.0,43.0,0.0325,32.5,0.6309523809523809,0.5327380952380952,33.0,33.0,22.0,15.0,
lb_32_r2_0p50_buf_1p00_entry_full,return_peak_watch,32,0.5,0p50,1.0,1p00,1.0,full,full,Full,2016-12-30,2007-01-04,2432.0,0.11470115649213275,0.17645082350630956,-0.19610297967932477,0.7038160121942452,981.0,202.0,0.307,307.0,0.5966282894736842,0.5966282894736842,0.0,0.0,0.0,0.0,
lb_32_r2_0p50_buf_1p00_entry_full,return_peak_watch,32,0.5,0p50,1.0,1p00,1.0,full,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_32_r2_0p50_buf_1p00_entry_full,return_peak_watch,32,0.5,0p50,1.0,1p00,1.0,full,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.11497660933742249,0.17223415252819965,-0.19610297967932455,0.7184099318734571,495.0,104.0,0.158,158.0,0.6071428571428571,0.6071428571428571,0.0,0.0,0.0,0.0,
lb_32_r2_0p50_buf_1p00_entry_full,return_peak_watch,32,0.5,0p50,1.0,1p00,1.0,full,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.09124720530807506,0.16524689596674005,-0.19610297967932433,0.6115435463442092,320.0,58.0,0.084,84.0,0.5767195767195767,0.5767195767195767,0.0,0.0,0.0,0.0,
lb_32_r2_0p50_buf_1p00_entry_full,return_peak_watch,32,0.5,0p50,1.0,1p00,1.0,full,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.020348447088127997,0.13958646469046018,-0.19610297967932466,-0.07685032703842011,114.0,21.0,0.029,29.0,0.5476190476190477,0.5476190476190477,0.0,0.0,0.0,0.0,
lb_32_r2_0p50_buf_1p00_entry_0p75,return_peak_watch,32,0.5,0p50,1.0,1p00,0.75,0p75,full,Full,2016-12-30,2007-01-04,2432.0,0.1024078858162969,0.16784973613780757,-0.19348311557157738,0.6649920039064151,981.0,336.0,0.29700000000000004,297.0,0.5966282894736842,0.5621916118421053,335.0,335.0,154.0,134.0,
lb_32_r2_0p50_buf_1p00_entry_0p75,return_peak_watch,32,0.5,0p50,1.0,1p00,0.75,0p75,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_32_r2_0p50_buf_1p00_entry_0p75,return_peak_watch,32,0.5,0p50,1.0,1p00,0.75,0p75,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.09776707674782403,0.16290809226612904,-0.1934831155715775,0.6544381578424591,495.0,174.0,0.1535,153.5,0.6071428571428571,0.5714285714285714,180.0,180.0,79.0,70.0,
lb_32_r2_0p50_buf_1p00_entry_0p75,return_peak_watch,32,0.5,0p50,1.0,1p00,0.75,0p75,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.08104150401198096,0.15540029812216427,-0.19348311557157727,0.5796645174184172,320.0,96.0,0.08174999999999999,81.75,0.5767195767195767,0.542989417989418,102.0,102.0,42.0,38.0,
lb_32_r2_0p50_buf_1p00_entry_0p75,return_peak_watch,32,0.5,0p50,1.0,1p00,0.75,0p75,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.035429282166579035,0.13285629912492597,-0.19348311557157694,-0.20436497102277834,114.0,35.0,0.0285,28.5,0.5476190476190477,0.5069444444444444,41.0,41.0,15.0,14.0,
lb_32_r2_0p50_buf_1p00_entry_0p67,return_peak_watch,32,0.5,0p50,1.0,1p00,0.67,0p67,full,Full,2016-12-30,2007-01-04,2432.0,0.09840381802485476,0.16553324787330054,-0.1951080931061523,0.6499800818887806,981.0,336.0,0.2938,293.79999999999995,0.5966282894736842,0.551171875,335.0,335.0,154.0,134.0,
lb_32_r2_0p50_buf_1p00_entry_0p67,return_peak_watch,32,0.5,0p50,1.0,1p00,0.67,0p67,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_32_r2_0p50_buf_1p00_entry_0p67,return_peak_watch,32,0.5,0p50,1.0,1p00,0.67,0p67,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.09221270384330493,0.160387638923111,-0.19510809310615163,0.6305468949517582,495.0,174.0,0.15206,152.06,0.6071428571428571,0.56,180.0,180.0,79.0,70.0,
lb_32_r2_0p50_buf_1p00_entry_0p67,return_peak_watch,32,0.5,0p50,1.0,1p00,0.67,0p67,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.0776931210820786,0.15272774482000537,-0.19510809310615096,0.566796893417118,320.0,96.0,0.08103,81.03,0.5767195767195767,0.5321957671957671,102.0,102.0,42.0,38.0,
lb_32_r2_0p50_buf_1p00_entry_0p67,return_peak_watch,32,0.5,0p50,1.0,1p00,0.67,0p67,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.0402576999126838,0.13102630279363636,-0.1951080931061513,-0.2473501559470124,114.0,35.0,0.02834,28.34,0.5476190476190477,0.49392857142857144,41.0,41.0,15.0,14.0,
lb_32_r2_0p50_buf_1p00_entry_0p50,return_peak_watch,32,0.5,0p50,1.0,1p00,0.5,0p50,full,Full,2016-12-30,2007-01-04,2432.0,0.08978518990066942,0.16137667656993454,-0.20045915720293672,0.6136855520962888,981.0,336.0,0.28700000000000003,287.0,0.5966282894736842,0.5277549342105263,335.0,335.0,154.0,134.0,
lb_32_r2_0p50_buf_1p00_entry_0p50,return_peak_watch,32,0.5,0p50,1.0,1p00,0.5,0p50,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_32_r2_0p50_buf_1p00_entry_0p50,return_peak_watch,32,0.5,0p50,1.0,1p00,0.5,0p50,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.08033767227534616,0.15585561231733272,-0.20045915720293705,0.574121648094993,495.0,174.0,0.149,149.0,0.6071428571428571,0.5357142857142857,180.0,180.0,79.0,70.0,
lb_32_r2_0p50_buf_1p00_entry_0p50,return_peak_watch,32,0.5,0p50,1.0,1p00,0.5,0p50,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07044780953716523,0.14790763016894104,-0.2004591572029366,0.5347518001528246,320.0,96.0,0.0795,79.5,0.5767195767195767,0.5092592592592593,102.0,102.0,42.0,38.0,
lb_32_r2_0p50_buf_1p00_entry_0p50,return_peak_watch,32,0.5,0p50,1.0,1p00,0.5,0p50,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.05052063013649155,0.12770605640177693,-0.20045915720293694,-0.3413085240508835,114.0,35.0,0.028,28.0,0.5476190476190477,0.4662698412698413,41.0,41.0,15.0,14.0,
lb_32_r2_0p50_buf_1p00_entry_0p33,return_peak_watch,32,0.5,0p50,1.0,1p00,0.33,0p33,full,Full,2016-12-30,2007-01-04,2432.0,0.08102049416323176,0.1583270402438063,-0.2058258957590754,0.5714076069461728,981.0,336.0,0.2802,280.20000000000005,0.5966282894736842,0.5043379934210527,335.0,335.0,154.0,134.0,
lb_32_r2_0p50_buf_1p00_entry_0p33,return_peak_watch,32,0.5,0p50,1.0,1p00,0.33,0p33,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_32_r2_0p50_buf_1p00_entry_0p33,return_peak_watch,32,0.5,0p50,1.0,1p00,0.33,0p33,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.06836948317252323,0.15252369078148384,-0.20582589575907562,0.5102342252969924,495.0,174.0,0.14594000000000001,145.94,0.6071428571428571,0.5114285714285715,180.0,180.0,79.0,70.0,
lb_32_r2_0p50_buf_1p00_entry_0p33,return_peak_watch,32,0.5,0p50,1.0,1p00,0.33,0p33,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.06302903593967413,0.14434927455892582,-0.20582589575907606,0.49613869738500166,320.0,96.0,0.07796999999999998,77.97,0.5767195767195767,0.4863227513227514,102.0,102.0,42.0,38.0,
