candidate,baseline_candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,entry_fraction,entry_label,ann_return_full,max_dd_full,reason_full,trades_full,partial_position_days_full,pending_days_full,staged_fills_full,avg_holding_fraction_full,ann_return_last_10y,max_dd_last_10y,reason_last_10y,trades_last_10y,partial_position_days_last_10y,pending_days_last_10y,staged_fills_last_10y,avg_holding_fraction_last_10y,ann_return_last_5y,max_dd_last_5y,reason_last_5y,trades_last_5y,partial_position_days_last_5y,pending_days_last_5y,staged_fills_last_5y,avg_holding_fraction_last_5y,ann_return_last_3y,max_dd_last_3y,reason_last_3y,trades_last_3y,partial_position_days_last_3y,pending_days_last_3y,staged_fills_last_3y,avg_holding_fraction_last_3y,ann_return_last_1y,max_dd_last_1y,reason_last_1y,trades_last_1y,partial_position_days_last_1y,pending_days_last_1y,staged_fills_last_1y,avg_holding_fraction_last_1y,ann_delta_full_pp,mdd_improve_full_pp,trade_delta_full,ann_delta_last_10y_pp,mdd_improve_last_10y_pp,trade_delta_last_10y,ann_delta_last_5y_pp,mdd_improve_last_5y_pp,trade_delta_last_5y,ann_delta_last_3y_pp,mdd_improve_last_3y_pp,trade_delta_last_3y,ann_delta_last_1y_pp,mdd_improve_last_1y_pp,trade_delta_last_1y,dd_improve_window_count,return_tolerance_ok,full_mdd_improved,layer4_pass,pass_reason
lb_28_r2_0p40_buf_1p00_entry_0p75,lb_28_r2_0p40_buf_1p00_entry_full,r2_neighbor,28,0.4,0p40,1.0,1p00,0.75,0p75,0.08386111418275366,-0.28526540673672496,,423.0,410.0,410.0,159.0,0.6128700657894737,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.08773149384941914,-0.23341875130937895,,224.0,200.0,200.0,85.0,0.6293650793650793,0.06425281257541116,-0.23341875130937906,,135.0,111.0,111.0,49.0,0.6154100529100529,-0.07568672554080791,-0.23341875130937906,,43.0,33.0,33.0,15.0,0.5982142857142857,-0.478315673493257,2.8267273564001494,159.0,,,,-0.002571785865490561,3.1618950281722014,85.0,1.5479782070709103,3.1618950281722125,49.0,4.5876166331071495,3.16189502817229,15.0,4,True,True,True,pass
lb_28_r2_0p40_buf_1p00_entry_full,lb_28_r2_0p40_buf_1p00_entry_full,r2_neighbor,28,0.4,0p40,1.0,1p00,1.0,full,0.08864427091768623,-0.31353268030072645,,264.0,0.0,0.0,0.0,0.655016447368421,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.08775721170807405,-0.26503770159110096,,139.0,0.0,0.0,0.0,0.669047619047619,0.04877303050470205,-0.2650377015911012,,86.0,0.0,0.0,0.0,0.6521164021164021,-0.12156289187187941,-0.26503770159110196,,28.0,0.0,0.0,0.0,0.6309523809523809,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,baseline/full entry
lb_28_r2_0p50_buf_1p00_entry_0p25,lb_28_r2_0p50_buf_1p00_entry_full,layer3_primary,28,0.5,0p50,1.0,1p00,0.25,0p25,0.07098899364643851,-0.1968532060189343,,404.0,393.0,393.0,151.0,0.4750205592105263,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.07802631912624491,-0.17769352460009447,,211.0,190.0,190.0,79.0,0.48928571428571427,0.07890002718424927,-0.17769352460009435,,121.0,103.0,103.0,44.0,0.4718915343915344,0.055583025421796606,-0.1776935246000948,,34.0,23.0,23.0,14.0,0.4712301587301587,-2.9934889108147233,6.616759143631834,151.0,,,,-2.588079763405138,2.960598956841709,79.0,0.764533295533254,2.8123229488285495,44.0,5.550759786466775,2.8123229488284496,14.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_28_r2_0p50_buf_1p00_entry_0p33,lb_28_r2_0p50_buf_1p00_entry_full,layer3_primary,28,0.5,0p50,1.0,1p00,0.33,0p33,0.07438649773550932,-0.20132938598607097,,404.0,393.0,393.0,151.0,0.4879481907894737,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.0809789720458216,-0.1802835618064268,,211.0,190.0,190.0,79.0,0.5013492063492064,0.07831829779418298,-0.18028356180642668,,121.0,103.0,103.0,44.0,0.4827910052910053,0.04956565996865603,-0.18028356180642668,,34.0,23.0,23.0,14.0,0.47853174603174603,-2.653738501907643,6.169141146918166,151.0,,,,-2.2928144714474685,2.701595236208476,79.0,0.7063603565266252,2.5533192281953165,44.0,4.949023241152717,2.553319228195261,14.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_28_r2_0p50_buf_1p00_entry_0p50,lb_28_r2_0p50_buf_1p00_entry_full,layer3_primary,28,0.5,0p50,1.0,1p00,0.5,0p50,0.08144821802917224,-0.21276297154714263,,404.0,393.0,393.0,151.0,0.5154194078947368,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.0871045476690806,-0.1857678767815899,,211.0,190.0,190.0,79.0,0.526984126984127,0.076897230251465,-0.1857678767815899,,121.0,103.0,103.0,44.0,0.5059523809523809,0.03685538515128606,-0.18576787678159,,34.0,23.0,23.0,14.0,0.49404761904761907,-1.947566472541351,5.025782590811001,151.0,,,,-1.680256909121569,2.1531637386921654,79.0,0.5642536022548272,2.0048877306789947,44.0,3.6779957594157198,2.004887730678928,14.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_28_r2_0p50_buf_1p00_entry_0p67,lb_28_r2_0p50_buf_1p00_entry_full,layer3_primary,28,0.5,0p50,1.0,1p00,0.67,0p67,0.08829036072940122,-0.22515794913039755,,404.0,393.0,393.0,151.0,0.542890625,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.09302379020786589,-0.19191380165388194,,211.0,190.0,190.0,79.0,0.5526190476190476,0.07522414919030518,-0.19191380165388183,,121.0,103.0,103.0,44.0,0.5291137566137566,0.02424925132993483,-0.19191380165388205,,34.0,23.0,23.0,14.0,0.509563492063492,-1.263352202518453,3.786284832485509,151.0,,,,-1.0883326552430406,1.5385712514629613,79.0,0.3969454961388452,1.3902952434498017,44.0,2.417382377280597,1.390295243449724,14.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_28_r2_0p50_buf_1p00_entry_0p75,lb_28_r2_0p50_buf_1p00_entry_full,layer3_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,0.09143258127765219,-0.23103778974389722,,404.0,393.0,393.0,151.0,0.5558182565789473,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.09573655559647154,-0.19530150187527595,,211.0,190.0,190.0,79.0,0.5646825396825397,0.07434943440994957,-0.19530150187527606,,121.0,103.0,103.0,44.0,0.5400132275132276,0.018352960420496833,-0.19530150187527584,,34.0,23.0,23.0,14.0,0.5168650793650794,-0.9491301476933556,3.1983007711355427,151.0,,,,-0.8170561163824752,1.1998012293235605,79.0,0.309474018103284,1.0515252213103787,44.0,1.8277532863367973,1.0515252213103454,14.0,4,True,True,True,pass
lb_28_r2_0p50_buf_1p00_entry_full,lb_28_r2_0p50_buf_1p00_entry_full,layer3_primary,28,0.5,0p50,1.0,1p00,1.0,full,0.10092388275458575,-0.26302079745525264,,253.0,0.0,0.0,0.0,0.5962171052631579,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.10390711676029629,-0.20729951416851156,,132.0,0.0,0.0,0.0,0.6023809523809524,0.07125469422891673,-0.20581675408837985,,77.0,0.0,0.0,0.0,0.5740740740740741,7.542755712885985e-05,-0.2058167540883793,,20.0,0.0,0.0,0.0,0.5396825396825397,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,baseline/full entry
lb_32_r2_0p50_buf_1p00_entry_0p25,lb_32_r2_0p50_buf_1p00_entry_full,return_peak_watch,32,0.5,0p50,1.0,1p00,0.25,0p25,0.07684660693458167,-0.20835663134515425,,336.0,335.0,335.0,134.0,0.49331825657894735,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.06270679139787894,-0.20835663134515425,,174.0,180.0,180.0,70.0,0.5,0.05947898376746941,-0.2083566313451538,,96.0,102.0,102.0,38.0,0.4755291005291005,-0.06561563664001058,-0.2083566313451538,,35.0,41.0,41.0,14.0,0.4255952380952381,-3.7854549557551076,-1.225365166582948,134.0,,,,-5.226981793954355,-1.2253651665829701,70.0,-3.1768221540605657,-1.225365166582948,38.0,-4.526718955188258,-1.2253651665829146,14.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_32_r2_0p50_buf_1p00_entry_0p33,lb_32_r2_0p50_buf_1p00_entry_full,return_peak_watch,32,0.5,0p50,1.0,1p00,0.33,0p33,0.08102049416323176,-0.2058258957590754,,336.0,335.0,335.0,134.0,0.5043379934210527,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.06836948317252323,-0.20582589575907562,,174.0,180.0,180.0,70.0,0.5114285714285715,0.06302903593967413,-0.20582589575907606,,96.0,102.0,102.0,38.0,0.4863227513227514,-0.060785249901067484,-0.2058258957590755,,35.0,41.0,41.0,14.0,0.4386111111111111,-3.368066232890099,-0.9722916079750621,134.0,,,,-4.660712616489926,-0.9722916079751065,70.0,-2.8218169368400936,-0.9722916079751731,38.0,-4.043680281293948,-0.9722916079750843,14.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_32_r2_0p50_buf_1p00_entry_0p50,lb_32_r2_0p50_buf_1p00_entry_full,return_peak_watch,32,0.5,0p50,1.0,1p00,0.5,0p50,0.08978518990066942,-0.20045915720293672,,336.0,335.0,335.0,134.0,0.5277549342105263,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.08033767227534616,-0.20045915720293705,,174.0,180.0,180.0,70.0,0.5357142857142857,0.07044780953716523,-0.2004591572029366,,96.0,102.0,102.0,38.0,0.5092592592592593,-0.05052063013649155,-0.20045915720293694,,35.0,41.0,41.0,14.0,0.4662698412698413,-2.4915966591463334,-0.4356177523611948,134.0,,,,-3.4638937062076325,-0.43561775236125033,70.0,-2.0799395770909834,-0.4356177523612281,38.0,-3.0172183048363554,-0.4356177523612281,14.0,0,False,False,False,full_mdd=False;dd_windows=0;return_tol=False
lb_32_r2_0p50_buf_1p00_entry_0p67,lb_32_r2_0p50_buf_1p00_entry_full,return_peak_watch,32,0.5,0p50,1.0,1p00,0.67,0p67,0.09840381802485476,-0.1951080931061523,,336.0,335.0,335.0,134.0,0.551171875,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.09221270384330493,-0.19510809310615163,,174.0,180.0,180.0,70.0,0.56,0.0776931210820786,-0.19510809310615096,,96.0,102.0,102.0,38.0,0.5321957671957671,-0.0402576999126838,-0.1951080931061513,,35.0,41.0,41.0,14.0,0.49392857142857144,-1.6297338467277989,0.09948865731724821,134.0,,,,-2.2763905494117553,0.09948865731729262,70.0,-1.3554084225996466,0.09948865731733703,38.0,-1.99092528245558,0.09948865731733703,14.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_32_r2_0p50_buf_1p00_entry_0p75,lb_32_r2_0p50_buf_1p00_entry_full,return_peak_watch,32,0.5,0p50,1.0,1p00,0.75,0p75,0.1024078858162969,-0.19348311557157738,,336.0,335.0,335.0,134.0,0.5621916118421053,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.09776707674782403,-0.1934831155715775,,174.0,180.0,180.0,70.0,0.5714285714285714,0.08104150401198096,-0.19348311557157727,,96.0,102.0,102.0,38.0,0.542989417989418,-0.035429282166579035,-0.19348311557157694,,35.0,41.0,41.0,14.0,0.5069444444444444,-1.2293270675835855,0.2619864107747394,134.0,,,,-1.7209532589598453,0.2619864107747061,70.0,-1.0205701296094105,0.2619864107747061,38.0,-1.5080835078451038,0.2619864107747727,14.0,4,False,True,False,full_mdd=True;dd_windows=4;return_tol=False
lb_32_r2_0p50_buf_1p00_entry_full,lb_32_r2_0p50_buf_1p00_entry_full,return_peak_watch,32,0.5,0p50,1.0,1p00,1.0,full,0.11470115649213275,-0.19610297967932477,,202.0,0.0,0.0,0.0,0.5966282894736842,,,insufficient rows: 2432 < 2520 trading days,,,,,,0.11497660933742249,-0.19610297967932455,,104.0,0.0,0.0,0.0,0.6071428571428571,0.09124720530807506,-0.19610297967932433,,58.0,0.0,0.0,0.0,0.5767195767195767,-0.020348447088127997,-0.19610297967932466,,21.0,0.0,0.0,0.0,0.5476190476190477,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,False,baseline/full entry
