date,candidate,baseline_candidate,line_id,line_role,overheat_direction,overheat_parameter_label,overheat_enabled,lookback,r2_threshold,switch_buffer,entry_fraction,score_max,decay_label,nav_label,position_before,fraction_before,position,holding_fraction,actual_position_before,actual_position_next,score_decay_multiplier_effective,score_decay_multiplier_next,nav_defense_scale_effective,nav_defense_scale_next,overheat_rule_scale_effective,overheat_rule_scale_next,overheat_rule_on_effective,overheat_rule_on_next,overheat_triggered,overheat_recovered,overheat_bias,overheat_bias_mom,overheat_same_side,overheat_enter_threshold,overheat_exit_threshold,combined_overlay_scale_effective,combined_overlay_scale_next,asset_return,gross_return,turnover,cost,return,nav,exposure_effective,final_exposure_after_overheat,effect_vs_baseline
2017-01-17,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-18,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-19,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-20,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-23,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-24,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-25,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-01-26,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-02-03,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-02-06,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-02-07,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-02-08,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-02-09,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-02-10,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-02-13,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-02-14,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-02-15,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,CASH,0.0,CASH,CASH,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
2017-02-16,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CASH,0.0,QQQ,0.75,CASH,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.75,0.00075,-0.0007500000000000284,0.99925,0.0,0.75,False
2017-02-17,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,QQQ,0.75,QQQ,0.75,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.004332550645198774,0.0032494129838990804,0.0,0.0,0.003249412983899136,1.002496975924161,0.75,0.75,False
2017-02-20,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,QQQ,0.75,QQQ,0.75,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.002496975924161,0.75,0.75,False
2017-02-21,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,QQQ,0.75,QQQ,0.75,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.004930072735830793,0.0036975545518730946,0.0,0.0,0.00369755455187315,1.0062037631807286,0.75,0.75,False
2017-02-22,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,QQQ,0.75,QQQ,0.75,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.00038367170518105453,0.0002877537788857909,0.0,0.0,0.0002877537788856799,1.0064933021159128,0.75,0.75,False
2017-02-23,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,QQQ,0.75,QQQ,1.0,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.003754802001630586,-0.0028161015012229396,0.25,0.00025,-0.0030653974758476643,1.0034080000881491,0.75,1.0,False
2017-02-24,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,QQQ,1.0,QQQ,1.0,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0019227236589953733,0.0019227236589953733,0.0,0.0,0.0019227236589953733,1.0053372763895438,1.0,1.0,False
2017-02-27,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,QQQ,1.0,QQQ,1.0,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.001228353983189212,0.001228353983189212,0.0,0.0,0.001228353983189212,1.0065721864374455,1.0,1.0,False
2017-02-28,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,QQQ,1.0,QQQ,1.0,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.0030670239280987666,-0.0030670239280987666,0.0,0.0,-0.0030670239280987666,1.0034850054562832,1.0,1.0,False
2017-03-01,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,QQQ,1.0,QQQ,1.0,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.010921177944203775,0.010921177944203775,0.0,0.0,0.010921177944203775,1.0144442437652115,1.0,1.0,False
2017-03-02,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,QQQ,1.0,QQQ,1.0,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.005021186445920756,-0.005021186445920756,0.0,0.0,-0.005021186445920756,1.0093505300782752,1.0,1.0,False
2017-03-03,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,QQQ,1.0,QQQ,1.0,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0018352360217608332,0.0018352360217608332,0.0,0.0,0.0018352360217608332,1.0112029265296583,1.0,1.0,False
2017-03-06,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,QQQ,1.0,QQQ,1.0,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.002213566257817434,-0.002213566257817434,0.0,0.0,-0.002213566257817323,1.008964561851686,1.0,1.0,False
2017-03-07,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,QQQ,1.0,QQQ,1.0,QQQ,QQQ,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.0016825492892084126,-0.0016825492892084126,0.0,0.0,-0.0016825492892084126,1.007266929245306,1.0,1.0,False
2017-03-08,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,QQQ,1.0,CN_CYB_399006,0.75,QQQ,CN_CYB_399006,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0017622709893521105,0.0017622709893521105,1.75,0.00175,9.187015120648567e-06,1.0072761830218155,1.0,0.75,False
2017-03-09,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CN_CYB_399006,0.75,CN_CYB_399006,1.0,CN_CYB_399006,CN_CYB_399006,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.005441228119289709,-0.004080921089467282,0.25,0.00025,-0.004329900859194713,1.002914777011503,0.75,1.0,False
2017-03-10,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CN_CYB_399006,1.0,CN_CYB_399006,1.0,CN_CYB_399006,CN_CYB_399006,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.002011320716091669,-0.002011320716091669,0.0,0.0,-0.00201132071609178,1.0008975937440252,1.0,1.0,False
2017-03-13,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CN_CYB_399006,1.0,CN_CYB_399006,1.0,CN_CYB_399006,CN_CYB_399006,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.010702509217901612,0.010702509217901612,0.0,0.0,0.010702509217901612,1.0116097094672463,1.0,1.0,False
2017-03-14,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CN_CYB_399006,1.0,CN_CYB_399006,1.0,CN_CYB_399006,CN_CYB_399006,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.006525004059100614,-0.006525004059100614,0.0,0.0,-0.006525004059100614,1.005008952006747,1.0,1.0,False
2017-03-15,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CN_CYB_399006,1.0,CN_CYB_399006,1.0,CN_CYB_399006,CN_CYB_399006,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.00010214400261487899,-0.00010214400261487899,0.0,0.0,-0.00010214400261499001,1.004906296369725,1.0,1.0,False
2017-03-16,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CN_CYB_399006,1.0,CN_CYB_399006,1.0,CN_CYB_399006,CN_CYB_399006,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.00455098017182376,0.00455098017182376,0.0,0.0,0.00455098017182376,1.0094796049990444,1.0,1.0,False
2017-03-17,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CN_CYB_399006,1.0,CN_CYB_399006,1.0,CN_CYB_399006,CN_CYB_399006,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.008679381511442874,-0.008679381511442874,0.0,0.0,-0.008679381511442874,1.000717946379237,1.0,1.0,False
2017-03-20,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,CN_CYB_399006,1.0,EWG,0.75,CN_CYB_399006,EWG,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0021337053640120285,0.0021337053640120285,1.75,0.00175,0.0003799713796250881,1.0010981905579384,1.0,0.75,False
2017-03-21,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,EWG,0.75,EWG,1.0,EWG,EWG,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.0049366690520050716,-0.0037025017890038037,0.25,0.00025,-0.003951576163556458,0.9971422748107501,0.75,1.0,False
2017-03-22,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,EWG,1.0,EWG,1.0,EWG,EWG,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.00035421546420666417,0.00035421546420666417,0.0,0.0,0.00035421546420666417,0.9974954780245023,1.0,1.0,False
2017-03-23,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,EWG,1.0,EWG,1.0,EWG,EWG,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.004959489698809216,0.004959489698809216,0.0,0.0,0.004959489698809216,1.0024425465723736,1.0,1.0,False
2017-03-24,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,EWG,1.0,EWG,1.0,EWG,EWG,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.006344555573130073,0.006344555573130073,0.0,0.0,0.006344555573130073,1.008802599017972,1.0,1.0,False
2017-03-27,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,EWG,1.0,EWG,1.0,EWG,EWG,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0024518659596874937,0.0024518659596874937,0.0,0.0,0.0024518659596874937,1.0112760477705485,1.0,1.0,False
2017-03-28,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,EWG,1.0,EWG,1.0,EWG,EWG,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.006638739006612937,0.006638739006612937,0.0,0.0,0.006638739006612937,1.017989645515336,1.0,1.0,False
2017-03-29,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,EWG,1.0,EWG,1.0,EWG,EWG,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.0010414725684509962,-0.0010414725684509962,0.0,0.0,-0.0010414725684509962,1.0169294372245647,1.0,1.0,False
2017-03-30,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,EWG,1.0,EWG,1.0,EWG,EWG,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.005211782650338614,-0.005211782650338614,0.0,0.0,-0.005211782650338503,1.0116294220270192,1.0,1.0,False
2017-03-31,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,EWG,1.0,EWG,1.0,EWG,EWG,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,0.0041914053702740706,0.0041914053702740706,0.0,0.0,0.0041914053702740706,1.0158695710192305,1.0,1.0,False
2017-04-05,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,EWG,1.0,EWG,1.0,EWG,EWG,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.007999883487443071,-0.007999883487443071,0.0,0.0,-0.007999883487443071,1.0077427328126378,1.0,1.0,False
2017-04-06,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,EWG,1.0,EWG,1.0,EWG,EWG,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.0003509137888412228,-0.0003509137888412228,0.0,0.0,-0.0003509137888412228,1.0073891019920893,1.0,1.0,False
2017-04-07,A_clean_scoremax_5_overheat_off,A_clean_scoremax_5_overheat_off,A_clean,A_clean,baseline,overheat_off,False,28,0.5,1.0,0.75,5.0,decay_off,nav_off,EWG,1.0,GLD,0.75,EWG,GLD,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,,,False,,,1.0,1.0,-0.0028060036405972433,-0.0028060036405972433,1.75,0.00175,-0.004551093134226303,1.0028043803665188,1.0,0.75,False
