candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,cash_days,trades,cost_total,turnover_total,holding_day_ratio,buffer_blocked_days,reason
lb_28_r2_0p50_buf_1p05,layer2_primary,28,0.5,0p50,1.05,1p05,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.08199177264466728,0.17079058368991423,-0.20581668109433915,0.5474886493969754,322.0,75.0,0.116,116.0,0.5740740740740741,7.0,
lb_28_r2_0p50_buf_1p05,layer2_primary,28,0.5,0p50,1.05,1p05,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.006748472563994579,0.13496783405518212,-0.20581668109433982,0.11793005132245588,116.0,20.0,0.033,33.0,0.5396825396825397,1.0,
lb_28_r2_0p50_buf_1p08,layer2_primary,28,0.5,0p50,1.08,1p08,full,Full,2016-12-30,2007-01-04,2432.0,0.11396918102233133,0.17784020827336539,-0.27369221931162957,0.6962033988938144,982.0,236.0,0.351,351.0,0.5962171052631579,41.0,
lb_28_r2_0p50_buf_1p08,layer2_primary,28,0.5,0p50,1.08,1p08,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p08,layer2_primary,28,0.5,0p50,1.08,1p08,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.11958988523717728,0.17105568937718693,-0.20581668109434004,0.746473284205246,501.0,125.0,0.194,194.0,0.6023809523809524,19.0,
lb_28_r2_0p50_buf_1p08,layer2_primary,28,0.5,0p50,1.08,1p08,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.09021715160992794,0.1711283148406348,-0.2058166810943396,0.5910131927645905,322.0,75.0,0.116,116.0,0.5740740740740741,9.0,
lb_28_r2_0p50_buf_1p08,layer2_primary,28,0.5,0p50,1.08,1p08,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.0067484725639939125,0.13496783405518215,-0.20581668109433982,0.1179300513224542,116.0,20.0,0.033,33.0,0.5396825396825397,1.0,
lb_28_r2_0p50_buf_1p10,layer2_primary,28,0.5,0p50,1.1,1p10,full,Full,2016-12-30,2007-01-04,2432.0,0.10681377214584731,0.177433935663884,-0.28811915547074807,0.6610623666548797,982.0,235.0,0.349,349.0,0.5962171052631579,56.0,
lb_28_r2_0p50_buf_1p10,layer2_primary,28,0.5,0p50,1.1,1p10,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p10,layer2_primary,28,0.5,0p50,1.1,1p10,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.11589633055330628,0.1711090836528196,-0.20581668109433937,0.7269725258460915,501.0,125.0,0.194,194.0,0.6023809523809524,26.0,
lb_28_r2_0p50_buf_1p10,layer2_primary,28,0.5,0p50,1.1,1p10,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.08482801509817084,0.17111508194658134,-0.20581668109433926,0.5620766369105203,322.0,75.0,0.116,116.0,0.5740740740740741,14.0,
lb_28_r2_0p50_buf_1p10,layer2_primary,28,0.5,0p50,1.1,1p10,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.009372087912237426,0.13502108547087494,-0.20581668109433937,0.13721365906464947,116.0,20.0,0.033,33.0,0.5396825396825397,3.0,
lb_28_r2_0p50_buf_1p15,layer2_primary,28,0.5,0p50,1.15,1p15,full,Full,2016-12-30,2007-01-04,2432.0,0.11260966749250345,0.1769439618957134,-0.28875432622361197,0.6919194801241583,982.0,230.0,0.33899999999999997,339.0,0.5962171052631579,68.0,
lb_28_r2_0p50_buf_1p15,layer2_primary,28,0.5,0p50,1.15,1p15,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p15,layer2_primary,28,0.5,0p50,1.15,1p15,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.12292630517685588,0.17017534024450784,-0.20581668109433948,0.7669178587405614,501.0,123.0,0.19,190.0,0.6023809523809524,29.0,
lb_28_r2_0p50_buf_1p15,layer2_primary,28,0.5,0p50,1.15,1p15,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.09539881831297325,0.16958497601948824,-0.20581668109434026,0.6227659699881866,322.0,73.0,0.112,112.0,0.5740740740740741,16.0,
lb_28_r2_0p50_buf_1p15,layer2_primary,28,0.5,0p50,1.15,1p15,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.009372087912236537,0.13502108547087502,-0.20581668109433982,0.13721365906464195,116.0,20.0,0.033,33.0,0.5396825396825397,3.0,
lb_28_r2_0p50_buf_1p20,layer2_primary,28,0.5,0p50,1.2,1p20,full,Full,2016-12-30,2007-01-04,2432.0,0.11117969167292174,0.17699634207033857,-0.2887543262236123,0.6845053448621772,982.0,229.0,0.33699999999999997,337.0,0.5962171052631579,86.0,
lb_28_r2_0p50_buf_1p20,layer2_primary,28,0.5,0p50,1.2,1p20,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p20,layer2_primary,28,0.5,0p50,1.2,1p20,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.12764976642325165,0.1698906506228402,-0.20581668109433948,0.7926418806697801,501.0,122.0,0.188,188.0,0.6023809523809524,37.0,
lb_28_r2_0p50_buf_1p20,layer2_primary,28,0.5,0p50,1.2,1p20,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.09875665919292187,0.16905651225655002,-0.20581668109433937,0.6423018439067657,322.0,72.0,0.11000000000000001,110.0,0.5740740740740741,23.0,
lb_28_r2_0p50_buf_1p20,layer2_primary,28,0.5,0p50,1.2,1p20,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.010933763526864593,0.13270678564263527,-0.20581668109433937,-0.015835863641598894,116.0,20.0,0.033,33.0,0.5396825396825397,8.0,
lb_28_r2_0p40_buf_1p00,r2_neighbor,28,0.4,0p40,1.0,1p00,full,Full,2016-12-30,2007-01-04,2432.0,0.08864463263277589,0.1879438438237128,-0.3135323979779002,0.5462561407233666,839.0,264.0,0.40900000000000003,409.0,0.655016447368421,0.0,
lb_28_r2_0p40_buf_1p00,r2_neighbor,28,0.4,0p40,1.0,1p00,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p40_buf_1p00,r2_neighbor,28,0.4,0p40,1.0,1p00,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.08775742953319421,0.1866795191885237,-0.2650377196374192,0.5444881361715511,417.0,139.0,0.22200000000000003,222.0,0.669047619047619,0.0,
lb_28_r2_0p40_buf_1p00,r2_neighbor,28,0.4,0p40,1.0,1p00,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.04877296328426861,0.18880241838248418,-0.26503771963741884,0.3473799038167025,263.0,86.0,0.132,132.0,0.6521164021164021,0.0,
lb_28_r2_0p40_buf_1p00,r2_neighbor,28,0.4,0p40,1.0,1p00,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.12156314512249988,0.16174778657532335,-0.26503771963741884,-0.7193530516404115,93.0,28.0,0.043,43.0,0.6309523809523809,0.0,
lb_28_r2_0p40_buf_1p02,r2_neighbor,28,0.4,0p40,1.02,1p02,full,Full,2016-12-30,2007-01-04,2432.0,0.08917544423037205,0.18807080432869372,-0.32562325661334457,0.5486124092390485,839.0,259.0,0.399,399.0,0.655016447368421,10.0,
lb_28_r2_0p40_buf_1p02,r2_neighbor,28,0.4,0p40,1.02,1p02,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p40_buf_1p02,r2_neighbor,28,0.4,0p40,1.02,1p02,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.09167633866305658,0.18655500445512765,-0.2650377196374195,0.5640112190709944,417.0,136.0,0.21600000000000003,216.0,0.669047619047619,5.0,
lb_28_r2_0p40_buf_1p02,r2_neighbor,28,0.4,0p40,1.02,1p02,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.05111012339483367,0.1888063666841108,-0.2650377196374192,0.35916894944698435,263.0,86.0,0.132,132.0,0.6521164021164021,2.0,
lb_28_r2_0p40_buf_1p02,r2_neighbor,28,0.4,0p40,1.02,1p02,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.12156314512250166,0.16174778657532354,-0.26503771963741984,-0.7193530516404155,93.0,28.0,0.043,43.0,0.6309523809523809,0.0,
lb_28_r2_0p40_buf_1p03,r2_neighbor,28,0.4,0p40,1.03,1p03,full,Full,2016-12-30,2007-01-04,2432.0,0.09773464384231767,0.18826188945934572,-0.325623256613344,0.5898395636021534,839.0,255.0,0.391,391.0,0.655016447368421,19.0,
lb_28_r2_0p40_buf_1p03,r2_neighbor,28,0.4,0p40,1.03,1p03,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p40_buf_1p03,r2_neighbor,28,0.4,0p40,1.03,1p03,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.10514931253809334,0.18770323797949304,-0.26503771963741973,0.6270467837430843,417.0,134.0,0.21200000000000002,212.0,0.669047619047619,9.0,
lb_28_r2_0p40_buf_1p03,r2_neighbor,28,0.4,0p40,1.03,1p03,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07281948565544116,0.19070804535686048,-0.26503771963742007,0.4646511434942646,263.0,84.0,0.128,128.0,0.6521164021164021,6.0,
lb_28_r2_0p40_buf_1p03,r2_neighbor,28,0.4,0p40,1.03,1p03,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.11570154300512725,0.16228583008267905,-0.26503771963741996,-0.6754779934529115,93.0,28.0,0.043,43.0,0.6309523809523809,1.0,
lb_28_r2_0p40_buf_1p05,r2_neighbor,28,0.4,0p40,1.05,1p05,full,Full,2016-12-30,2007-01-04,2432.0,0.09514875276736934,0.18771016760822995,-0.3265990152305658,0.5784605335400154,839.0,251.0,0.383,383.0,0.655016447368421,32.0,
lb_28_r2_0p40_buf_1p05,r2_neighbor,28,0.4,0p40,1.05,1p05,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p40_buf_1p05,r2_neighbor,28,0.4,0p40,1.05,1p05,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.09578375530099503,0.18652984423947835,-0.2650377196374192,0.5841889406964985,417.0,132.0,0.20800000000000002,208.0,0.669047619047619,17.0,
lb_28_r2_0p40_buf_1p05,r2_neighbor,28,0.4,0p40,1.05,1p05,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07423677143630569,0.19051161469336347,-0.2650377196374193,0.47186437701930406,263.0,82.0,0.124,124.0,0.6521164021164021,10.0,
lb_28_r2_0p40_buf_1p05,r2_neighbor,28,0.4,0p40,1.05,1p05,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.11570154300512658,0.16228583008267905,-0.26503771963741984,-0.6754779934529054,93.0,28.0,0.043,43.0,0.6309523809523809,1.0,
lb_28_r2_0p40_buf_1p08,r2_neighbor,28,0.4,0p40,1.08,1p08,full,Full,2016-12-30,2007-01-04,2432.0,0.10401839285346548,0.18873616018908948,-0.3265765528616177,0.6190739418789276,839.0,246.0,0.373,373.0,0.655016447368421,46.0,
lb_28_r2_0p40_buf_1p08,r2_neighbor,28,0.4,0p40,1.08,1p08,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p40_buf_1p08,r2_neighbor,28,0.4,0p40,1.08,1p08,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.10947117790967509,0.1874414147667796,-0.2650377196374186,0.648497742060618,417.0,130.0,0.20400000000000001,204.0,0.669047619047619,23.0,
lb_28_r2_0p40_buf_1p08,r2_neighbor,28,0.4,0p40,1.08,1p08,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.08240319632684368,0.19081501698976525,-0.26503771963741873,0.5111171628579555,263.0,82.0,0.124,124.0,0.6521164021164021,12.0,
lb_28_r2_0p40_buf_1p08,r2_neighbor,28,0.4,0p40,1.08,1p08,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.1157015430051258,0.16228583008267897,-0.2650377196374185,-0.6754779934529016,93.0,28.0,0.043,43.0,0.6309523809523809,1.0,
lb_28_r2_0p40_buf_1p10,r2_neighbor,28,0.4,0p40,1.1,1p10,full,Full,2016-12-30,2007-01-04,2432.0,0.09692690132694426,0.18835243395994125,-0.33995569303382245,0.5857295088725628,839.0,245.0,0.371,371.0,0.655016447368421,61.0,
lb_28_r2_0p40_buf_1p10,r2_neighbor,28,0.4,0p40,1.1,1p10,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p40_buf_1p10,r2_neighbor,28,0.4,0p40,1.1,1p10,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.10581100509119645,0.1874897147320482,-0.2631223868887854,0.6307462514454912,417.0,130.0,0.20400000000000001,204.0,0.669047619047619,30.0,
lb_28_r2_0p40_buf_1p10,r2_neighbor,28,0.4,0p40,1.1,1p10,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07705268558028977,0.19080277707612303,-0.263122386888785,0.4851581805666564,263.0,82.0,0.124,124.0,0.6521164021164021,17.0,
lb_28_r2_0p40_buf_1p10,r2_neighbor,28,0.4,0p40,1.1,1p10,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.11339703590387284,0.1623381296134302,-0.26312238688878553,-0.659182987592477,93.0,28.0,0.043,43.0,0.6309523809523809,3.0,
lb_28_r2_0p40_buf_1p15,r2_neighbor,28,0.4,0p40,1.15,1p15,full,Full,2016-12-30,2007-01-04,2432.0,0.0970455675430637,0.18741295839087682,-0.3405446129950799,0.5883061560621464,839.0,238.0,0.357,357.0,0.655016447368421,77.0,
lb_28_r2_0p40_buf_1p15,r2_neighbor,28,0.4,0p40,1.15,1p15,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p40_buf_1p15,r2_neighbor,28,0.4,0p40,1.15,1p15,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.10490104385307997,0.18559259292719044,-0.26312238688878553,0.630857088960948,417.0,127.0,0.198,198.0,0.669047619047619,35.0,
lb_28_r2_0p40_buf_1p15,r2_neighbor,28,0.4,0p40,1.15,1p15,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07474831785813896,0.18770523471206746,-0.2631223868887852,0.4786401553988967,263.0,79.0,0.11800000000000001,118.0,0.6521164021164021,21.0,
lb_28_r2_0p40_buf_1p15,r2_neighbor,28,0.4,0p40,1.15,1p15,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.11339703590387262,0.16233812961343036,-0.2631223868887853,-0.6591829875924783,93.0,28.0,0.043,43.0,0.6309523809523809,3.0,
lb_28_r2_0p40_buf_1p20,r2_neighbor,28,0.4,0p40,1.2,1p20,full,Full,2016-12-30,2007-01-04,2432.0,0.0951569608320959,0.18745922115057584,-0.33910070627893074,0.5790170630822226,839.0,238.0,0.357,357.0,0.655016447368421,99.0,
lb_28_r2_0p40_buf_1p20,r2_neighbor,28,0.4,0p40,1.2,1p20,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p40_buf_1p20,r2_neighbor,28,0.4,0p40,1.2,1p20,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.1081284669508138,0.18532939615374108,-0.2779463824399069,0.6472341712609071,417.0,127.0,0.198,198.0,0.669047619047619,45.0,
lb_28_r2_0p40_buf_1p20,r2_neighbor,28,0.4,0p40,1.2,1p20,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07574402191869534,0.18722202567539897,-0.2779463824399069,0.48433822412293387,263.0,79.0,0.11800000000000001,118.0,0.6521164021164021,30.0,
lb_28_r2_0p40_buf_1p20,r2_neighbor,28,0.4,0p40,1.2,1p20,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.13123310279139921,0.16035433655784742,-0.2779463824399069,-0.7959797020070162,93.0,28.0,0.043,43.0,0.6309523809523809,8.0,
lb_32_r2_0p50_buf_1p00,return_peak_watch,32,0.5,0p50,1.0,1p00,full,Full,2016-12-30,2007-01-04,2432.0,0.11470069885369938,0.17645079898495172,-0.19610331505200584,0.7038137557437923,981.0,202.0,0.307,307.0,0.5966282894736842,0.0,
lb_32_r2_0p50_buf_1p00,return_peak_watch,32,0.5,0p50,1.0,1p00,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_32_r2_0p50_buf_1p00,return_peak_watch,32,0.5,0p50,1.0,1p00,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.11497613969840592,0.17223414647268087,-0.1961033150520055,0.718407503205199,495.0,104.0,0.158,158.0,0.6071428571428571,0.0,
lb_32_r2_0p50_buf_1p00,return_peak_watch,32,0.5,0p50,1.0,1p00,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.09124679942661773,0.1652468822552057,-0.19610331505200584,0.6115413306063463,320.0,58.0,0.084,84.0,0.5767195767195767,0.0,
lb_32_r2_0p50_buf_1p00,return_peak_watch,32,0.5,0p50,1.0,1p00,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.020348881710781308,0.13958653906538646,-0.1961033150520055,-0.07685339123477039,114.0,21.0,0.029,29.0,0.5476190476190477,0.0,
lb_32_r2_0p50_buf_1p02,return_peak_watch,32,0.5,0p50,1.02,1p02,full,Full,2016-12-30,2007-01-04,2432.0,0.11312377437751042,0.17628390703531602,-0.19610331505200573,0.6962732072520821,981.0,202.0,0.307,307.0,0.5966282894736842,5.0,
lb_32_r2_0p50_buf_1p02,return_peak_watch,32,0.5,0p50,1.02,1p02,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_32_r2_0p50_buf_1p02,return_peak_watch,32,0.5,0p50,1.02,1p02,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.1135951740383434,0.1722483314680731,-0.19610331505200573,0.7111638963765213,495.0,104.0,0.158,158.0,0.6071428571428571,1.0,
lb_32_r2_0p50_buf_1p02,return_peak_watch,32,0.5,0p50,1.02,1p02,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.08899510384076792,0.1652703792085105,-0.19610331505200596,0.5989747492690548,320.0,58.0,0.084,84.0,0.5767195767195767,1.0,
lb_32_r2_0p50_buf_1p02,return_peak_watch,32,0.5,0p50,1.02,1p02,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.026400659158936746,0.13964995405534558,-0.19610331505200596,-0.12112601058095344,114.0,21.0,0.029,29.0,0.5476190476190477,1.0,
lb_32_r2_0p50_buf_1p03,return_peak_watch,32,0.5,0p50,1.03,1p03,full,Full,2016-12-30,2007-01-04,2432.0,0.11608738710119915,0.1763388454893667,-0.19610331505200596,0.711196264965436,981.0,200.0,0.303,303.0,0.5966282894736842,17.0,
lb_32_r2_0p50_buf_1p03,return_peak_watch,32,0.5,0p50,1.03,1p03,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_32_r2_0p50_buf_1p03,return_peak_watch,32,0.5,0p50,1.03,1p03,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.11411224080837812,0.17226142927992652,-0.19610331505200584,0.7138189859090979,495.0,104.0,0.158,158.0,0.6071428571428571,2.0,
lb_32_r2_0p50_buf_1p03,return_peak_watch,32,0.5,0p50,1.03,1p03,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.0889951038407677,0.16527037920851056,-0.19610331505200584,0.5989747492690521,320.0,58.0,0.084,84.0,0.5767195767195767,1.0,
lb_32_r2_0p50_buf_1p03,return_peak_watch,32,0.5,0p50,1.03,1p03,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.026400659158936746,0.13964995405534558,-0.19610331505200562,-0.12112601058095424,114.0,21.0,0.029,29.0,0.5476190476190477,1.0,
lb_32_r2_0p50_buf_1p05,return_peak_watch,32,0.5,0p50,1.05,1p05,full,Full,2016-12-30,2007-01-04,2432.0,0.11732276608480463,0.1761556466219323,-0.19610331505200573,0.7180257473740297,981.0,200.0,0.303,303.0,0.5966282894736842,25.0,
lb_32_r2_0p50_buf_1p05,return_peak_watch,32,0.5,0p50,1.05,1p05,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_32_r2_0p50_buf_1p05,return_peak_watch,32,0.5,0p50,1.05,1p05,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.11117207549384744,0.17267679835685243,-0.19610331505200596,0.6972060222659906,495.0,104.0,0.158,158.0,0.6071428571428571,8.0,
lb_32_r2_0p50_buf_1p05,return_peak_watch,32,0.5,0p50,1.05,1p05,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.08377419283009813,0.16569562975970736,-0.19610331505200562,0.5688481496178752,320.0,58.0,0.084,84.0,0.5767195767195767,5.0,
lb_32_r2_0p50_buf_1p05,return_peak_watch,32,0.5,0p50,1.05,1p05,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.03059528963305236,0.13965066788327865,-0.19610331505200607,-0.15204014359708853,114.0,21.0,0.029,29.0,0.5476190476190477,2.0,
lb_32_r2_0p50_buf_1p08,return_peak_watch,32,0.5,0p50,1.08,1p08,full,Full,2016-12-30,2007-01-04,2432.0,0.11191792240989096,0.1753747669641333,-0.20243654859916282,0.6927836854319935,981.0,198.0,0.299,299.0,0.5966282894736842,33.0,
lb_32_r2_0p50_buf_1p08,return_peak_watch,32,0.5,0p50,1.08,1p08,last_10y,10Y,2016-12-30,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_32_r2_0p50_buf_1p08,return_peak_watch,32,0.5,0p50,1.08,1p08,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.10290999011851443,0.17164354344725796,-0.20243654859916238,0.6568783223001109,495.0,104.0,0.158,158.0,0.6071428571428571,14.0,
lb_32_r2_0p50_buf_1p08,return_peak_watch,32,0.5,0p50,1.08,1p08,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.08366542395904508,0.16483762091425405,-0.20243654859916216,0.5703474066194976,320.0,58.0,0.084,84.0,0.5767195767195767,9.0,
lb_32_r2_0p50_buf_1p08,return_peak_watch,32,0.5,0p50,1.08,1p08,last_1y,1Y,2016-12-30,2015-12-22,252.0,-0.04428568066681404,0.13722263444485444,-0.20243654859916238,-0.2607836001112939,114.0,21.0,0.029,29.0,0.5476190476190477,4.0,
lb_32_r2_0p50_buf_1p10,return_peak_watch,32,0.5,0p50,1.1,1p10,full,Full,2016-12-30,2007-01-04,2432.0,0.10657796440768608,0.1759582721914706,-0.20243654859916094,0.6637126800289727,981.0,198.0,0.299,299.0,0.5966282894736842,43.0,
