candidate,segment,metric,max_abs_diff
score_max_4,last_1y,sharpe_repo,3.3306690738754696e-16
score_max_4p5,full,ann_return,7.16093850883226e-15
score_max_4p5,full,max_dd,4.496403249731884e-15
score_max_4p5,full,ann_vol,4.996003610813204e-16
score_max_4p5,full,sharpe_repo,6.661338147750939e-16
score_max_4p5,last_10y,ann_return,7.993605777301127e-15
score_max_4p5,last_10y,max_dd,2.3314683517128287e-15
score_max_4p5,last_10y,ann_vol,5.273559366969494e-16
score_max_4p5,last_10y,sharpe_repo,6.661338147750939e-16
score_max_4p5,last_5y,ann_return,7.993605777301127e-15
score_max_4p5,last_5y,max_dd,2.3592239273284576e-15
score_max_4p5,last_5y,ann_vol,4.996003610813204e-16
score_max_4p5,last_5y,sharpe_repo,2.220446049250313e-16
score_max_4p5,last_3y,ann_return,9.547918011776346e-15
score_max_4p5,last_3y,max_dd,6.38378239159465e-16
score_max_4p5,last_3y,ann_vol,4.996003610813204e-16
score_max_4p5,last_3y,sharpe_repo,8.881784197001252e-16
score_max_4p5,last_1y,ann_return,7.16093850883226e-15
score_max_4p5,last_1y,max_dd,5.273559366969494e-16
score_max_4p5,last_1y,ann_vol,6.106226635438361e-16
score_max_4p5,last_1y,sharpe_repo,8.881784197001252e-16
score_max_5,full,ann_return,6.938893903907228e-15
score_max_5,full,max_dd,6.661338147750939e-16
score_max_5,full,ann_vol,4.440892098500626e-16
score_max_5,full,sharpe_repo,6.661338147750939e-16
score_max_5,last_10y,ann_return,7.993605777301127e-15
score_max_5,last_10y,max_dd,1.942890293094024e-15
score_max_5,last_10y,ann_vol,4.440892098500626e-16
score_max_5,last_10y,sharpe_repo,4.440892098500626e-16
score_max_5,last_5y,ann_return,7.16093850883226e-15
score_max_5,last_5y,max_dd,2.1649348980190553e-15
score_max_5,last_5y,ann_vol,4.996003610813204e-16
score_max_5,last_5y,sharpe_repo,4.440892098500626e-16
score_max_5,last_3y,ann_return,9.992007221626409e-15
score_max_5,last_3y,max_dd,1.4710455076283324e-15
score_max_5,last_3y,ann_vol,4.996003610813204e-16
score_max_5,last_3y,sharpe_repo,8.881784197001252e-16
score_max_5,last_1y,ann_return,8.271161533457416e-15
score_max_5,last_1y,max_dd,7.216449660063518e-16
score_max_5,last_1y,ann_vol,4.996003610813204e-16
score_max_5,last_1y,sharpe_repo,6.661338147750939e-16
score_max_5p5,full,ann_return,6.8833827526759706e-15
score_max_5p5,full,max_dd,9.992007221626409e-16
score_max_5p5,full,ann_vol,4.996003610813204e-16
score_max_5p5,full,sharpe_repo,0.0
score_max_5p5,last_10y,ann_return,7.605027718682322e-15
score_max_5p5,last_10y,max_dd,1.7208456881689926e-15
score_max_5p5,last_10y,ann_vol,5.273559366969494e-16
score_max_5p5,last_10y,sharpe_repo,4.440892098500626e-16
score_max_5p5,last_5y,ann_return,8.881784197001252e-15
score_max_5p5,last_5y,max_dd,2.9698465908722937e-15
score_max_5p5,last_5y,ann_vol,4.996003610813204e-16
score_max_5p5,last_5y,sharpe_repo,6.661338147750939e-16
score_max_5p5,last_3y,ann_return,8.659739592076221e-15
score_max_5p5,last_3y,max_dd,1.1379786002407855e-15
score_max_5p5,last_3y,ann_vol,5.551115123125783e-16
score_max_5p5,last_3y,sharpe_repo,1.5543122344752192e-15
score_max_5p5,last_1y,ann_return,8.43769498715119e-15
score_max_5p5,last_1y,max_dd,8.049116928532385e-16
score_max_5p5,last_1y,ann_vol,6.106226635438361e-16
score_max_5p5,last_1y,sharpe_repo,6.661338147750939e-16
score_max_6,full,ann_return,7.382983113757291e-15
score_max_6,full,max_dd,4.440892098500626e-16
score_max_6,full,ann_vol,4.996003610813204e-16
score_max_6,full,sharpe_repo,2.220446049250313e-16
score_max_6,last_10y,ann_return,7.605027718682322e-15
score_max_6,last_10y,max_dd,3.247402347028583e-15
score_max_6,last_10y,ann_vol,4.718447854656915e-16
score_max_6,last_10y,sharpe_repo,2.220446049250313e-16
score_max_6,last_5y,ann_return,8.493206138382448e-15
score_max_6,last_5y,max_dd,2.4147350785597155e-15
score_max_6,last_5y,ann_vol,4.996003610813204e-16
score_max_6,last_5y,sharpe_repo,6.661338147750939e-16
score_max_6,last_3y,ann_return,7.549516567451064e-15
score_max_6,last_3y,max_dd,6.106226635438361e-16
score_max_6,last_3y,ann_vol,4.440892098500626e-16
score_max_6,last_3y,sharpe_repo,1.1102230246251565e-15
score_max_6,last_1y,ann_return,4.496403249731884e-15
score_max_6,last_1y,max_dd,5.273559366969494e-16
score_max_6,last_1y,ann_vol,5.551115123125783e-16
score_max_6,last_1y,sharpe_repo,4.440892098500626e-16
score_max_6p5,full,ann_return,7.382983113757291e-15
score_max_6p5,full,max_dd,9.325873406851315e-15
score_max_6p5,full,ann_vol,4.996003610813204e-16
score_max_6p5,full,sharpe_repo,4.440892098500626e-16
score_max_6p5,last_10y,ann_return,7.771561172376096e-15
score_max_6p5,last_10y,max_dd,4.3576253716537394e-15
score_max_6p5,last_10y,ann_vol,4.718447854656915e-16
score_max_6p5,last_10y,sharpe_repo,0.0
score_max_6p5,last_5y,ann_return,6.716849298982197e-15
score_max_6p5,last_5y,max_dd,2.3037127760972e-15
score_max_6p5,last_5y,ann_vol,4.996003610813204e-16
score_max_6p5,last_5y,sharpe_repo,0.0
score_max_6p5,last_3y,ann_return,9.103828801926284e-15
score_max_6p5,last_3y,max_dd,1.1102230246251565e-15
score_max_6p5,last_3y,ann_vol,4.440892098500626e-16
score_max_6p5,last_3y,sharpe_repo,1.1102230246251565e-15
score_max_6p5,last_1y,ann_return,7.105427357601002e-15
score_max_6p5,last_1y,max_dd,3.885780586188048e-16
score_max_6p5,last_1y,ann_vol,5.551115123125783e-16
score_max_6p5,last_1y,sharpe_repo,0.0
score_max_7,full,ann_return,7.827072323607354e-15
score_max_7,full,max_dd,9.103828801926284e-15
score_max_7,full,ann_vol,4.996003610813204e-16
score_max_7,full,sharpe_repo,4.440892098500626e-16
score_max_7,last_10y,ann_return,7.105427357601002e-15
score_max_7,last_10y,max_dd,2.1371793224034263e-15
score_max_7,last_10y,ann_vol,4.996003610813204e-16
score_max_7,last_10y,sharpe_repo,0.0
score_max_7,last_5y,ann_return,7.993605777301127e-15
score_max_7,last_5y,max_dd,2.3869795029440866e-15
score_max_7,last_5y,ann_vol,5.551115123125783e-16
score_max_7,last_5y,sharpe_repo,0.0
score_max_7,last_3y,ann_return,6.661338147750939e-15
score_max_7,last_3y,max_dd,1.6653345369377348e-16
score_max_7,last_3y,ann_vol,4.440892098500626e-16
score_max_7,last_3y,sharpe_repo,1.1102230246251565e-15
score_max_7,last_1y,ann_return,6.439293542825908e-15
score_max_7,last_1y,max_dd,4.163336342344337e-16
score_max_7,last_1y,ann_vol,5.551115123125783e-16
score_max_7,last_1y,sharpe_repo,6.661338147750939e-16
score_max_8,full,ann_return,7.327471962526033e-15
score_max_8,full,max_dd,9.270362255620057e-15
score_max_8,full,ann_vol,4.996003610813204e-16
score_max_8,full,sharpe_repo,4.440892098500626e-16
score_max_8,last_10y,ann_return,7.549516567451064e-15
score_max_8,last_10y,max_dd,2.55351295663786e-15
score_max_8,last_10y,ann_vol,5.551115123125783e-16
score_max_8,last_10y,sharpe_repo,0.0
score_max_8,last_5y,ann_return,7.993605777301127e-15
score_max_8,last_5y,max_dd,1.3877787807814457e-15
score_max_8,last_5y,ann_vol,4.996003610813204e-16
score_max_8,last_5y,sharpe_repo,8.881784197001252e-16
score_max_8,last_3y,ann_return,9.769962616701378e-15
score_max_8,last_3y,max_dd,7.771561172376096e-16
score_max_8,last_3y,ann_vol,4.996003610813204e-16
score_max_8,last_3y,sharpe_repo,1.3322676295501878e-15
score_max_8,last_1y,ann_return,9.103828801926284e-15
score_max_8,last_1y,max_dd,3.608224830031759e-16
score_max_8,last_1y,ann_vol,5.551115123125783e-16
score_max_8,last_1y,sharpe_repo,6.661338147750939e-16
score_max_10,full,ann_return,6.439293542825908e-15
score_max_10,full,max_dd,9.769962616701378e-15
score_max_10,full,ann_vol,5.551115123125783e-16
score_max_10,full,sharpe_repo,2.220446049250313e-16
score_max_10,last_10y,ann_return,6.2727600891321345e-15
score_max_10,last_10y,max_dd,3.3029134982598407e-15
score_max_10,last_10y,ann_vol,4.996003610813204e-16
score_max_10,last_10y,sharpe_repo,4.440892098500626e-16
score_max_10,last_5y,ann_return,6.661338147750939e-15
score_max_10,last_5y,max_dd,1.6653345369377348e-15
score_max_10,last_5y,ann_vol,4.996003610813204e-16
score_max_10,last_5y,sharpe_repo,6.661338147750939e-16
score_max_10,last_3y,ann_return,6.439293542825908e-15
score_max_10,last_3y,max_dd,6.106226635438361e-16
score_max_10,last_3y,ann_vol,4.440892098500626e-16
score_max_10,last_3y,sharpe_repo,1.3322676295501878e-15
score_max_10,last_1y,ann_return,5.828670879282072e-15
score_max_10,last_1y,max_dd,4.440892098500626e-16
score_max_10,last_1y,ann_vol,5.551115123125783e-16
score_max_10,last_1y,sharpe_repo,2.220446049250313e-16
score_max_inf,full,ann_return,7.382983113757291e-15
score_max_inf,full,max_dd,9.381384558082573e-15
score_max_inf,full,ann_vol,4.996003610813204e-16
score_max_inf,full,sharpe_repo,2.220446049250313e-16
score_max_inf,last_10y,ann_return,6.661338147750939e-15
score_max_inf,last_10y,max_dd,2.7755575615628914e-16
score_max_inf,last_10y,ann_vol,4.440892098500626e-16
score_max_inf,last_10y,sharpe_repo,7.771561172376096e-16
score_max_inf,last_5y,ann_return,7.771561172376096e-15
score_max_inf,last_5y,max_dd,6.106226635438361e-16
score_max_inf,last_5y,ann_vol,4.996003610813204e-16
score_max_inf,last_5y,sharpe_repo,1.1102230246251565e-15
score_max_inf,last_3y,ann_return,7.16093850883226e-15
score_max_inf,last_3y,max_dd,6.106226635438361e-16
score_max_inf,last_3y,ann_vol,4.440892098500626e-16
score_max_inf,last_3y,sharpe_repo,1.3322676295501878e-15
score_max_inf,last_1y,ann_return,6.8833827526759706e-15
score_max_inf,last_1y,max_dd,7.771561172376096e-16
score_max_inf,last_1y,ann_vol,5.551115123125783e-16
score_max_inf,last_1y,sharpe_repo,6.661338147750939e-16
