score_gate_variant,position,days
exempt_159915_SZ+159941_SZ+518880_SH,513520.SH,178
exempt_159915_SZ+159985_SZ,159915.SZ,978
exempt_159915_SZ+159985_SZ,CASH,652
exempt_159915_SZ+159985_SZ,159941.SZ,585
exempt_159915_SZ+159985_SZ,518880.SH,451
exempt_159915_SZ+159985_SZ,159985.SZ,323
exempt_159915_SZ+159985_SZ,513030.SH,319
exempt_159915_SZ+159985_SZ,513520.SH,193
exempt_159915_SZ+159985_SZ+518880_SH,159915.SZ,978
exempt_159915_SZ+159985_SZ+518880_SH,CASH,651
exempt_159915_SZ+159985_SZ+518880_SH,159941.SZ,583
exempt_159915_SZ+159985_SZ+518880_SH,518880.SH,466
exempt_159915_SZ+159985_SZ+518880_SH,159985.SZ,323
exempt_159915_SZ+159985_SZ+518880_SH,513030.SH,319
exempt_159915_SZ+159985_SZ+518880_SH,513520.SH,181
exempt_159915_SZ+513030_SH,159915.SZ,983
exempt_159915_SZ+513030_SH,CASH,661
exempt_159915_SZ+513030_SH,159941.SZ,585
exempt_159915_SZ+513030_SH,518880.SH,462
exempt_159915_SZ+513030_SH,513030.SH,347
exempt_159915_SZ+513030_SH,159985.SZ,292
exempt_159915_SZ+513030_SH,513520.SH,171
exempt_159915_SZ+513030_SH+159985_SZ,159915.SZ,978
exempt_159915_SZ+513030_SH+159985_SZ,CASH,652
exempt_159915_SZ+513030_SH+159985_SZ,159941.SZ,581
exempt_159915_SZ+513030_SH+159985_SZ,518880.SH,451
exempt_159915_SZ+513030_SH+159985_SZ,513030.SH,347
exempt_159915_SZ+513030_SH+159985_SZ,159985.SZ,321
exempt_159915_SZ+513030_SH+159985_SZ,513520.SH,171
exempt_159915_SZ+513030_SH+159985_SZ+518880_SH,159915.SZ,978
exempt_159915_SZ+513030_SH+159985_SZ+518880_SH,CASH,651
exempt_159915_SZ+513030_SH+159985_SZ+518880_SH,159941.SZ,579
exempt_159915_SZ+513030_SH+159985_SZ+518880_SH,518880.SH,466
exempt_159915_SZ+513030_SH+159985_SZ+518880_SH,513030.SH,347
exempt_159915_SZ+513030_SH+159985_SZ+518880_SH,159985.SZ,321
exempt_159915_SZ+513030_SH+159985_SZ+518880_SH,513520.SH,159
exempt_159915_SZ+513030_SH+513520_SH,159915.SZ,983
exempt_159915_SZ+513030_SH+513520_SH,CASH,661
exempt_159915_SZ+513030_SH+513520_SH,159941.SZ,566
exempt_159915_SZ+513030_SH+513520_SH,518880.SH,460
exempt_159915_SZ+513030_SH+513520_SH,513030.SH,343
exempt_159915_SZ+513030_SH+513520_SH,159985.SZ,292
exempt_159915_SZ+513030_SH+513520_SH,513520.SH,196
exempt_159915_SZ+513030_SH+513520_SH+159985_SZ,159915.SZ,978
exempt_159915_SZ+513030_SH+513520_SH+159985_SZ,CASH,652
exempt_159915_SZ+513030_SH+513520_SH+159985_SZ,159941.SZ,562
exempt_159915_SZ+513030_SH+513520_SH+159985_SZ,518880.SH,449
exempt_159915_SZ+513030_SH+513520_SH+159985_SZ,513030.SH,343
exempt_159915_SZ+513030_SH+513520_SH+159985_SZ,159985.SZ,321
exempt_159915_SZ+513030_SH+513520_SH+159985_SZ,513520.SH,196
exempt_159915_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,159915.SZ,978
exempt_159915_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,CASH,651
exempt_159915_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,159941.SZ,562
exempt_159915_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,518880.SH,464
exempt_159915_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,513030.SH,343
exempt_159915_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,159985.SZ,321
exempt_159915_SZ+513030_SH+513520_SH+159985_SZ+518880_SH,513520.SH,182
exempt_159915_SZ+513030_SH+513520_SH+518880_SH,159915.SZ,983
exempt_159915_SZ+513030_SH+513520_SH+518880_SH,CASH,660
exempt_159915_SZ+513030_SH+513520_SH+518880_SH,159941.SZ,566
exempt_159915_SZ+513030_SH+513520_SH+518880_SH,518880.SH,475
exempt_159915_SZ+513030_SH+513520_SH+518880_SH,513030.SH,343
exempt_159915_SZ+513030_SH+513520_SH+518880_SH,159985.SZ,292
exempt_159915_SZ+513030_SH+513520_SH+518880_SH,513520.SH,182
exempt_159915_SZ+513030_SH+518880_SH,159915.SZ,983
