date,market_case,nav,return,gross_return,base_gross_return,position_before,fraction_before,position,holding_fraction,weight,turnover,cost,trade_count,stop_count,buffer_blocked,buffer_blocked_count,best_candidate,best_score,current_score,max_lev,score_159941.SZ,raw_score_159941.SZ,r2_159941.SZ,score_518880.SH,raw_score_518880.SH,r2_518880.SH,target_vol_input_return,target_vol_input_nav,base_return,base_nav,base_turnover,base_cost,realized_vol,target_vol_scale_effective,target_vol_scale_next,overheat_scale_effective,overheat_scale_next,overheat_scale,exposure_effective,final_exposure,final_exposure_after_overheat,effective_trade_count,target_vol,vol_window,switch_buffer,r2_threshold,case,score_QQQ,raw_score_QQQ,r2_QQQ,score_GLD,raw_score_GLD,r2_GLD
2025-11-05,US_QQQ_GLD,21.396983013187427,0.004672388594340271,0.004682346023066752,0.006507919929066963,QQQ,1.0,QQQ,1.0,0.7293952924584761,0.009911021892464844,9.911021892464845e-06,382,0,False,214,QQQ,0.9051554254906669,0.9051554254906669,1.5,,,,,,,0.006507919929066963,11.388470891193634,0.006507919929066963,11.388470891193634,0.0,0.0,0.34274967577232107,0.7194842705660113,0.7293952924584761,1.0,1.0,1.0,0.7194842705660113,0.7293952924584761,0.7293952924584761,1220,0.25,20,2.5,0.3,US_QQQ_GLD,0.9051554254906669,0.9051554254906669,0.6044883607907263,,-0.42186559533878065,0.22267646836502153
2025-11-06,US_QQQ_GLD,21.10626397817156,-0.013586917129236875,-0.013586690599369376,-0.018627335191010785,QQQ,1.0,QQQ,1.0,0.7291656424066697,0.00022965005180641818,2.296500518064182e-07,382,0,False,214,QQQ,0.6839511248939212,0.6839511248939212,1.5,,,,,,,-0.018627335191010785,11.1763340265903,-0.018627335191010785,11.1763340265903,0.0,0.0,0.3428576244690506,0.7293952924584761,0.7291656424066697,1.0,1.0,1.0,0.7293952924584761,0.7291656424066697,0.7291656424066697,1221,0.25,20,2.5,0.3,US_QQQ_GLD,0.6839511248939212,0.6839511248939212,0.4252541670144787,-0.46925910245014635,-0.46925910245014635,0.3163858595266603
2025-11-07,US_QQQ_GLD,21.026878529227144,-0.0037612269526487996,-0.002300758188256662,-0.003155329947613583,QQQ,1.0,GLD,1.0,0.7346710562561712,1.463836698662841,0.0014638366986628412,383,0,False,214,GLD,-0.48356388222451596,,1.5,,,,,,,-0.005149019287718382,11.118786867121404,-0.005149019287718382,11.118786867121404,2.0,0.002,0.34028834792264895,0.7291656424066697,0.7346710562561712,1.0,1.0,1.0,0.7291656424066697,0.7346710562561712,0.7346710562561712,1222,0.25,20,2.5,0.3,US_QQQ_GLD,,0.47664969397657386,0.2527495464501809,-0.48356388222451596,-0.48356388222451596,0.37308413823388453
2025-11-10,US_QQQ_GLD,21.4334815934159,0.019337300285612313,0.020086728479897457,0.02734111859838051,GLD,1.0,CASH,0.0,0.7302492030916664,0.7346710562561712,0.0007346710562561713,384,0,False,214,CASH,,,1.5,,,,,,,0.02631377747978214,11.41136415058796,0.02631377747978214,11.41136415058796,1.0,0.001,0.3423488843829907,0.7346710562561712,0.7302492030916664,1.0,1.0,1.0,0.7346710562561712,0.0,0.0,1223,0.25,20,2.5,0.3,US_QQQ_GLD,,0.43702554019626527,0.23793205519841965,,-0.4207127952309677,0.27087371154414097
2025-11-11,US_QQQ_GLD,21.4334815934159,0.0,0.0,0.0,CASH,0.0,CASH,0.0,0.7337066274496378,0.0,0.0,384,0,False,214,CASH,,,1.5,,,,,,,0.0,11.41136415058796,0.0,11.41136415058796,0.0,0.0,0.340735643712255,0.7302492030916664,0.7337066274496378,1.0,1.0,1.0,0.0,0.0,0.0,1223,0.25,20,2.5,0.3,US_QQQ_GLD,,0.372000874071462,0.20165352664821057,,-0.3381858358987231,0.1627733141808302
2025-11-12,US_QQQ_GLD,21.4334815934159,0.0,0.0,0.0,CASH,0.0,CASH,0.0,0.750600897465774,0.0,0.0,384,0,False,214,CASH,,,1.5,,,,,,,0.0,11.41136415058796,0.0,11.41136415058796,0.0,0.0,0.33306648159370145,0.7337066274496378,0.750600897465774,1.0,1.0,1.0,0.0,0.0,0.0,1223,0.25,20,2.5,0.3,US_QQQ_GLD,,0.3020281266578859,0.1587429402029238,,-0.19136428092013547,0.04113095579422377
2025-11-13,US_QQQ_GLD,21.4334815934159,0.0,0.0,0.0,CASH,0.0,CASH,0.0,0.7844109923016794,0.0,0.0,384,0,False,214,CASH,,,1.5,,,,,,,0.0,11.41136415058796,0.0,11.41136415058796,0.0,0.0,0.3187104750615881,0.750600897465774,0.7844109923016794,1.0,1.0,1.0,0.0,0.0,0.0,1223,0.25,20,2.5,0.3,US_QQQ_GLD,,0.12456789388189393,0.03263672550813912,,-0.06242534705390668,0.0038962771498105564
2025-11-14,US_QQQ_GLD,21.4334815934159,0.0,0.0,0.0,CASH,0.0,CASH,0.0,0.7939407065612105,0.0,0.0,384,0,False,214,CASH,,,1.5,,,,,,,0.0,11.41136415058796,0.0,11.41136415058796,0.0,0.0,0.3148849755831555,0.7844109923016794,0.7939407065612105,1.0,1.0,1.0,0.0,0.0,0.0,1223,0.25,20,2.5,0.3,US_QQQ_GLD,,-0.015706154144445206,0.0006271927530892007,,0.0019511870702164646,3.936749991217958e-06
2025-11-17,US_QQQ_GLD,21.4334815934159,0.0,0.0,0.0,CASH,0.0,CASH,0.0,0.8945063925916287,0.0,0.0,384,0,False,214,CASH,,,1.5,,,,,,,0.0,11.41136415058796,0.0,11.41136415058796,0.0,0.0,0.2794837488815277,0.7939407065612105,0.8945063925916287,1.0,1.0,1.0,0.0,0.0,0.0,1223,0.25,20,2.5,0.3,US_QQQ_GLD,,-0.1503708199387318,0.061885854293442066,,0.02661823058187407,0.0007957379012709653
2025-11-18,US_QQQ_GLD,21.4334815934159,0.0,0.0,0.0,CASH,0.0,CASH,0.0,1.3844086951000028,0.0,0.0,384,0,False,214,CASH,,,1.5,,,,,,,0.0,11.41136415058796,0.0,11.41136415058796,0.0,0.0,0.18058251214749937,0.8945063925916287,1.3844086951000028,1.0,1.0,1.0,0.0,0.0,0.0,1223,0.25,20,2.5,0.3,US_QQQ_GLD,,-0.28868174563116267,0.214844157371339,,0.09284388376070662,0.01032989279508989
2025-11-19,US_QQQ_GLD,21.403783323359555,-0.0013856017710845991,0.0,0.0,CASH,0.0,QQQ,1.0,1.3856017710845656,1.3856017710845656,0.0013856017710845657,385,0,False,214,QQQ,-0.368278425737923,,1.5,,,,,,,-0.0010000000000000009,11.399952786437373,-0.0010000000000000009,11.399952786437373,1.0,0.001,0.180427021108897,1.3844086951000028,1.3856017710845656,1.0,1.0,1.0,0.0,1.3856017710845656,1.3856017710845656,1224,0.25,20,2.5,0.3,US_QQQ_GLD,-0.368278425737923,-0.368278425737923,0.36068421428295827,,0.1697997601461756,0.03718405588618745
2025-11-20,US_QQQ_GLD,20.699896525585988,-0.03288609247905083,-0.03279970481253587,-0.023671812130308,QQQ,1.0,QQQ,1.0,1.2962845252723636,0.08931724581220202,8.931724581220201e-05,385,0,False,214,QQQ,-0.480432007679637,-0.480432007679637,1.5,,,,,,,-0.023671812130308,11.130095245782446,-0.023671812130308,11.130095245782446,0.0,0.0,0.19285889411313636,1.3856017710845656,1.2962845252723636,1.0,1.0,1.0,1.3856017710845656,1.2962845252723636,1.2962845252723636,1225,0.25,20,2.5,0.3,US_QQQ_GLD,-0.480432007679637,-0.480432007679637,0.5148562962782255,,0.23815406009298834,0.08055456767721736
2025-11-21,US_QQQ_GLD,20.90093632964819,0.009712116377669222,0.009738655089949581,0.007512745003187771,QQQ,1.0,QQQ,1.0,1.2700017716641205,0.02628275360824306,2.628275360824306e-05,385,0,False,214,QQQ,-0.5387284287252332,-0.5387284287252332,1.5,,,,,,,0.007512745003187771,11.213712813225202,0.007512745003187771,11.213712813225202,0.0,0.0,0.19685011909268257,1.2962845252723636,1.2700017716641205,1.0,1.0,1.0,1.2962845252723636,1.2700017716641205,1.2700017716641205,1226,0.25,20,2.5,0.3,US_QQQ_GLD,-0.5387284287252332,-0.5387284287252332,0.6333013806082846,,0.27580616012422654,0.12121835658588842
2025-11-24,US_QQQ_GLD,21.57935614916483,0.03245882427546065,0.03247799225117357,0.02557318657013896,QQQ,1.0,QQQ,1.0,1.251436750562833,0.01856502110128755,1.856502110128755e-05,385,0,False,214,QQQ,-0.5269436453774308,-0.5269436453774308,1.5,,,,,,,0.02557318657013896,11.500483183141768,0.02557318657013896,11.500483183141768,0.0,0.0,0.19977038383087492,1.2700017716641205,1.251436750562833,1.0,1.0,1.0,1.2700017716641205,1.251436750562833,1.251436750562833,1227,0.25,20,2.5,0.3,US_QQQ_GLD,-0.5269436453774308,-0.5269436453774308,0.6320746420687997,,0.38695247297159296,0.23311174054599815
