candidate,lookback,ann_return_full,ann_return_last_10y,ann_return_last_1y,ann_return_last_3y,ann_return_last_5y,ann_vol_full,ann_vol_last_10y,ann_vol_last_1y,ann_vol_last_3y,ann_vol_last_5y,sharpe_repo_full,sharpe_repo_last_10y,sharpe_repo_last_1y,sharpe_repo_last_3y,sharpe_repo_last_5y,max_dd_full,max_dd_last_10y,max_dd_last_1y,max_dd_last_3y,max_dd_last_5y,avg_weight_full,avg_weight_last_10y,avg_weight_last_1y,avg_weight_last_3y,avg_weight_last_5y,holding_day_ratio_full,holding_day_ratio_last_10y,holding_day_ratio_last_1y,holding_day_ratio_last_3y,holding_day_ratio_last_5y,cash_days_full,cash_days_last_10y,cash_days_last_1y,cash_days_last_3y,cash_days_last_5y,trade_days_full,trade_days_last_10y,trade_days_last_1y,trade_days_last_3y,trade_days_last_5y,avg_turnover_full,avg_turnover_last_10y,avg_turnover_last_1y,avg_turnover_last_3y,avg_turnover_last_5y,cost_total_full,cost_total_last_10y,cost_total_last_1y,cost_total_last_3y,cost_total_last_5y,ann_return_delta_vs_current_full,max_dd_delta_vs_current_full,ann_return_delta_vs_current_last_10y,max_dd_delta_vs_current_last_10y,ann_return_delta_vs_current_last_5y,max_dd_delta_vs_current_last_5y,ann_return_delta_vs_current_last_3y,max_dd_delta_vs_current_last_3y,ann_return_delta_vs_current_last_1y,max_dd_delta_vs_current_last_1y,decision_hint,stability_label
lookback_020,20,0.14616934021980077,0.17387376894143403,0.29920405262499616,0.3284029844262868,0.3215007756682502,0.2241100299840655,0.22563267522675864,0.3116620018182721,0.2532991444872306,0.24589434853705652,0.7208053339691105,0.8232290291260105,0.9958342636963701,1.24775403763472,1.2562962960800277,-0.27907903810890144,-0.2736024827538057,-0.1998680175789802,-0.19986801757898032,-0.20540212492596077,0.8831749580771381,0.9714285714285714,0.9722222222222222,0.9642857142857143,0.9650793650793651,0.8831749580771381,0.9714285714285714,0.9722222222222222,0.9642857142857143,0.9650793650793651,418,72,7,27,44,546,426,70,165,243,0.2747344885410844,0.32301587301587303,0.5396825396825397,0.42328042328042326,0.36984126984126986,0.9830000000000001,0.8140000000000001,0.136,0.32,0.4660000000000001,-0.08428230091344324,0.08559034243620867,-0.16782625860389877,-0.05877362102400563,-0.16246724565155946,0.009426736803839875,-0.282092190912405,-0.028019325947076124,-0.034392549790265514,-0.028019325947075124,lookback_scan,pending_review
lookback_021,21,0.1302815624184075,0.19960152975301626,0.4319438132551072,0.4535584379198192,0.3938147798121787,0.22640238097704418,0.2266903406073411,0.3144205458080918,0.25660715443306914,0.24758392029888776,0.6542032301099686,0.9161211565693594,1.2996918373477762,1.5862446885982768,1.4648179028622539,-0.4125638784043474,-0.31600790355959707,-0.16826814405892143,-0.168268144058922,-0.19208304814089427,0.8848518725544997,0.973015873015873,0.9722222222222222,0.9642857142857143,0.9658730158730159,0.8848518725544997,0.973015873015873,0.9722222222222222,0.9642857142857143,0.9658730158730159,412,68,7,27,43,500,383,63,144,214,0.25069871436556734,0.2904761904761905,0.48412698412698413,0.36772486772486773,0.3253968253968254,0.897,0.732,0.12200000000000001,0.278,0.41000000000000003,-0.10017007871483652,-0.04789449785923727,-0.14209849779231654,-0.10117904182979698,-0.09015324150763093,0.02274581358890637,-0.1569367374188726,0.0035805475729822067,0.09834721083984554,0.00358054757298365,lookback_scan,pending_review
lookback_022,22,0.15348792084589724,0.25111070156459325,0.5993347326274276,0.4802032619540846,0.43317851195768853,0.2265966726378821,0.22621371950653332,0.3132198890348796,0.25881050249197846,0.24716467332830241,0.7435606335455666,1.1035465555120392,1.6569259398539398,1.645173524116496,1.5796378974605525,-0.3548944293218963,-0.2548347798542492,-0.18214180737018726,-0.18214180737018737,-0.1829030861169102,0.8868082727780883,0.9742063492063492,0.9761904761904762,0.9656084656084656,0.9674603174603175,0.8868082727780883,0.9742063492063492,0.9761904761904762,0.9656084656084656,0.9674603174603175,405,65,6,26,41,472,358,59,138,203,0.23616545556176635,0.2714285714285714,0.4603174603174603,0.35185185185185186,0.30952380952380953,0.8450000000000001,0.6839999999999999,0.116,0.266,0.39,-0.07696372028734677,0.009774951223213812,-0.09058932598073954,-0.04000591812444909,-0.05078950936212112,0.03192577561289045,-0.13029191338460722,-0.010293115738283176,0.26573813021216597,-0.010293115738282177,lookback_scan,pending_review
lookback_023,23,0.19880089405085122,0.2697804931535426,0.3118804626989371,0.44434432662347456,0.3875557616648837,0.23431018527987194,0.2352680523178071,0.31345130403543253,0.2855562848047625,0.26393301254244267,0.8903377447467884,1.1320259296150337,1.023064740790782,1.4281443196571224,1.371251535753624,-0.3394128285778927,-0.24528628269428232,-0.15673179242719082,-0.1571425850125301,-0.20523042869860997,0.88848518725545,0.9738095238095238,0.9761904761904762,0.966931216931217,0.9682539682539683,0.88848518725545,0.9738095238095238,0.9761904761904762,0.966931216931217,0.9682539682539683,399,66,6,25,40,446,339,52,129,190,0.22219116825041924,0.2563492063492063,0.40476190476190477,0.328042328042328,0.28888888888888886,0.795,0.6460000000000001,0.10200000000000001,0.248,0.36400000000000005,-0.031650747082392794,0.025256551967217433,-0.07191953439179022,-0.03045742096448223,-0.09641225965492595,0.009598433031190678,-0.16615084871521724,0.014706106619374104,-0.02171613971632458,0.015116899204714263,lookback_scan,pending_review
lookback_024,24,0.24174252576186328,0.31910182413041865,0.34074461683432,0.5683372137638194,0.44835644470581126,0.23868806177312057,0.2369636228317464,0.309697926255238,0.28364113716426903,0.2624750463119367,1.0258703564899982,1.2864898393261872,1.1018811148651277,1.7266408007643343,1.5409856147535825,-0.3464159224632526,-0.2405885422938392,-0.1896621576629013,-0.18966215766290018,-0.2405885422938393,0.8921185019564002,0.9742063492063492,0.9722222222222222,0.9642857142857143,0.969047619047619,0.8921185019564002,0.9742063492063492,0.9722222222222222,0.9642857142857143,0.969047619047619,386,65,7,27,39,409,312,45,110,169,0.20374510899944104,0.2357142857142857,0.3492063492063492,0.2804232804232804,0.2571428571428571,0.7290000000000001,0.5940000000000001,0.08800000000000001,0.21200000000000002,0.324,0.011290884628619269,0.01825345808185752,-0.022598203414914142,-0.0257596805640391,-0.035611576613998386,-0.025759680564038656,-0.042157961574872393,-0.017813466030995984,0.007148014419058324,-0.017813466030996206,lookback_scan,pending_review
lookback_025,25,0.230451641133244,0.3417000275453328,0.3335966024152617,0.6104951753386918,0.48396802131980965,0.2437163466437678,0.24090591081288817,0.3138489225670579,0.28875082988023765,0.26626305032071673,0.9722486786218217,1.3398950386378174,1.0743488348190053,1.7930810447278678,1.6141132068788802,-0.3646693805451101,-0.2148288617298001,-0.17184869163190508,-0.1718486916319042,-0.21482886172980065,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,0.8943543879262158,0.975,0.9722222222222222,0.9642857142857143,0.9706349206349206,378,63,7,27,37,384,293,45,102,158,0.19312465064281722,0.22301587301587303,0.3492063492063492,0.2619047619047619,0.24285714285714285,0.691,0.562,0.08800000000000001,0.198,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lookback_scan,pending_review
lookback_026,26,0.25190347666618806,0.3848057879353237,0.2102500473980169,0.5678728645054381,0.48440073412559226,0.24287548204655537,0.24117905940670353,0.31129982226036246,0.2878162278303279,0.265239627689015,1.0460723500177433,1.4699217210190163,0.7685627091251099,1.7046261783293062,1.6204364477592388,-0.45153495402754307,-0.19456263322555312,-0.1846337317868173,-0.1846337317868173,-0.19456263322555334,0.8968697596422582,0.9761904761904762,0.9761904761904762,0.966931216931217,0.973015873015873,0.8968697596422582,0.9761904761904762,0.9761904761904762,0.966931216931217,0.973015873015873,369,60,6,25,34,363,279,45,101,154,0.18418110676355506,0.2126984126984127,0.3492063492063492,0.25925925925925924,0.2365079365079365,0.659,0.536,0.08800000000000001,0.196,0.298,0.021451835532944052,-0.08686557348243296,0.04310576038999092,0.020266228504246975,0.00043271280578260907,0.020266228504247308,-0.04262231083325374,-0.012785040154913108,-0.12334655501724479,-0.01278504015491222,lookback_scan,pending_review
lookback_027,27,0.2474051624622211,0.36099316660085634,0.3235938705105412,0.5405002467249911,0.46241904773489173,0.24431232585246276,0.24300995919312482,0.3117297107931524,0.291520710839806,0.26764611109371267,1.0266047830902971,1.3892166767608818,1.055280453242763,1.6261556188803852,1.5524441831169526,-0.44030217043546716,-0.20179527916626505,-0.16260888430232467,-0.16260888430232479,-0.20179527916626472,0.897987702627166,0.9777777777777777,0.9761904761904762,0.966931216931217,0.973015873015873,0.897987702627166,0.9777777777777777,0.9761904761904762,0.966931216931217,0.973015873015873,365,56,6,25,34,351,271,45,98,146,0.17803242034656233,0.20714285714285716,0.3492063492063492,0.25132275132275134,0.22380952380952382,0.637,0.522,0.088,0.19,0.28200000000000003,0.016953521328977095,-0.07563278989035704,0.019293139055523545,0.01303358256353504,-0.02154897358491792,0.013033582563535928,-0.06999492861370071,0.009239807329579408,-0.010002731904720452,0.009239807329580407,lookback_scan,pending_review
lookback_028,28,0.2390182280983273,0.33313512506440124,0.2570879124077876,0.4962553449095761,0.42115109856461097,0.24672689111466758,0.2455401383740864,0.3122027772157201,0.29259680415250394,0.2719210614967613,0.9917115748311078,1.293224377592039,0.8890118495600727,1.5215651994308372,1.4271090407278317,-0.4505591265985409,-0.22145958110067054,-0.17999718511672225,-0.17999718511672225,-0.22145958110067065,0.8965902738960313,0.9765873015873016,0.9761904761904762,0.9642857142857143,0.9698412698412698,0.8965902738960313,0.9765873015873016,0.9761904761904762,0.9642857142857143,0.9698412698412698,370,59,6,27,38,347,267,43,88,137,0.1752375628842929,0.20396825396825397,0.3333333333333333,0.22486772486772486,0.20952380952380953,0.627,0.514,0.084,0.17,0.264,0.008566586965083278,-0.0858897460534308,-0.008564902480931558,-0.006630719370870453,-0.06281692275519868,-0.0066307193708700085,-0.11423983042911567,-0.008148493484818053,-0.07650869000747407,-0.008148493484817165,lookback_scan,pending_review
lookback_029,29,0.28212526279817385,0.3744579187223884,0.2032602552940732,0.5099389704201387,0.4438715657767194,0.24763841987586963,0.24842796207412557,0.31511357803825274,0.2946821946704211,0.27338250289185323,1.1270694183047447,1.4040433870775475,0.744858908431367,1.5438426115687787,1.4790656940135125,-0.38086465875836717,-0.19766976533097924,-0.1680658691617105,-0.1795789273003825,-0.17957892730038305,0.8940749021799889,0.9765873015873016,0.9761904761904762,0.9656084656084656,0.9706349206349206,0.8940749021799889,0.9765873015873016,0.9761904761904762,0.9656084656084656,0.9706349206349206,379,59,6,26,37,319,243,38,81,123,0.160145332588038,0.18492063492063493,0.29365079365079366,0.20634920634920634,0.1873015873015873,0.5730000000000001,0.466,0.07400000000000001,0.156,0.23600000000000002,0.051673621664929836,-0.01619527821325706,0.03275789117705563,0.01715909639882085,-0.04009645554309027,0.035249934429417595,-0.1005562049185531,-0.0077302356684783025,-0.13033634712118847,0.003782822470194569,lookback_scan,pending_review
lookback_030,30,0.2673087100254208,0.35746993499279367,0.3114368547224331,0.5644273412132388,0.45391335781232534,0.24745439335234357,0.250789176095564,0.3203471891735917,0.29678181301651557,0.27586286472171995,1.0808187237137066,1.3435587657811225,1.0067768881586476,1.6546113790789063,1.4933960120983034,-0.4867084519883136,-0.2517951978698123,-0.17648823030138572,-0.17648823030138583,-0.17648823030138605,0.8968697596422582,0.9777777777777777,0.9801587301587301,0.9682539682539683,0.973015873015873,0.8968697596422582,0.9777777777777777,0.9801587301587301,0.9682539682539683,0.973015873015873,369,56,5,24,34,306,237,38,79,117,0.15399664617104528,0.18015873015873016,0.29365079365079366,0.20105820105820105,0.17777777777777778,0.551,0.454,0.07400000000000001,0.152,0.224,0.03685706889217677,-0.12203907144320347,0.015769907447460874,-0.03696633614001221,-0.030054663507484314,0.038340631428414595,-0.04606783412545301,-0.004639538669481635,-0.02215974769282858,-0.004639538669480636,lookback_scan,pending_review
lookback_031,31,0.26101326437627836,0.31249440063976475,0.3973567294051903,0.5303207184847669,0.4214018821392427,0.24329944145405305,0.2474223144826195,0.32054557477527384,0.28850146173489577,0.2698015466177933,1.0745946065057388,1.2222660930281073,1.2044281694459122,1.6175192148274646,1.4371277141029362,-0.34957224599297465,-0.2648848275763874,-0.17648823030138583,-0.1764882303013856,-0.17648823030138572,0.8949133594186697,0.9789682539682539,0.9801587301587301,0.9682539682539683,0.973015873015873,0.8949133594186697,0.9789682539682539,0.9801587301587301,0.9682539682539683,0.973015873015873,376,53,5,24,34,291,228,38,77,114,0.14673001676914477,0.1746031746031746,0.29365079365079366,0.19576719576719576,0.173015873015873,0.525,0.44000000000000006,0.07400000000000001,0.148,0.218,0.030561623243034353,0.01509713455213546,-0.02920562690556805,-0.050055965846587336,-0.06256613918056697,0.03834063142841493,-0.08017445685392488,-0.004639538669481413,0.06376012698992861,-0.004639538669480747,lookback_scan,pending_review
lookback_032,32,0.24150946205067125,0.3102741719553752,0.3823600222768657,0.5266901518263707,0.4293290485017882,0.2440318181306562,0.24985025921141502,0.3196305932485566,0.2923980146146041,0.2722856534021955,1.008148445289427,1.2059485758350474,1.1732010987461023,1.5914880171194887,1.4468142450583021,-0.40566532895936835,-0.2613469310022455,-0.18885313357282296,-0.18885313357282318,-0.1888531335728233,0.8946338736724427,0.9801587301587301,0.9841269841269841,0.9695767195767195,0.9746031746031746,0.8946338736724427,0.9801587301587301,0.9841269841269841,0.9695767195767195,0.9746031746031746,377,50,4,23,32,279,218,36,74,110,0.14058133035215203,0.16666666666666666,0.2777777777777778,0.18783068783068782,0.16666666666666666,0.5030000000000001,0.42000000000000004,0.07,0.142,0.21000000000000002,0.011057820917427241,-0.04099594841425824,-0.031425855589957585,-0.046518069272445395,-0.054638972818021436,0.02597572815697735,-0.08380502351232111,-0.01700444194091899,0.04876341986160404,-0.01700444194091788,lookback_scan,pending_review
