candidate,line_role,lookback,r2_threshold,r2_label,switch_buffer,buffer_label,entry_fraction,entry_label,momentum_decay_enabled,decay_ratio_threshold,recovery_ratio_threshold,confirm_days,derisk_scale,decay_label,segment,window,end,start,rows,ann_return,ann_vol,max_dd,sharpe_repo,cash_days,trades,cost_total,turnover_total,holding_day_ratio,avg_holding_fraction,avg_exposure_effective,avg_final_exposure,avg_decay_multiplier_effective,avg_decay_multiplier_next,decay_day_ratio,trigger_count,recovery_count,reason
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.5,decay_0p45_rec_0p85_c1_scale_0p50,full,Full,2016-12-30,2007-01-04,2432.0,0.0819045745241671,0.16115336656995521,-0.22375606931379644,0.5692848497965224,982.0,645.0,0.36668261353410925,366.6826135341092,0.5962171052631579,0.5558182565789473,0.5426603618421053,0.5430715460526315,0.9872532894736842,0.9872532894736842,0.02549342105263158,21.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.5,decay_0p45_rec_0p85_c1_scale_0p50,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.5,decay_0p45_rec_0p85_c1_scale_0p50,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.08072665907313326,0.151702181721915,-0.1778547398566398,0.587941020013945,501.0,334.0,0.19759657021012392,197.5965702101239,0.6023809523809524,0.5646825396825397,0.5466269841269841,0.5468253968253968,0.9821428571428571,0.9821428571428571,0.03571428571428571,13.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.5,decay_0p45_rec_0p85_c1_scale_0p50,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07401395709880476,0.15242963112927402,-0.1726902776772935,0.5450606829875418,322.0,175.0,0.11287024353980146,112.87024353980146,0.5740740740740741,0.5400132275132276,0.5291005291005291,0.529431216931217,0.9894179894179894,0.9894179894179894,0.021164021164021163,6.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.5,decay_0p45_rec_0p85_c1_scale_0p50,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.0533891198120755,0.12130717198388324,-0.1726902776772936,0.48966421846137387,116.0,44.0,0.031512393506724544,31.512393506724543,0.5396825396825397,0.5168650793650794,0.5049603174603174,0.5089285714285714,0.9920634920634921,0.9920634920634921,0.015873015873015872,2.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.75,decay_0p45_rec_0p85_c1_scale_0p75,full,Full,2016-12-30,2007-01-04,2432.0,0.08671151187407022,0.1636327369512746,-0.2274159233193208,0.5902318699448708,982.0,645.0,0.36565374557459673,365.65374557459677,0.5962171052631579,0.5558182565789473,0.5490337171052632,0.5494449013157895,0.9936266447368421,0.9936266447368421,0.02549342105263158,21.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.75,decay_0p45_rec_0p85_c1_scale_0p75,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.75,decay_0p45_rec_0p85_c1_scale_0p75,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.08830946524475847,0.15576141779258162,-0.1839883602399074,0.6215503844884571,501.0,334.0,0.19657445525471207,196.57445525471206,0.6023809523809524,0.5646825396825397,0.5555555555555556,0.5557539682539683,0.9910714285714286,0.9910714285714286,0.03571428571428571,13.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.75,decay_0p45_rec_0p85_c1_scale_0p75,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07426594047245505,0.15561683894685485,-0.1839883602399074,0.5385999412479654,322.0,175.0,0.11236930185958278,112.36930185958278,0.5740740740740741,0.5400132275132276,0.5343915343915344,0.5347222222222222,0.9947089947089947,0.9947089947089947,0.021164021164021163,6.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c1_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,1.0,0.75,decay_0p45_rec_0p85_c1_scale_0p75,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.035830148293982234,0.12566758003922132,-0.1839883602399075,0.34332795485406853,116.0,44.0,0.03151479456188658,31.51479456188658,0.5396825396825397,0.5168650793650794,0.5089285714285714,0.5128968253968254,0.996031746031746,0.996031746031746,0.015873015873015872,2.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.0,decay_0p45_rec_0p85_c3_scale_0p00,full,Full,2016-12-30,2007-01-04,2432.0,0.07164190289748928,0.16270901697618276,-0.23107279434087036,0.5068435549003546,1011.0,591.0,0.3685693287749791,368.5693287749791,0.5842927631578947,0.5558182565789473,0.5434827302631579,0.5438939144736842,0.9880756578947368,0.9880756578947368,0.011924342105263159,5.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.0,decay_0p45_rec_0p85_c3_scale_0p00,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.0,decay_0p45_rec_0p85_c3_scale_0p00,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.05739791975094888,0.153699947416155,-0.19531041917548553,0.44036864755271854,525.0,293.0,0.19950975795002995,199.50975795002995,0.5833333333333334,0.5646825396825397,0.5454365079365079,0.5456349206349206,0.9809523809523809,0.9809523809523809,0.01904761904761905,3.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.0,decay_0p45_rec_0p85_c3_scale_0p00,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.043678323875767644,0.15662418393169017,-0.19531041917548608,0.35180781917137377,328.0,160.0,0.1138677585714958,113.86775857149578,0.5661375661375662,0.5400132275132276,0.5317460317460317,0.5320767195767195,0.9920634920634921,0.9920634920634921,0.007936507936507936,1.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.0,decay_0p45_rec_0p85_c3_scale_0p00,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.018329076574759906,0.1315072661300854,-0.19531041917548564,0.2044951595848263,116.0,40.0,0.03152259954281749,31.522599542817485,0.5396825396825397,0.5168650793650794,0.5128968253968254,0.5168650793650794,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.5,decay_0p45_rec_0p85_c3_scale_0p50,full,Full,2016-12-30,2007-01-04,2432.0,0.08164364324159679,0.1637888329988495,-0.23107279434087036,0.5613135798015374,982.0,616.0,0.36666990174132813,366.6699017413281,0.5962171052631579,0.5558182565789473,0.5494449013157895,0.5498560855263158,0.9940378289473685,0.9940378289473685,0.011924342105263159,5.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.5,decay_0p45_rec_0p85_c3_scale_0p50,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.5,decay_0p45_rec_0p85_c3_scale_0p50,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.07667243749787445,0.15560296644208382,-0.19531041917548553,0.5529945783291589,501.0,314.0,0.19759368002414032,197.59368002414033,0.6023809523809524,0.5646825396825397,0.5549603174603175,0.5551587301587302,0.9904761904761905,0.9904761904761905,0.01904761904761905,3.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.5,decay_0p45_rec_0p85_c3_scale_0p50,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.059014189912039994,0.1574503271967371,-0.1953104191754862,0.44344586805496194,322.0,165.0,0.11287916079567596,112.87916079567597,0.5740740740740741,0.5400132275132276,0.5357142857142857,0.5360449735449735,0.996031746031746,0.996031746031746,0.007936507936507936,1.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.5,decay_0p45_rec_0p85_c3_scale_0p50,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.018329076574759906,0.1315072661300854,-0.19531041917548564,0.2044951595848263,116.0,40.0,0.03152259954281749,31.522599542817485,0.5396825396825397,0.5168650793650794,0.5128968253968254,0.5168650793650794,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.75,decay_0p45_rec_0p85_c3_scale_0p75,full,Full,2016-12-30,2007-01-04,2432.0,0.08654112072691356,0.16515420138034712,-0.23107279434087036,0.5853904671617126,982.0,616.0,0.36564470839039753,365.64470839039757,0.5962171052631579,0.5558182565789473,0.5524259868421053,0.5528371710526315,0.9970189144736842,0.9970189144736842,0.011924342105263159,5.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.75,decay_0p45_rec_0p85_c3_scale_0p75,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.75,decay_0p45_rec_0p85_c3_scale_0p75,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.08621072444085809,0.15799114225493935,-0.19531041917548597,0.6028372526129594,501.0,314.0,0.19657264086920223,196.57264086920225,0.6023809523809524,0.5646825396825397,0.5597222222222222,0.5599206349206349,0.9952380952380953,0.9952380952380953,0.01904761904761905,3.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.75,decay_0p45_rec_0p85_c3_scale_0p75,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.06666597761920134,0.1585020056045896,-0.1953104191754863,0.48696567220962,322.0,165.0,0.11237625938781261,112.3762593878126,0.5740740740740741,0.5400132275132276,0.5376984126984127,0.5380291005291006,0.998015873015873,0.998015873015873,0.007936507936507936,1.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p85_c3_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.85,3.0,0.75,decay_0p45_rec_0p85_c3_scale_0p75,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.018329076574759906,0.1315072661300854,-0.19531041917548564,0.2044951595848263,116.0,40.0,0.03152259954281749,31.522599542817485,0.5396825396825397,0.5168650793650794,0.5128968253968254,0.5168650793650794,1.0,1.0,0.0,0.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.0,decay_0p45_rec_0p95_c1_scale_0p00,full,Full,2016-12-30,2007-01-04,2432.0,0.07143710138242909,0.15903605173055055,-0.21642741317032355,0.5135762498633649,1046.0,600.0,0.3685693287749791,368.5693287749791,0.5699013157894737,0.5558182565789473,0.5290912828947368,0.5295024671052632,0.9736842105263158,0.9736842105263158,0.02631578947368421,21.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.0,decay_0p45_rec_0p95_c1_scale_0p00,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.0,decay_0p45_rec_0p95_c1_scale_0p00,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.06415245293275329,0.14812285445478196,-0.1714695348774795,0.49414562606511275,548.0,299.0,0.19950975795002995,199.50975795002995,0.5650793650793651,0.5646825396825397,0.5271825396825397,0.5273809523809524,0.9626984126984127,0.9626984126984127,0.0373015873015873,13.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.0,decay_0p45_rec_0p95_c1_scale_0p00,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07747042529448156,0.149632329211114,-0.15016593148565172,0.5738882428599151,339.0,163.0,0.11386775857149578,113.86775857149578,0.5515873015873016,0.5400132275132276,0.5171957671957672,0.517526455026455,0.9775132275132276,0.9775132275132276,0.022486772486772486,6.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.0,decay_0p45_rec_0p95_c1_scale_0p00,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.08867984073804291,0.11762844988945018,-0.15016593148565138,0.7814006017827676,120.0,42.0,0.031522599542817484,31.522599542817485,0.5238095238095238,0.5168650793650794,0.49702380952380953,0.5009920634920635,0.9841269841269841,0.9841269841269841,0.015873015873015872,2.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.5,decay_0p45_rec_0p95_c1_scale_0p50,full,Full,2016-12-30,2007-01-04,2432.0,0.08169801066989368,0.16105662258014505,-0.22375606931379644,0.5683443684797853,982.0,647.0,0.36671078065288476,366.7107806528847,0.5962171052631579,0.5558182565789473,0.542249177631579,0.5426603618421053,0.9868421052631579,0.9868421052631579,0.02631578947368421,21.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.5,decay_0p45_rec_0p95_c1_scale_0p50,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.5,decay_0p45_rec_0p95_c1_scale_0p50,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.08032842749380054,0.15150371906370913,-0.1778547398566399,0.5860798015621926,501.0,336.0,0.19762473732889943,197.62473732889944,0.6023809523809524,0.5646825396825397,0.5458333333333333,0.546031746031746,0.9813492063492063,0.9813492063492063,0.0373015873015873,13.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.5,decay_0p45_rec_0p95_c1_scale_0p50,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07630646056008716,0.1523159366100616,-0.17269027767729328,0.5593557490726694,322.0,176.0,0.11288849812618576,112.88849812618575,0.5740740740740741,0.5400132275132276,0.5284391534391535,0.5287698412698413,0.9887566137566137,0.9887566137566137,0.022486772486772486,6.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p50,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.5,decay_0p45_rec_0p95_c1_scale_0p50,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.0533891198120755,0.12130717198388324,-0.1726902776772936,0.48966421846137387,116.0,44.0,0.031512393506724544,31.512393506724543,0.5396825396825397,0.5168650793650794,0.5049603174603174,0.5089285714285714,0.9920634920634921,0.9920634920634921,0.015873015873015872,2.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.75,decay_0p45_rec_0p95_c1_scale_0p75,full,Full,2016-12-30,2007-01-04,2432.0,0.08660852118075502,0.16357851974475004,-0.2274159233193208,0.5897938258843067,982.0,647.0,0.36567473351963586,365.6747335196359,0.5962171052631579,0.5558182565789473,0.548828125,0.5492393092105263,0.993421052631579,0.993421052631579,0.02631578947368421,21.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.75,decay_0p45_rec_0p95_c1_scale_0p75,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.75,decay_0p45_rec_0p95_c1_scale_0p75,last_5y,5Y,2016-12-30,2011-10-28,1260.0,0.08811039332571058,0.15565146199826305,-0.18398836023990772,0.6207040823905162,501.0,336.0,0.1965954431997512,196.59544319975117,0.6023809523809524,0.5646825396825397,0.5551587301587302,0.5553571428571429,0.9906746031746032,0.9906746031746032,0.0373015873015873,13.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.75,decay_0p45_rec_0p95_c1_scale_0p75,last_3y,3Y,2016-12-30,2013-11-29,756.0,0.07541208574835201,0.15555598938597864,-0.1839883602399075,0.5456060011034437,322.0,176.0,0.11238291610450302,112.38291610450301,0.5740740740740741,0.5400132275132276,0.5340608465608465,0.5343915343915344,0.9943783068783069,0.9943783068783069,0.022486772486772486,6.0,1.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c1_scale_0p75,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,1.0,0.75,decay_0p45_rec_0p95_c1_scale_0p75,last_1y,1Y,2016-12-30,2015-12-22,252.0,0.035830148293982234,0.12566758003922132,-0.1839883602399075,0.34332795485406853,116.0,44.0,0.03151479456188658,31.51479456188658,0.5396825396825397,0.5168650793650794,0.5089285714285714,0.5128968253968254,0.996031746031746,0.996031746031746,0.015873015873015872,2.0,0.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c3_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,3.0,0.0,decay_0p45_rec_0p95_c3_scale_0p00,full,Full,2016-12-30,2007-01-04,2432.0,0.0712268689371871,0.16256993173180337,-0.23107279434087036,0.5047549967508065,1013.0,591.0,0.3685693287749791,368.5693287749791,0.5834703947368421,0.5558182565789473,0.5426603618421053,0.5430715460526315,0.9872532894736842,0.9872532894736842,0.01274671052631579,5.0,2.0,
lb_28_r2_0p50_buf_1p00_entry_0p75_decay_0p45_rec_0p95_c3_scale_0p00,layer5_carried_primary,28,0.5,0p50,1.0,1p00,0.75,0p75,True,0.45,0.95,3.0,0.0,decay_0p45_rec_0p95_c3_scale_0p00,last_10y,10Y,2016-12-30,,,,,,,,,,,,,,,,,,,,insufficient rows: 2432 < 2520 trading days
