horizon_years,start_date,end_date,elapsed_days,total_return,annual_return,start_nav,end_nav
3,2010-10-20,2013-10-21,1097,1.0620137256897761,0.27246098476934355,1.6153195818428436,3.3308111491354135
3,2010-10-21,2013-10-21,1096,1.0579935642620573,0.2719132894158489,1.6184750073937941,3.3308111491354135
3,2010-10-22,2013-10-22,1096,0.970373193001975,0.25360418810024354,1.6295193414062243,3.2107612277850577
3,2010-10-25,2013-10-25,1096,0.8828677164238117,0.2347689709428029,1.637408249867704,3.083023132281914
3,2010-10-26,2013-10-28,1098,0.8780800335375147,0.2332498425370455,1.6418260937395892,3.0834808051932145
3,2010-10-27,2013-10-28,1097,0.8723217519341804,0.23222506229542694,1.646875491356045,3.0834808051932145
3,2010-10-28,2013-10-28,1096,0.8683844457937642,0.23159553863958027,1.650346004611074,3.0834808051932145
3,2010-10-29,2013-10-29,1096,0.875985199074057,0.23326297825862774,1.6445012395179561,3.0850599851946265
3,2010-11-01,2013-11-01,1096,0.8515906247799174,0.22789523824289648,1.6612531845626823,3.0759608219220445
3,2010-11-02,2013-11-04,1098,0.869568489928495,0.2313877935605153,1.6476619391672997,3.0804168435216646
3,2010-11-03,2013-11-04,1097,0.9316047163329506,0.24508065983099447,1.5947449379651926,3.0804168435216646
3,2010-11-04,2013-11-04,1096,0.9003893599925039,0.23858646131224903,1.6209398496810228,3.0804168435216646
3,2010-11-05,2013-11-05,1096,0.8767153614154781,0.23342292266076203,1.6431686681703528,3.0837598809519133
3,2010-11-08,2013-11-08,1096,0.8071414430002068,0.2179922036484383,1.6965638073503069,3.0659307669569587
3,2010-11-09,2013-11-11,1098,0.7926488476823899,0.21429793448864687,1.7075861750342363,3.061102388993503
3,2010-11-10,2013-11-11,1097,0.7902304697144615,0.21396711035299165,1.7098929108729466,3.061102388993503
3,2010-11-11,2013-11-11,1096,0.7942666411784243,0.21509347918318333,1.7060465366413191,3.061102388993503
3,2010-11-12,2013-11-12,1096,0.8268717186270729,0.22240781804323295,1.678240861520951,3.065930766956959
3,2010-11-15,2013-11-15,1096,0.8654044373925183,0.23094055555017312,1.6718495642408397,3.1186755957876104
3,2010-11-16,2013-11-18,1098,0.8780625015178956,0.23324601289521385,1.644363858832717,3.088218102124992
3,2010-11-17,2013-11-18,1097,0.8749477693200691,0.2328002210103597,1.6470955365572146,3.088218102124992
3,2010-11-18,2013-11-18,1096,0.8672583659595181,0.23134811682020096,1.6538783054470696,3.088218102124992
3,2010-11-19,2013-11-19,1096,0.8404590962949041,0.22543020225776722,1.673116565672246,3.0793026024531756
3,2010-11-22,2013-11-22,1096,0.8553401361994333,0.22872332862088918,1.6815197563428703,3.119791093755219
3,2010-11-23,2013-11-25,1098,0.854185739564612,0.2280081452009579,1.6844648249215386,3.1233106571677176
3,2010-11-24,2013-11-25,1097,0.8539682622021245,0.22819012194549537,1.6846624189013253,3.1233106571677176
3,2010-11-25,2013-11-25,1096,0.8537508103475471,0.2283724578051154,1.6848600360596198,3.1233106571677176
3,2010-11-26,2013-11-26,1096,0.8516109554997124,0.22789973135420527,1.6850576763991407,3.120071254269538
3,2010-11-29,2013-11-29,1096,0.9588498128078227,0.25115613876498477,1.6852553399226076,3.3011621071407835
3,2010-11-30,2013-12-02,1098,0.7968315775467003,0.21523969378716346,1.6854530266327399,3.0284752207253667
3,2010-12-01,2013-12-02,1097,0.7970700947750051,0.21550938349436155,1.6852293238481244,3.0284752207253667
3,2010-12-02,2013-12-02,1096,0.7966582904087105,0.2156329984736587,1.685615588057336,3.0284752207253667
3,2010-12-03,2013-12-03,1096,0.8074983901379735,0.2180723728100713,1.6773771426437238,3.031856484982765
3,2010-12-06,2013-12-06,1096,0.7678984133765905,0.209113175144094,1.6432541914588032,2.90510647785445
3,2010-12-07,2013-12-09,1098,0.7282560740190387,0.199610881947895,1.6828136953605264,2.908332990449254
3,2010-12-08,2013-12-09,1097,0.7304204178098865,0.20030999171151653,1.6807088962404853,2.908332990449254
3,2010-12-09,2013-12-09,1096,0.7541693978925212,0.2059758722097258,1.6579544677631235,2.908332990449254
3,2010-12-10,2013-12-10,1096,0.7192512613226669,0.1979220437822642,1.690214534110898,2.9059034696760655
3,2010-12-13,2013-12-13,1096,0.6311876060094015,0.17711387830837655,1.7517360885693616,2.85741019667373
3,2010-12-14,2013-12-16,1098,0.6277728408627865,0.17594425501847355,1.7651340837939042,2.8732373220809353
3,2010-12-15,2013-12-16,1097,0.6367942027325562,0.17828426845332657,1.7554053632913604,2.8732373220809353
3,2010-12-16,2013-12-16,1096,0.619122602751053,0.1742052003294723,1.77456439506126,2.8732373220809353
3,2010-12-17,2013-12-17,1096,0.6054753863437992,0.17089760506709029,1.7860835709749334,2.8675132111532937
3,2010-12-20,2013-12-20,1096,0.6639704655290803,0.18494553796433566,1.756177460972697,2.922227427286417
3,2010-12-21,2013-12-23,1098,0.677761074411589,0.18783613805938004,1.7600669211497861,2.9529717686645625
3,2010-12-22,2013-12-23,1097,0.6964354890859941,0.19240905680218923,1.740692049690357,2.9529717686645625
3,2010-12-23,2013-12-23,1096,0.735064955313647,0.20158283738891103,1.7019373018981614,2.9529717686645625
3,2010-12-24,2013-12-24,1096,0.7357059971958069,0.20173076545178903,1.7020870345728312,2.95432267365729
3,2010-12-27,2013-12-27,1096,0.7367040800024489,0.20196101247573162,1.7024700114425764,2.956686614954138
3,2010-12-28,2013-12-30,1098,0.7360669606720551,0.20141168714531776,1.7005654323280097,2.9522954615256474
3,2010-12-29,2013-12-30,1097,0.7322641146521138,0.20073564954867784,1.7042986901097061,2.9522954615256474
3,2010-12-30,2013-12-30,1096,0.7363841682489078,0.20188722186673225,1.7002547682192646,2.9522954615256474
3,2010-12-31,2013-12-31,1096,0.7541282158694036,0.20596643686360427,1.6940333499262774,2.97155169772945
3,2011-01-04,2014-01-06,1098,0.6899554263496936,0.19070112556524466,1.7192294160030355,2.9054210807143446
3,2011-01-05,2014-01-06,1097,0.6757053543037077,0.1875376755688234,1.733849613389587,2.9054210807143446
3,2011-01-06,2014-01-06,1096,0.6703119189936861,0.18644857715815766,1.7394482118434353,2.9054210807143446
3,2011-01-07,2014-01-07,1096,0.7083778171611514,0.19539184910730278,1.7378928572701886,2.968977605963201
3,2011-01-10,2014-01-10,1096,0.7032720431887876,0.19420005610990243,1.7444249396719211,2.9712302311844705
3,2011-01-11,2014-01-13,1098,0.7127676272011436,0.19602388254349123,1.746913642591084,2.992057134546038
3,2011-01-12,2014-01-13,1097,0.700654284653885,0.19339556370394484,1.7593564791770584,2.992057134546038
3,2011-01-13,2014-01-13,1096,0.7000532446046093,0.19344749746944245,1.7599784854043892,2.992057134546038
3,2011-01-14,2014-01-14,1096,0.7347401410424199,0.20150786871010218,1.77304292141179,3.075768727564153
3,2011-01-17,2014-01-17,1096,0.7280447075241963,0.19996044158589332,1.77304292141179,3.063897436558883
3,2011-01-18,2014-01-20,1098,0.6950873456682563,0.19190271382694135,1.7780195136383075,3.0138983779195225
3,2011-01-19,2014-01-20,1097,0.7145845273593494,0.19664141010098501,1.7578009890018433,3.0138983779195225
3,2011-01-20,2014-01-20,1096,0.7268071706641288,0.1996739885149652,1.7453589660276772,3.0138983779195225
3,2011-01-21,2014-01-21,1096,0.7837705513137097,0.2127200362590811,1.7319829166977547,3.0894601221838807
3,2011-01-24,2014-01-24,1096,0.856066626900355,0.22888364711002418,1.7559345635139472,3.259131542359079
3,2011-01-25,2014-01-27,1098,0.8449958322626308,0.22598015128358728,1.758422995229174,3.244283097552598
3,2011-01-26,2014-01-27,1097,0.8352566485436053,0.2240489256076581,1.7677544446588145,3.244283097552598
3,2011-01-27,2014-01-27,1096,0.8240233099247445,0.22177231751379534,1.7786412486617018,3.244283097552598
3,2011-01-28,2014-01-28,1096,0.8634650740167344,0.23051392346104627,1.7335380000670655,3.230387517605796
3,2011-01-31,2014-02-07,1103,0.9298705929788542,0.24322711100134642,1.7419366435586623,3.3617123032361507
3,2011-02-01,2014-02-07,1102,0.8943504365696002,0.2358399631217747,1.7745989539948768,3.3617123032361507
3,2011-02-09,2014-02-10,1097,0.865793673812663,0.23079292647010918,1.801971296056468,3.362106644574163
3,2011-02-10,2014-02-10,1096,0.862899654423837,0.2303894835379383,1.804770663084376,3.362106644574163
3,2011-02-11,2014-02-11,1096,0.8497277506320302,0.22748340134975242,1.8178356414996488,3.362501032169879
3,2011-02-14,2014-02-14,1096,0.8549630962034716,0.2286401087416241,1.8221899562948995,3.380095123199655
3,2011-02-15,2014-02-17,1098,0.8705007152449344,0.23159200966972815,1.8197012533757366,3.403752495971419
3,2011-02-16,2014-02-17,1097,0.8584277624463554,0.22917296688630273,1.8315226261422524,3.403752495971419
3,2011-02-17,2014-02-17,1096,0.859059533447522,0.22954366653329727,1.8309002131090177,3.403752495971419
3,2011-02-18,2014-02-18,1096,0.863393297624677,0.23049812800584735,1.826856291218576,3.4041517687801695
3,2011-02-21,2014-02-21,1096,0.8672463684135656,0.23134548018856105,1.8245727208545528,3.406926786922122
3,2011-02-22,2014-02-24,1098,0.8873420467450843,0.2352696825026428,1.81136350531251,3.418662505515863
3,2011-02-23,2014-02-24,1097,0.8436573695330973,0.2259116143111357,1.8542829931472746,3.418662505515863
3,2011-02-24,2014-02-24,1096,0.8638999847026925,0.23060962330655066,1.834144821918204,3.418662505515863
3,2011-02-25,2014-02-25,1096,0.854065126352558,0.22844186433566582,1.8227350224492165,3.3794694397045393
3,2011-02-28,2014-02-28,1096,0.8339854364694808,0.22399205979579806,1.8305213159453397,3.3571494345907023
3,2011-03-01,2014-03-03,1098,0.8753783843501775,0.23265942073097445,1.827570247461238,3.4273857379703108
3,2011-03-02,2014-03-03,1097,0.8910614063145073,0.2363177687400193,1.8124137727763947,3.4273857379703108
3,2011-03-03,2014-03-03,1096,0.934752935150899,0.24600574504558703,1.7714849662202454,3.4273857379703108
3,2011-03-04,2014-03-04,1096,0.8997547633823544,0.23844861044275834,1.7818264805624375,3.3850333439693068
3,2011-03-07,2014-03-07,1096,0.9043761695117523,0.2394517985787703,1.7831659956904007,3.395818828476495
3,2011-03-08,2014-03-10,1098,0.9074595561912353,0.23963418730931574,1.7808352870311561,3.39687128625014
3,2011-03-09,2014-03-10,1097,0.9067753958267801,0.2397288713367831,1.781474259466859,3.39687128625014
3,2011-03-10,2014-03-10,1096,0.9294734461162195,0.2448716183123234,1.7605172504900768,3.39687128625014
3,2011-03-11,2014-03-11,1096,0.9340638994434602,0.24585784527555887,1.7662676124373808,3.416074425971331
3,2011-03-14,2014-03-14,1096,0.9731823545455871,0.25419952394042644,1.774445952648149,3.501305442860162
3,2011-03-15,2014-03-17,1098,0.9886296601961975,0.25693853393307786,1.7413492473410561,3.4628987620227485
3,2011-03-16,2014-03-17,1097,0.9890675379110687,0.2572927435335548,1.7409659028770368,3.4628987620227485
3,2011-03-17,2014-03-17,1096,0.9784665976210702,0.25531786569547354,1.7502942764798635,3.4628987620227485
3,2011-03-18,2014-03-18,1096,0.943274035846793,0.24783188196737416,1.7681843347574782,3.4360667083252414
3,2011-03-21,2014-03-21,1096,0.9007107965858046,0.2386562739806959,1.778023964303672,3.3795093455402823
3,2011-03-22,2014-03-24,1098,0.8680385394236623,0.23105249062407496,1.7768739309116135,3.319268982640112
3,2011-03-23,2014-03-24,1097,0.8508676883692561,0.22750584583277078,1.793358327825486,3.319268982640112
3,2011-03-24,2014-03-24,1096,0.8657575228424466,0.23101819745194452,1.7790462812033945,3.319268982640112
3,2011-03-25,2014-03-25,1096,0.8667530472556189,0.23123705605393563,1.77955734215975,3.321994091242823
3,2011-03-28,2014-03-28,1096,0.8771151052094117,0.2335104702458175,1.7703566850492591,3.3231632751144256
3,2011-03-29,2014-03-31,1098,0.8818175740998553,0.234065715620577,1.7661398959450445,3.3235530945082745
3,2011-03-30,2014-03-31,1097,0.8755752721201064,0.23293757912584923,1.7720179743846844,3.3235530945082745
3,2011-03-31,2014-03-31,1096,0.8596168912883899,0.22966650122601973,1.7872246214141625,3.3235530945082745
3,2011-04-01,2014-04-01,1096,0.8709920037208954,0.2321680888110098,1.776567164915171,3.3239429596293864
3,2011-04-06,2014-04-08,1098,0.8747425759189116,0.2325203878581501,1.773845070896596,3.325502877493749
3,2011-04-07,2014-04-08,1097,0.8760528938181689,0.23304210826038796,1.7726061394386592,3.325502877493749
3,2011-04-08,2014-04-08,1096,0.8873067903791167,0.23573835734463455,1.7620361959412711,3.325502877493749
3,2011-04-11,2014-04-11,1096,0.8925835272773106,0.2368886935263912,1.7577418636190716,3.326673296291176
3,2011-04-12,2014-04-14,1098,0.9065728345545501,0.23944246141387504,1.745049267001057,3.3270635274235447
3,2011-04-13,2014-04-14,1097,0.9026764755318188,0.2388409144504846,1.7486228322098711,3.3270635274235447
3,2011-04-14,2014-04-14,1096,0.8774061946211025,0.23357421369568043,1.7721596620677027,3.3270635274235447
3,2011-04-15,2014-04-15,1096,0.8615749423495076,0.23009783668372763,1.7874401554480908,3.3274538043314745
3,2011-04-18,2014-04-18,1096,0.8510004750917044,0.2277648001784378,1.7982842006550108,3.328624909762331
3,2011-04-19,2014-04-21,1098,0.8512176043217421,0.22735388319786742,1.7982842006550108,3.329015369826208
3,2011-04-20,2014-04-21,1097,0.8440148221156938,0.2259907464493509,1.8053083575579552,3.329015369826208
