date,position_baseline,position_before_baseline,trade_target_baseline,holding_fraction_baseline,nav_baseline,return_baseline,best_candidate_baseline,best_candidate_score_baseline,final_exposure_after_overheat_baseline,position_no_cap,position_before_no_cap,trade_target_no_cap,holding_fraction_no_cap,nav_no_cap,return_no_cap,best_candidate_no_cap,best_candidate_score_no_cap,final_exposure_after_overheat_no_cap,position_diff,position_before_diff,trade_target_diff,best_candidate_diff,return_diff,nav_ratio_no_cap_vs_baseline
2013-01-28,159915.SZ,159915.SZ,,0.5,1.0060410017345354,0.022608125819135072,159915.SZ,3.0312618309573303,0.75,159915.SZ,159915.SZ,,1.0,1.1192612644444433,0.045216251638270144,159915.SZ,3.0312618309573303,1.5,False,False,False,False,0.022608125819135072,1.1125404059225246
2013-01-29,159915.SZ,159915.SZ,,0.5,1.011800778462023,0.005725190839694694,159915.SZ,2.7627598266954605,0.75,159915.SZ,159915.SZ,,1.0,1.1320772331212878,0.011450381679389166,159915.SZ,2.7627598266954605,1.5,False,False,False,False,0.005725190839694472,1.1188736530150625
2013-01-30,159915.SZ,159915.SZ,159915.SZ,1.0,1.0033806030442918,-0.008321969696969633,159915.SZ,2.3377757753328554,1.5,159915.SZ,159915.SZ,,1.0,1.1149245477709655,-0.015151515151514916,159915.SZ,2.3377757753328554,1.5,False,False,True,False,-0.006829545454545283,1.1111681294099622
2013-02-20,159915.SZ,159915.SZ,,1.0,1.1332978409316221,0.0605134474327631,159915.SZ,1.8783940267621229,1.5,159915.SZ,159915.SZ,,1.0,1.2582785367003864,0.059666318672815466,159915.SZ,1.8783940267621229,1.4790014749806961,False,False,False,False,-0.0008471287599476351,1.1102805381381688
2013-02-21,159915.SZ,159915.SZ,,1.0,1.1073292065036944,-0.02291421856639242,159915.SZ,2.126485906787866,1.5,159915.SZ,159915.SZ,,1.0,1.2318428889481363,-0.021009376685048542,159915.SZ,2.126485906787866,1.3753061199212573,False,False,False,False,0.0019048418813438772,1.112445044990355
2013-02-22,159915.SZ,159915.SZ,,1.0,1.1013829279484835,-0.005369928400954738,159915.SZ,2.262563909214291,1.5,159915.SZ,159915.SZ,,1.0,1.2258674775501777,-0.0048507901872624215,159915.SZ,2.262563909214291,1.3549873923086346,False,False,False,False,0.0005191382136923162,1.113025675669014
2013-02-25,159915.SZ,159915.SZ,,1.0,1.1389750398604974,0.03413173652694601,159915.SZ,2.7112954060877734,1.5,159915.SZ,159915.SZ,,1.0,1.2636084074918381,0.030787120657677747,159915.SZ,2.7112954060877734,1.353012934166364,False,False,False,False,-0.0033446158692682637,1.1094258989614083
2013-02-26,159915.SZ,159915.SZ,,1.0,1.1309728733041005,-0.007025761124121788,159915.SZ,2.9887919538980925,1.5,159915.SZ,159915.SZ,,1.0,1.2557419476464353,-0.006225393720683758,159915.SZ,2.9887919538980925,1.3291215593659784,False,False,False,False,0.0008003674034380293,1.1103201299407175
2013-02-27,159915.SZ,159915.SZ,,1.0,1.1150061974456895,-0.014117647058823568,159915.SZ,2.964655529233043,1.5,159915.SZ,159915.SZ,,1.0,1.2400673047709396,-0.01248237578180278,159915.SZ,2.964655529233043,1.326252426816534,False,False,False,False,0.001635271277020789,1.1121618046713517
2013-02-28,159915.SZ,159915.SZ,,1.0,1.1507605529457294,0.03206650831353919,159915.SZ,3.21327000054679,1.5,159915.SZ,159915.SZ,,1.0,1.2750088515007252,0.028177137317752177,159915.SZ,3.21327000054679,1.3180638678637335,False,False,False,False,-0.0038893709957870115,1.1079705923503753
2013-03-01,159915.SZ,159915.SZ,,1.0,1.2009390654288281,0.043604651162790775,159915.SZ,3.9053892082756043,1.5,159915.SZ,159915.SZ,,1.0,1.3231593779432602,0.037764856601474106,159915.SZ,3.9053892082756043,1.2991110670907065,False,False,False,False,-0.005839794561316669,1.1017706193700927
2013-03-05,159915.SZ,159915.SZ,,1.0,1.2485353546061357,0.0406732329084587,159915.SZ,4.1661578793578915,1.5,159915.SZ,159915.SZ,,1.0,1.36554794314858,0.03306894149920203,159915.SZ,4.1661578793578915,1.2262886433855307,False,False,False,False,-0.007604291409256669,1.0937198839510294
2013-03-06,159915.SZ,159915.SZ,,1.0,1.2802062063295159,0.0253664036076664,159915.SZ,4.6823339989392245,1.5,159915.SZ,159915.SZ,,1.0,1.393248027625899,0.02028495932076191,159915.SZ,4.6823339989392245,1.1995172611677167,False,False,False,False,-0.005081444286904491,1.088299697921701
2013-03-08,159915.SZ,159915.SZ,,1.0,1.2406243464069973,-0.02994829545454536,159915.SZ,3.5196499923964373,1.5,159915.SZ,159915.SZ,,1.0,1.3592775286741132,-0.023405639296336878,159915.SZ,3.5196499923964373,1.1609823105915622,False,False,False,False,0.006542656158208482,1.0956398950341015
2013-03-11,159915.SZ,159915.SZ,,1.0,1.2492497763936048,0.006952491309386133,159915.SZ,2.9065041041350184,1.5,159915.SZ,159915.SZ,,1.0,1.3664719907951683,0.005292857396143935,159915.SZ,2.9065041041350184,1.1419339832180346,False,False,False,False,-0.0016596339132421978,1.0938340887600286
2013-03-12,159915.SZ,159915.SZ,,1.0,1.1822484908084807,-0.05363321799307963,159915.SZ,1.8587430873825932,1.5,159915.SZ,159915.SZ,,1.0,1.3106656755052914,-0.0408397066795364,159915.SZ,1.8587430873825932,1.1421943771341307,False,False,False,False,0.012793511313543227,1.1086211449582757
2013-03-13,159915.SZ,159915.SZ,,1.0,1.1743218496014793,-0.0067047167060292345,159915.SZ,1.083831439657093,1.4012857915601071,159915.SZ,159915.SZ,,1.0,1.303828588519081,-0.0052164996108367,159915.SZ,1.083831439657093,1.0902484186648551,False,False,False,False,0.0014882170951925344,1.1102821504696956
2013-03-14,CASH,159915.SZ,CASH,0.0,1.188457153941665,0.012036993388978345,CASH,,0.0,CASH,159915.SZ,CASH,0.0,1.3160441335207667,0.009368980791838899,CASH,,0.0,False,False,False,False,-0.0026680125971394464,1.1073551361577854
2013-04-24,159915.SZ,CASH,159915.SZ,0.5,1.187627954305407,-0.0006977110058263847,159915.SZ,0.9179848333764791,0.6977110058265935,159915.SZ,CASH,159915.SZ,0.5,1.315328365031301,-0.0005438787888903951,159915.SZ,0.9179848333764791,0.5438787888904044,False,False,False,False,0.00015383221693598959,1.1075256019892026
2013-04-25,159915.SZ,159915.SZ,159915.SZ,1.0,1.1617586758395715,-0.021782308484785684,159915.SZ,1.1155690665841007,1.395297292260068,159915.SZ,159915.SZ,159915.SZ,1.0,1.292994424454117,-0.016979745264333657,159915.SZ,1.1155690665841007,1.08766215514478,False,False,False,False,0.0048025632204520274,1.1129630028540178
2013-04-26,159915.SZ,159915.SZ,,1.0,1.1475175337783179,-0.012258261855425334,159915.SZ,1.2156295023114785,1.3759898932714798,159915.SZ,159915.SZ,,1.0,1.2805842944980936,-0.00959797638822979,159915.SZ,1.2156295023114785,1.0773728495787913,False,False,False,False,0.0026602854671955445,1.1159605468350797
2013-05-02,159915.SZ,159915.SZ,,1.0,1.1899667212756102,0.036992190748950105,159915.SZ,1.5641246060119585,1.3717937402735636,159915.SZ,159915.SZ,,1.0,1.3176792182867023,0.02896718626644379,159915.SZ,1.5641246060119585,1.0741998240472932,False,False,False,False,-0.008025004482506315,1.1073244274211198
2013-05-03,159915.SZ,159915.SZ,,1.0,1.2316588336505117,0.03503636835340118,159915.SZ,2.1912667778964376,1.3343016947920407,159915.SZ,159915.SZ,,1.0,1.354255121186389,0.027757820258593746,159915.SZ,2.1912667778964376,1.0571103215147857,False,False,False,False,-0.0072785480948074355,1.09953753765766
2013-05-06,159915.SZ,159915.SZ,,1.0,1.2573287262388013,0.02084172328160605,159915.SZ,3.02803358593932,1.3033024292097497,159915.SZ,159915.SZ,,1.0,1.3768324209336977,0.016671378526913028,159915.SZ,3.02803358593932,1.0425168705496235,False,False,False,False,-0.004170344754693023,1.0950457045965873
2013-05-07,159915.SZ,159915.SZ,,1.0,1.2521998777639811,-0.004079162726332242,159915.SZ,3.7082009832050433,1.2958140260648723,159915.SZ,159915.SZ,,1.0,1.3723289696877423,-0.0032708782691951432,159915.SZ,3.7082009832050433,1.0390489968476406,False,False,False,False,0.0008082844571370984,1.0959344383089002
2013-05-08,CASH,159915.SZ,CASH,0.0,1.3052638220568054,0.0423765768030413,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.4204178793584366,0.03504182359542862,159915.SZ,5.013097414977976,1.040304137989289,True,False,True,True,-0.0073347532076126765,1.0882228215903311
2013-05-09,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.4321673764112932,0.008271859446153718,159915.SZ,6.358505194351891,1.0153707470153708,True,True,False,True,0.008271859446153718,1.097224447816623
2013-05-10,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.4277629070687206,-0.0030753872872103516,159915.SZ,7.281797788401104,1.014877804779356,True,True,False,True,-0.0030753872872103516,1.0938500576985914
2013-05-13,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.433645275921338,0.004119989967167781,159915.SZ,7.924502409870698,1.0166075243986386,True,True,False,True,0.004119989967167781,1.0983567089618955
2013-05-14,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.4040529401919954,-0.020641323363846054,159915.SZ,7.2587423344561675,1.0227775726785682,True,True,False,True,-0.020641323363846054,1.0756851729633634
2013-05-15,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.4615031292908447,0.04091739524507765,159915.SZ,7.766676608450187,1.0187382252043686,True,True,False,True,0.04091739524507765,1.119699408344775
2013-05-16,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.4572307804296956,-0.002923256731733548,159915.SZ,7.780044970247916,0.9841630996835737,True,True,False,True,-0.002923256731733548,1.1164262395118132
2013-05-17,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.471482152969069,0.00977976359734245,159915.SZ,7.760585881797839,0.9848221942523738,True,True,False,True,0.00977976359734245,1.1273446242081087
2013-05-20,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.516005533974418,0.030257506634050912,159915.SZ,8.47497374205435,0.9926414273170877,True,True,False,True,0.030257506634050912,1.1614552616539473
2013-05-21,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.5526335792224144,0.024160891518628436,159915.SZ,9.71219123881236,1.0128245724609122,True,True,False,True,0.024160891518628436,1.1895170562345085
2013-05-22,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.551080945643192,-0.0010000000000000009,159915.SZ,8.884925106508845,0.0,True,True,False,True,-0.0010000000000000009,1.188327539178274
2013-05-23,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.5554078570071217,0.0027896102882853935,159915.SZ,8.00128826352458,0.9853366089911307,True,True,False,True,0.0027896102882853935,1.1916425099074186
2013-05-24,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.5951902827496005,0.02557684504630653,159915.SZ,7.97929299484877,0.9880240512332396,True,True,False,True,0.02557684504630653,1.2221209657339123
2013-05-27,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.6173584281213276,0.013896865854471141,159915.SZ,8.224501643147104,0.9913097642856096,True,True,False,True,0.013896865854471141,1.2391046168526532
2013-05-28,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.57168354673355,-0.02824042005384808,159915.SZ,7.030021088964276,0.9884147018846867,True,True,False,True,-0.02824042005384808,1.204111781982072
2013-05-29,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.586349684513211,0.0093314826703772,159915.SZ,6.184303844246139,0.9835382734577424,True,True,False,True,0.0093314826703772,1.2153479302088346
2013-05-30,CASH,CASH,,0.0,1.3052638220568054,0.0,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.5922144299624463,0.003697006723353713,159915.SZ,5.400584713970248,0.9834037884120922,True,True,False,True,0.003697006723353713,1.2198410796780306
2013-05-31,159915.SZ,CASH,159915.SZ,0.5,1.3044478261544654,-0.0006251578328848595,159915.SZ,4.535671782949229,0.6251578328849529,159915.SZ,159915.SZ,,1.0,1.5907120024808696,-0.0009436087585339425,159915.SZ,4.535671782949229,1.007774154114196,False,True,True,False,-0.00031845092564908306,1.2194523771566363
2013-06-03,159915.SZ,159915.SZ,159915.SZ,1.0,1.28759443368836,-0.012919943694328917,159915.SZ,3.3577421453003513,1.2500242488018387,159915.SZ,159915.SZ,,1.0,1.5591726788859996,-0.01982717396089384,159915.SZ,3.3577421453003513,1.0074092674416113,False,False,True,False,-0.006907230266564923,1.2109190891884287
2013-06-04,159915.SZ,159915.SZ,,1.0,1.247544231907294,-0.031104671419199037,159915.SZ,2.0732198054430073,1.2513648578646985,159915.SZ,159915.SZ,,1.0,1.519901505420115,-0.02518718676749976,159915.SZ,2.0732198054430073,1.0132998984155683,False,False,False,False,0.0059174846516992785,1.2183147230751334
2013-06-05,159915.SZ,159915.SZ,,1.0,1.269902217701338,0.017921597665408795,159915.SZ,1.3853465456896124,1.2186686412478083,159915.SZ,159915.SZ,,1.0,1.5421407097460784,0.014632003617771394,159915.SZ,1.3853465456896124,0.9949762460084538,False,False,False,False,-0.003289594047637401,1.214377523127349
2013-06-06,159915.SZ,159915.SZ,,1.0,1.2446028811337495,-0.01992227134887825,159915.SZ,0.7797549915314497,1.2129147556523,159915.SZ,159915.SZ,,1.0,1.5169352401966045,-0.01634446804379097,159915.SZ,0.7797549915314497,0.9950896720778653,False,False,False,False,0.0035778033050872793,1.2188106448980567
2013-06-07,CASH,159915.SZ,CASH,0.0,1.2636382287381578,0.015294314269197473,CASH,,0.0,CASH,159915.SZ,CASH,0.0,1.5360218442423061,0.012582345996014821,CASH,,0.0,False,False,False,False,-0.002711968273182652,1.2155550610210208
2013-07-12,159915.SZ,CASH,159915.SZ,0.5,1.2626905000666044,-0.0007499999999998064,159915.SZ,0.910854726928731,0.75,159915.SZ,CASH,159915.SZ,0.5,1.5350573272221715,-0.0006279318381767762,159915.SZ,0.910854726928731,0.6279318381768936,False,False,False,False,0.00012206816182303015,1.21570355296187
2013-07-15,159915.SZ,159915.SZ,,0.5,1.3025831944368405,0.03159340659340648,159915.SZ,1.5108245350264062,0.75,159915.SZ,159915.SZ,,0.5,1.5780865541963593,0.02803102282313663,159915.SZ,1.5108245350264062,0.6654321070188102,False,False,False,False,-0.00356238377026985,1.2115053847893609
2013-07-16,159915.SZ,159915.SZ,159915.SZ,1.0,1.3007482175619884,-0.001408721441124805,159915.SZ,2.111426917154344,1.5,159915.SZ,159915.SZ,159915.SZ,1.0,1.576142384031223,-0.0012319794246814508,159915.SZ,2.111426917154344,1.3118059277544856,False,False,False,False,0.0001767420164433542,1.2117198107604636
2013-07-17,159915.SZ,159915.SZ,,1.0,1.2818719241672893,-0.014511873350923521,159915.SZ,2.5394938750339677,1.5,159915.SZ,159915.SZ,,1.0,1.5561071673646725,-0.01271155250283118,159915.SZ,2.5394938750339677,1.3139122905198852,False,False,False,False,0.0018003208480923405,1.2139334187973012
2013-07-18,159915.SZ,159915.SZ,,1.0,1.2784566348489044,-0.002664298401420684,159915.SZ,2.848584486561344,1.5,159915.SZ,159915.SZ,,1.0,1.552495627837745,-0.0023208809795817187,159915.SZ,2.848584486561344,1.3066559915047233,False,False,False,False,0.0003434174218389652,1.2143514183578297
2013-07-19,159915.SZ,159915.SZ,,1.0,1.2477463776060926,-0.024021352313167155,159915.SZ,2.7899747410586073,1.5,159915.SZ,159915.SZ,,1.0,1.5200223837799964,-0.020916802260484424,159915.SZ,2.7899747410586073,1.3061380967102498,False,False,False,False,0.0031045500526827308,1.2182142229066522
2013-07-22,159915.SZ,159915.SZ,,1.0,1.3289739898914799,0.06509945750452051,159915.SZ,3.3447339982860163,1.5,159915.SZ,159915.SZ,,1.0,1.6050690891363173,0.055950955896337806,159915.SZ,3.3447339982860163,1.2892032754447857,False,False,False,False,-0.009148501608182702,1.2077505664857915
2013-07-23,159915.SZ,159915.SZ,,1.0,1.361795271270949,0.024696707105719362,159915.SZ,4.041826743444381,1.5,159915.SZ,159915.SZ,,1.0,1.6369090792902716,0.019837146182341225,159915.SZ,4.041826743444381,1.2048456154958749,False,False,False,False,-0.004859560923378137,1.202022883926276
2013-07-24,CASH,159915.SZ,CASH,0.0,1.4067240666658216,0.03299232736572888,CASH,,0.0,159915.SZ,159915.SZ,,1.0,1.6819760242518704,0.02753173376076501,159915.SZ,5.038845237997818,1.196100877828801,True,False,True,True,-0.00546059360496387,1.195668762700878
2013-07-25,159915.SZ,CASH,159915.SZ,0.5,1.4056690236158222,-0.0007500000000000284,159915.SZ,4.51510757896666,0.75,159915.SZ,159915.SZ,,1.0,1.5944363235719896,-0.052045748225702404,159915.SZ,4.51510757896666,1.1783942994498688,False,True,True,False,-0.051295748225702376,1.1342900048196258
2013-07-26,159915.SZ,159915.SZ,,0.5,1.4102647157156998,0.0032693984306888524,159915.SZ,4.005196502642616,0.75,159915.SZ,159915.SZ,,1.0,1.6020723571491042,0.004789174371045313,159915.SZ,4.005196502642616,1.0986366007178006,False,False,False,False,0.0015197759403564604,1.136008253837694
2013-07-29,159915.SZ,159915.SZ,159915.SZ,1.0,1.3835119206072861,-0.018970052083333022,159915.SZ,2.9862675816971644,1.5,159915.SZ,159915.SZ,,1.0,1.5592942254029583,-0.02670174761786026,159915.SZ,2.9862675816971644,1.098586187706263,False,False,True,False,-0.007731695534527239,1.1270551429137765
2013-07-30,159915.SZ,159915.SZ,,1.0,1.3576633882827729,-0.01868327402135217,159915.SZ,2.075545743458287,1.5,159915.SZ,159915.SZ,,1.0,1.5383870902131085,-0.013408075813560405,159915.SZ,2.075545743458287,1.0764769438887107,False,False,False,False,0.005275198207791765,1.1331137773103848
2013-07-31,159915.SZ,159915.SZ,,1.0,1.3796795513360074,0.016216216216216495,159915.SZ,1.556953141870245,1.5,159915.SZ,159915.SZ,,1.0,1.5561884559943053,0.01157144771588725,159915.SZ,1.556953141870245,1.0703589137195535,False,False,False,False,-0.004644768500329244,1.127934710989502
2013-08-01,159915.SZ,159915.SZ,,1.0,1.4811265771695377,0.07352941176470607,159915.SZ,1.6217638279133313,1.5,159915.SZ,159915.SZ,,1.0,1.6376482927205904,0.052345740268480156,159915.SZ,1.6217638279133313,1.0678531014769945,False,False,False,False,-0.02118367149622591,1.1056774741360518
2013-08-02,159915.SZ,159915.SZ,,1.0,1.4672237302673359,-0.00938667033358509,159915.SZ,1.566424035306604,1.3810138728286718,159915.SZ,159915.SZ,,1.0,1.6264504737655359,-0.0068377434915843915,159915.SZ,1.566424035306604,1.0060030111993739,False,False,False,False,0.0025489268420006983,1.108522470168328
2013-08-05,159915.SZ,159915.SZ,,1.0,1.508678892619136,0.028254152040089187,159915.SZ,1.7431880332044787,1.3762126556193415,159915.SZ,159915.SZ,,1.0,1.65997661705024,0.020613073576771557,159915.SZ,1.7431880332044787,1.004028458801907,False,False,False,False,-0.00764107846331763,1.1002849083203148
2013-08-06,159915.SZ,159915.SZ,,1.0,1.513817793748101,0.003406225906722682,159915.SZ,1.880910590415393,1.3545425022401654,159915.SZ,159915.SZ,,1.0,1.6641336108483136,0.002504248406498988,159915.SZ,1.880910590415393,0.9958561163177869,False,False,False,False,-0.000901977500223694,1.0992958450620678
