scenario,added_count,added_codes,added_names,pool_size,source,r2_threshold,target_vol,score_min,score_max,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,overheat_days,trades,cost_sum,turnover_sum,avg_final_exposure,max_final_exposure
base6_plus_中证1000ETF+上证50ETF,2,"512100.SH,510050.SH","中证1000ETF,上证50ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,12.948947651222529,0.54134075047544,-0.18439587413321645,1.7833818421389478,0.26187050413709134,92,420,21,399,0.4520460801772176,381.5,0.9547085057862865,1.5
base6_plus_中证1000ETF+上证50ETF,2,"512100.SH,510050.SH","中证1000ETF,上证50ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,8.545741689609272,0.5991567342293675,-0.18439587413321645,1.9641819823925954,0.2556074828701507,77,302,21,296,0.35450688867814306,283.5,0.9917417512345976,1.5
base6_plus_中证1000ETF+上证50ETF,2,"512100.SH,510050.SH","中证1000ETF,上证50ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,5.134265888077437,0.8752627976330394,-0.1718749672115324,2.496354887137136,0.26606934814391636,51,197,11,187,0.21799647909117645,183.5,0.9256228157344286,1.5
base6_plus_中证1000ETF+上证50ETF,2,"512100.SH,510050.SH","中证1000ETF,上证50ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.5289192382957859,0.5531507210365896,-0.1365410592701567,1.917053217202402,0.24545525737144283,17,80,3,74,0.08715174269387832,72.5,0.9300912402104842,1.5
base6_plus_红利低波100ETF+十年国债ETF,2,"515100.SH,511260.SH","红利低波100ETF,十年国债ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,13.276853542076118,0.5472315179643303,-0.20409209139630968,1.7929451668605705,0.26273582258887745,48,424,17,392,0.44797141926058776,381.5,0.9904253357097335,1.5
base6_plus_红利低波100ETF+十年国债ETF,2,"515100.SH,511260.SH","红利低波100ETF,十年国债ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,8.324112108870397,0.5913585135993735,-0.20409209139630968,1.9327809479971527,0.2574938031732589,44,303,17,294,0.3542346654556171,285.5,1.026264212606866,1.5
base6_plus_红利低波100ETF+十年国债ETF,2,"515100.SH,511260.SH","红利低波100ETF,十年国债ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,4.547148964625798,0.8109935956368461,-0.17369898092988512,2.36367649320499,0.2662569628185886,28,196,7,187,0.21792595182493651,183.0,0.9769775932015003,1.5
base6_plus_红利低波100ETF+十年国债ETF,2,"515100.SH,511260.SH","红利低波100ETF,十年国债ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.8376556057593105,0.8795404810600955,-0.12285746760535876,2.644026086139417,0.2507114928100249,6,75,3,69,0.07933267787439938,68.5,0.9822766085439636,1.5
base6_plus_红利低波100ETF+上证50ETF,2,"515100.SH,510050.SH","红利低波100ETF,上证50ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,11.475746692064943,0.5133541320237596,-0.20295193677325885,1.7089231572809211,0.2626561802508421,75,427,18,390,0.4447215639786729,377.5,0.9654048090664047,1.5
base6_plus_红利低波100ETF+上证50ETF,2,"515100.SH,510050.SH","红利低波100ETF,上证50ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,6.898707056377869,0.537356755069865,-0.20295193677325896,1.7974878698341374,0.2576614799944201,63,310,17,294,0.35371549164616567,284.5,1.002837106037773,1.5
base6_plus_红利低波100ETF+上证50ETF,2,"515100.SH,510050.SH","红利低波100ETF,上证50ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,4.350463046297978,0.7884725966251425,-0.17212461460583073,2.317160317933677,0.26618033310579736,46,192,7,183,0.2116735714727352,178.0,0.949307491578067,1.5
base6_plus_红利低波100ETF+上证50ETF,2,"515100.SH,510050.SH","红利低波100ETF,上证50ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.7673953107764211,0.8050706541386041,-0.1208756524449427,2.4793325258414,0.251060920996726,11,74,3,67,0.07672888725240923,66.5,0.9572974261007529,1.5
base6_plus_十年国债ETF+上证50ETF,2,"511260.SH,510050.SH","十年国债ETF,上证50ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,12.342803558676138,0.5301398250365332,-0.19436697030411587,1.7538699962747029,0.262127294238731,58,416,18,401,0.4548254241837693,388.5,0.9667428260610452,1.5
base6_plus_十年国债ETF+上证50ETF,2,"511260.SH,510050.SH","十年国债ETF,上证50ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,7.6530401308175335,0.5668151704339819,-0.19436697030411576,1.877721893104499,0.2566025952196541,49,306,17,302,0.3622374302409087,292.5,1.0042208699539066,1.5
base6_plus_十年国债ETF+上证50ETF,2,"511260.SH,510050.SH","十年国债ETF,上证50ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,5.315279397767043,0.8942620789183335,-0.17974384982539882,2.5211326973618915,0.26761680191038034,34,193,7,182,0.20786839477396876,178.5,0.9394250361582985,1.5
base6_plus_十年国债ETF+上证50ETF,2,"511260.SH,510050.SH","十年国债ETF,上证50ETF",8,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.8221805417290857,0.8631290532667955,-0.13125355419322926,2.634061923031321,0.2480806676314993,12,69,3,67,0.07536549164063269,65.5,0.9578791273161746,1.5
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF,3,"512100.SH,515100.SH,511260.SH","中证1000ETF,红利低波100ETF,十年国债ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,13.781175769983593,0.5560745492244834,-0.19020191833465538,1.8189446198823265,0.2620325009045997,46,446,21,399,0.46484336177294516,390.5,0.994483989183262,1.5
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF,3,"512100.SH,515100.SH,511260.SH","中证1000ETF,红利低波100ETF,十年国债ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,8.266607479977877,0.5893112069261948,-0.19020191833465516,1.9349593962300087,0.2564069916653808,42,317,21,297,0.36465906143036647,290.5,1.0325450732862744,1.5
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF,3,"512100.SH,515100.SH,511260.SH","中证1000ETF,红利低波100ETF,十年国债ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,4.157242078702059,0.7658152951917374,-0.17376281061979737,2.277486616530106,0.2650981022745237,27,209,11,194,0.22972794174418792,191.0,0.9813482772779638,1.5
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF,3,"512100.SH,515100.SH,511260.SH","中证1000ETF,红利低波100ETF,十年国债ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.49693931299054084,0.5194738779799628,-0.1221244180375558,1.8002840573206762,0.24978210678255197,6,87,3,76,0.08894084307616754,75.5,0.9583230428781476,1.5
base6_plus_中证1000ETF+红利低波100ETF+上证50ETF,3,"512100.SH,515100.SH,510050.SH","中证1000ETF,红利低波100ETF,上证50ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,10.820265954690713,0.5000044639564416,-0.20885576695471408,1.6786447074034496,0.2620334554961072,74,449,21,401,0.46704957210237885,389.5,0.9733186468857369,1.5
base6_plus_中证1000ETF+红利低波100ETF+上证50ETF,3,"512100.SH,515100.SH,510050.SH","中证1000ETF,红利低波100ETF,上证50ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,6.795050340565987,0.5331364767367484,-0.2088557669547142,1.7949635212909758,0.2563060664326087,62,324,21,301,0.36989364586198104,292.5,1.011912917463744,1.5
base6_plus_中证1000ETF+红利低波100ETF+上证50ETF,3,"512100.SH,515100.SH,510050.SH","中证1000ETF,红利低波100ETF,上证50ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,4.128228124736724,0.7623654410387077,-0.17218856591160925,2.274651943179993,0.26449146952694846,45,205,11,192,0.22806144217276886,188.0,0.9593820320925297,1.5
base6_plus_中证1000ETF+红利低波100ETF+上证50ETF,3,"512100.SH,515100.SH,510050.SH","中证1000ETF,红利低波100ETF,上证50ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.48188246865514706,0.5036272775606596,-0.12567884974172194,1.7671800551973116,0.24829892753764587,11,86,3,76,0.09086587932802032,75.5,0.949109952998559,1.5
base6_plus_中证1000ETF+十年国债ETF+上证50ETF,3,"512100.SH,511260.SH,510050.SH","中证1000ETF,十年国债ETF,上证50ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,12.605303486328873,0.5350417047684752,-0.1798062745664386,1.7685830464682117,0.2617197246110172,55,445,21,414,0.47619955899352384,401.5,0.9736635973628073,1.5
base6_plus_中证1000ETF+十年国债ETF+上证50ETF,3,"512100.SH,511260.SH,510050.SH","中证1000ETF,十年国债ETF,上证50ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,8.401800027888948,0.5941085751298094,-0.1798062745664386,1.9529699264339695,0.25542971263403896,48,323,21,307,0.37463202031680076,298.5,1.0117701535248953,1.5
base6_plus_中证1000ETF+十年国债ETF+上证50ETF,3,"512100.SH,511260.SH,510050.SH","中证1000ETF,十年国债ETF,上证50ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,5.0673718674995,0.868148914519699,-0.1798062745664386,2.482004305793044,0.2660741168759448,33,206,11,191,0.22399913073814537,188.5,0.949619935145693,1.5
base6_plus_中证1000ETF+十年国债ETF+上证50ETF,3,"512100.SH,511260.SH,510050.SH","中证1000ETF,十年国债ETF,上证50ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.5305471967063629,0.5548657647371267,-0.13654105927015603,1.9213321193128883,0.2454882869358936,12,81,3,76,0.08927413595047996,74.5,0.949915400802357,1.5
base6_plus_红利低波100ETF+十年国债ETF+上证50ETF,3,"515100.SH,511260.SH,510050.SH","红利低波100ETF,十年国债ETF,上证50ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,11.077046227286644,0.5053061057712376,-0.2044285475127624,1.6885649279243946,0.2626610965011479,43,444,18,402,0.461376261483435,392.5,0.9831400729375824,1.5
base6_plus_红利低波100ETF+十年国债ETF+上证50ETF,3,"515100.SH,511260.SH,510050.SH","红利低波100ETF,十年国债ETF,上证50ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,6.721119899793537,0.5300992394805109,-0.2044285475127624,1.7789646458687567,0.257683828074647,39,323,17,302,0.3664061696961848,294.5,1.0214387133719056,1.5
base6_plus_红利低波100ETF+十年国债ETF+上证50ETF,3,"515100.SH,511260.SH,510050.SH","红利低波100ETF,十年国债ETF,上证50ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,4.292629254344821,0.7817478061383567,-0.1800689230025987,2.302965219457038,0.26618283305809604,28,201,7,187,0.21759646422671147,183.0,0.9730823445914948,1.5
base6_plus_红利低波100ETF+十年国债ETF+上证50ETF,3,"515100.SH,511260.SH,510050.SH","红利低波100ETF,十年国债ETF,上证50ETF",9,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.7693248647419515,0.807114369838114,-0.12087565244494225,2.483449638371855,0.2511059578129732,6,75,3,69,0.07874899372168953,68.5,0.9761908310343119,1.5
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF+上证50ETF,4,"512100.SH,515100.SH,511260.SH,510050.SH","中证1000ETF,红利低波100ETF,十年国债ETF,上证50ETF",10,qveris_cps3,0.2,0.25,0.0,5.0,from_2020,2020-01-02,2026-05-08,1535,10.437671098979644,0.4919237564092622,-0.20981771737442256,1.6579908048260745,0.2620351172769866,42,466,21,413,0.4838262708384509,404.5,0.9911990406765878,1.5
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF+上证50ETF,4,"512100.SH,515100.SH,511260.SH,510050.SH","中证1000ETF,红利低波100ETF,十年国债ETF,上证50ETF",10,qveris_cps3,0.2,0.25,0.0,5.0,5Y,2021-05-10,2026-05-08,1211,6.617873038000742,0.5258188391114611,-0.20981771737442267,1.7761557934843744,0.2563253951010126,38,337,21,309,0.38259794935452085,302.5,1.0305578552885801,1.5
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF+上证50ETF,4,"512100.SH,515100.SH,511260.SH,510050.SH","中证1000ETF,红利低波100ETF,十年国债ETF,上证50ETF",10,qveris_cps3,0.2,0.25,0.0,5.0,3Y,2023-05-08,2026-05-08,727,4.071948473152857,0.7556370710960627,-0.1801322606303959,2.2601528050759505,0.26449335083030984,27,214,11,196,0.2339977082195127,193.0,0.9832466260049475,1.5
base6_plus_中证1000ETF+红利低波100ETF+十年国债ETF+上证50ETF,4,"512100.SH,515100.SH,511260.SH,510050.SH","中证1000ETF,红利低波100ETF,十年国债ETF,上证50ETF",10,qveris_cps3,0.2,0.25,0.0,5.0,1Y,2025-05-08,2026-05-08,243,0.48341044705493585,0.5052351300689184,-0.12567884974172228,1.7712880507329922,0.24833211172635472,6,87,3,78,0.09291697100467278,77.5,0.9682791908373163,1.5
