,soymeal_etf,M0_main,near_major,near_major_contract,far_major,far_major_contract
2020-04-20,0.951,2735.0,2679.0,M2005,2735.0,M2009
2020-04-21,0.95,2731.0,2672.0,M2005,2731.0,M2009
2020-04-22,0.96,2762.0,2693.0,M2005,2762.0,M2009
2020-04-23,0.963,2775.0,2715.0,M2005,2775.0,M2009
2020-04-24,0.959,2760.0,2726.0,M2005,2760.0,M2009
2020-04-27,0.965,2781.0,2736.0,M2005,2781.0,M2009
2020-04-28,0.951,2730.0,2691.0,M2005,2730.0,M2009
2020-04-29,0.947,2719.0,2682.0,M2005,2719.0,M2009
2020-04-30,0.949,2729.0,2664.0,M2005,2729.0,M2009
2020-05-06,0.957,2758.0,2694.0,M2005,2758.0,M2009
2020-05-07,0.956,2747.0,2690.0,M2005,2747.0,M2009
2020-05-08,0.956,2750.0,2690.0,M2005,2750.0,M2009
2020-05-11,0.95,2735.0,2670.0,M2005,2735.0,M2009
2020-05-12,0.95,2738.0,2629.0,M2005,2738.0,M2009
2020-05-13,0.946,2727.0,2571.0,M2005,2727.0,M2009
2020-05-14,0.935,2697.0,2546.0,M2005,2697.0,M2009
2020-05-15,0.937,2702.0,2590.0,M2005,2702.0,M2009
2020-05-18,0.952,2748.0,2553.0,M2005,2748.0,M2009
2020-05-19,0.95,2738.0,2542.0,M2005,2738.0,M2009
2020-05-20,0.956,2757.0,,M2005,2757.0,M2009
2020-05-21,0.95,2742.0,,M2005,2742.0,M2009
2020-05-22,0.958,2754.0,,M2005,2754.0,M2009
2020-05-25,0.967,2788.0,,M2005,2788.0,M2009
2020-05-26,0.969,2789.0,,M2005,2789.0,M2009
2020-05-27,0.98,2818.0,,M2005,2818.0,M2009
2020-05-28,0.969,2793.0,,M2005,2793.0,M2009
2020-05-29,0.973,2804.0,,M2005,2804.0,M2009
2020-06-01,0.968,2789.0,2789.0,M2009,2848.0,M2101
2020-06-02,0.966,2787.0,2787.0,M2009,2840.0,M2101
2020-06-03,0.973,2801.0,2801.0,M2009,2852.0,M2101
2020-06-04,0.985,2833.0,2833.0,M2009,2886.0,M2101
2020-06-05,0.987,2842.0,2842.0,M2009,2911.0,M2101
2020-06-08,0.976,2809.0,2809.0,M2009,2885.0,M2101
2020-06-09,0.979,2815.0,2815.0,M2009,2888.0,M2101
2020-06-10,0.979,2818.0,2818.0,M2009,2886.0,M2101
2020-06-11,0.972,2801.0,2801.0,M2009,2872.0,M2101
2020-06-12,0.984,2832.0,2832.0,M2009,2905.0,M2101
2020-06-15,0.975,2802.0,2802.0,M2009,2876.0,M2101
2020-06-16,0.983,2835.0,2835.0,M2009,2905.0,M2101
2020-06-17,0.979,2815.0,2815.0,M2009,2885.0,M2101
2020-06-18,0.979,2816.0,2816.0,M2009,2882.0,M2101
2020-06-19,0.976,2811.0,2811.0,M2009,2874.0,M2101
2020-06-22,0.981,2823.0,2823.0,M2009,2887.0,M2101
2020-06-23,0.978,2810.0,2810.0,M2009,2871.0,M2101
2020-06-24,0.979,2818.0,2818.0,M2009,2879.0,M2101
2020-06-29,0.974,2805.0,2805.0,M2009,2864.0,M2101
2020-06-30,0.976,2813.0,2813.0,M2009,2870.0,M2101
2020-07-01,1.002,2882.0,2882.0,M2009,2933.0,M2101
2020-07-02,1.006,2898.0,2898.0,M2009,2952.0,M2101
2020-07-03,1.006,2906.0,2906.0,M2009,2962.0,M2101
2020-07-06,1.014,2927.0,2927.0,M2009,2984.0,M2101
2020-07-07,1.008,2910.0,2910.0,M2009,2953.0,M2101
2020-07-08,1.004,2897.0,2897.0,M2009,2940.0,M2101
2020-07-09,1.006,2905.0,2905.0,M2009,2947.0,M2101
2020-07-10,1.011,2919.0,2919.0,M2009,2956.0,M2101
2020-07-13,1.0,2875.0,2875.0,M2009,2911.0,M2101
2020-07-14,0.998,2866.0,2866.0,M2009,2893.0,M2101
2020-07-15,0.999,2878.0,2878.0,M2009,2896.0,M2101
2020-07-16,1.006,2895.0,2895.0,M2009,2906.0,M2101
2020-07-17,1.01,2901.0,2901.0,M2009,2915.0,M2101
2020-07-20,1.016,2920.0,2920.0,M2009,2926.0,M2101
2020-07-21,1.016,2911.0,2911.0,M2009,2922.0,M2101
2020-07-22,1.02,2928.0,2928.0,M2009,2933.0,M2101
2020-07-23,1.029,2957.0,2957.0,M2009,2956.0,M2101
2020-07-24,1.046,3000.0,3000.0,M2009,3002.0,M2101
2020-07-27,1.051,3020.0,3020.0,M2009,3004.0,M2101
2020-07-28,1.021,2929.0,2929.0,M2009,2927.0,M2101
2020-07-29,1.026,2927.0,2927.0,M2009,2942.0,M2101
2020-07-30,1.021,2905.0,2905.0,M2009,2924.0,M2101
2020-07-31,1.025,2920.0,2920.0,M2009,2937.0,M2101
2020-08-03,1.027,2927.0,2927.0,M2009,2950.0,M2101
2020-08-04,1.021,2907.0,2907.0,M2009,2927.0,M2101
2020-08-05,1.01,2888.0,2871.0,M2009,2888.0,M2101
2020-08-06,1.004,2873.0,2845.0,M2009,2873.0,M2101
2020-08-07,1.003,2872.0,2841.0,M2009,2872.0,M2101
2020-08-10,1.0,2862.0,2820.0,M2009,2862.0,M2101
2020-08-11,0.997,2851.0,2809.0,M2009,2851.0,M2101
2020-08-12,0.995,2853.0,2811.0,M2009,2853.0,M2101
2020-08-13,1.006,2881.0,2836.0,M2009,2881.0,M2101
2020-08-14,1.011,2895.0,2851.0,M2009,2895.0,M2101
2020-08-17,1.014,2908.0,2858.0,M2009,2908.0,M2101
2020-08-18,1.016,2916.0,2860.0,M2009,2916.0,M2101
2020-08-19,1.014,2901.0,2844.0,M2009,2901.0,M2101
2020-08-20,1.014,2901.0,2847.0,M2009,2901.0,M2101
2020-08-21,1.008,2885.0,2835.0,M2009,2885.0,M2101
2020-08-24,1.005,2886.0,2842.0,M2009,2886.0,M2101
2020-08-25,1.017,2919.0,2869.0,M2009,2919.0,M2101
2020-08-26,1.026,2934.0,2880.0,M2009,2934.0,M2101
2020-08-27,1.022,2921.0,2872.0,M2009,2921.0,M2101
2020-08-28,1.024,2937.0,2893.0,M2009,2937.0,M2101
2020-08-31,1.041,2981.0,2930.0,M2009,2981.0,M2101
2020-09-01,1.029,2942.0,2910.0,M2009,2942.0,M2101
2020-09-02,1.028,2940.0,2937.0,M2009,2940.0,M2101
2020-09-03,1.023,2933.0,2912.0,M2009,2933.0,M2101
2020-09-04,1.042,2973.0,2937.0,M2009,2973.0,M2101
2020-09-07,1.046,2992.0,2999.0,M2009,2992.0,M2101
2020-09-08,1.049,2998.0,2959.0,M2009,2998.0,M2101
2020-09-09,1.04,2978.0,2930.0,M2009,2978.0,M2101
2020-09-10,1.047,2996.0,2962.0,M2009,2996.0,M2101
2020-09-11,1.069,3066.0,2999.0,M2009,3066.0,M2101
2020-09-14,1.087,3118.0,,M2009,3118.0,M2101
2020-09-15,1.09,3116.0,,M2009,3116.0,M2101
2020-09-16,1.07,3064.0,,M2009,3064.0,M2101
2020-09-17,1.072,3073.0,,M2009,3073.0,M2101
2020-09-18,1.104,3153.0,,M2009,3153.0,M2101
2020-09-21,1.094,3137.0,,M2009,3137.0,M2101
2020-09-22,1.081,3096.0,,M2009,3096.0,M2101
2020-09-23,1.076,3087.0,,M2009,3087.0,M2101
2020-09-24,1.077,3089.0,,M2009,3089.0,M2101
2020-09-25,1.072,3078.0,,M2009,3078.0,M2101
2020-09-28,1.081,3094.0,,M2009,3094.0,M2101
2020-09-29,1.072,3072.0,,M2009,3072.0,M2101
2020-09-30,1.078,3087.0,,M2009,3087.0,M2101
2020-10-09,1.14,3262.0,3262.0,M2101,3008.0,M2105
2020-10-12,1.149,3286.0,3286.0,M2101,3061.0,M2105
2020-10-13,1.129,3238.0,3238.0,M2101,3029.0,M2105
2020-10-14,1.127,3233.0,3233.0,M2101,3036.0,M2105
2020-10-15,1.127,3231.0,3231.0,M2101,3044.0,M2105
2020-10-16,1.144,3275.0,3275.0,M2101,3091.0,M2105
2020-10-19,1.143,3258.0,3258.0,M2101,3089.0,M2105
2020-10-20,1.146,3283.0,3283.0,M2101,3105.0,M2105
2020-10-21,1.145,3284.0,3284.0,M2101,3089.0,M2105
2020-10-22,1.145,3270.0,3270.0,M2101,3088.0,M2105
2020-10-23,1.131,3233.0,3233.0,M2101,3052.0,M2105
2020-10-26,1.139,3249.0,3249.0,M2101,3082.0,M2105
2020-10-27,1.135,3245.0,3245.0,M2101,3086.0,M2105
2020-10-28,1.13,3248.0,3248.0,M2101,3084.0,M2105
2020-10-29,1.119,3202.0,3202.0,M2101,3037.0,M2105
2020-10-30,1.117,3192.0,3192.0,M2101,3029.0,M2105
2020-11-02,1.107,3174.0,3174.0,M2101,3031.0,M2105
2020-11-03,1.113,3189.0,3189.0,M2101,3052.0,M2105
2020-11-04,1.122,3216.0,3216.0,M2101,3072.0,M2105
2020-11-05,1.145,3276.0,3276.0,M2101,3160.0,M2105
2020-11-06,1.145,3260.0,3260.0,M2101,3150.0,M2105
2020-11-09,1.133,3203.0,3203.0,M2101,3105.0,M2105
2020-11-10,1.137,3157.0,3157.0,M2101,3115.0,M2105
2020-11-11,1.173,3249.0,3249.0,M2101,3212.0,M2105
2020-11-12,1.162,3204.0,3204.0,M2101,3185.0,M2105
2020-11-13,1.153,3159.0,3163.0,M2101,3159.0,M2105
2020-11-16,1.149,3146.0,3121.0,M2101,3146.0,M2105
2020-11-17,1.158,3167.0,3128.0,M2101,3167.0,M2105
2020-11-18,1.158,3171.0,3170.0,M2101,3171.0,M2105
2020-11-19,1.162,3182.0,3168.0,M2101,3182.0,M2105
2020-11-20,1.177,3221.0,3192.0,M2101,3221.0,M2105
2020-11-23,1.192,3264.0,3211.0,M2101,3264.0,M2105
2020-11-24,1.186,3236.0,3166.0,M2101,3236.0,M2105
2020-11-25,1.181,3237.0,3165.0,M2101,3237.0,M2105
2020-11-26,1.18,3233.0,3176.0,M2101,3233.0,M2105
2020-11-27,1.175,3212.0,3156.0,M2101,3212.0,M2105
2020-11-30,1.181,3236.0,3170.0,M2101,3236.0,M2105
2020-12-01,1.158,3165.0,3113.0,M2101,3165.0,M2105
2020-12-02,1.14,3117.0,3062.0,M2101,3117.0,M2105
2020-12-03,1.134,3096.0,3049.0,M2101,3096.0,M2105
2020-12-04,1.142,3122.0,3074.0,M2101,3122.0,M2105
2020-12-07,1.138,3109.0,3064.0,M2101,3109.0,M2105
2020-12-08,1.13,3095.0,3046.0,M2101,3095.0,M2105
2020-12-09,1.131,3101.0,3049.0,M2101,3101.0,M2105
2020-12-10,1.15,3139.0,3085.0,M2101,3139.0,M2105
2020-12-11,1.131,3088.0,3032.0,M2101,3088.0,M2105
2020-12-14,1.137,3112.0,3046.0,M2101,3112.0,M2105
2020-12-15,1.134,3108.0,3046.0,M2101,3108.0,M2105
2020-12-16,1.149,3143.0,3084.0,M2101,3143.0,M2105
2020-12-17,1.149,3149.0,3099.0,M2101,3149.0,M2105
2020-12-18,1.165,3189.0,3134.0,M2101,3189.0,M2105
2020-12-21,1.201,3298.0,3239.0,M2101,3298.0,M2105
2020-12-22,1.211,3314.0,3239.0,M2101,3314.0,M2105
2020-12-23,1.213,3321.0,3244.0,M2101,3321.0,M2105
2020-12-24,1.205,3307.0,3220.0,M2101,3307.0,M2105
2020-12-25,1.206,3303.0,3221.0,M2101,3303.0,M2105
2020-12-28,1.205,3307.0,3225.0,M2101,3307.0,M2105
2020-12-29,1.196,3274.0,3203.0,M2101,3274.0,M2105
2020-12-30,1.229,3363.0,3284.0,M2101,3363.0,M2105
2020-12-31,1.271,3479.0,3418.0,M2101,3479.0,M2105
2021-01-04,1.277,3483.0,3433.0,M2101,3483.0,M2105
2021-01-05,1.279,3483.0,3435.0,M2101,3483.0,M2105
2021-01-06,1.29,3535.0,3470.0,M2101,3535.0,M2105
2021-01-07,1.286,3517.0,3520.0,M2101,3517.0,M2105
2021-01-08,1.291,3536.0,3563.0,M2101,3536.0,M2105
2021-01-11,1.322,3619.0,3605.0,M2101,3619.0,M2105
2021-01-12,1.326,3635.0,3660.0,M2101,3635.0,M2105
2021-01-13,1.385,3775.0,,M2101,3775.0,M2105
2021-01-14,1.37,3736.0,3742.0,M2101,3736.0,M2105
2021-01-15,1.364,3717.0,3784.0,M2101,3717.0,M2105
2021-01-18,1.34,3677.0,,M2101,3677.0,M2105
2021-01-19,1.337,3665.0,,M2101,3665.0,M2105
2021-01-20,1.296,3534.0,,M2101,3534.0,M2105
2021-01-21,1.306,3571.0,,M2101,3571.0,M2105
2021-01-22,1.274,3481.0,,M2101,3481.0,M2105
2021-01-25,1.253,3423.0,,M2101,3423.0,M2105
2021-01-26,1.257,3433.0,,M2101,3433.0,M2105
2021-01-27,1.291,3518.0,,M2101,3518.0,M2105
2021-01-28,1.275,3483.0,,M2101,3483.0,M2105
2021-01-29,1.276,3484.0,,M2101,3484.0,M2105
2021-02-01,1.275,3485.0,3485.0,M2105,3512.0,M2109
2021-02-02,1.25,3418.0,3418.0,M2105,3454.0,M2109
2021-02-03,1.248,3410.0,3410.0,M2105,3455.0,M2109
2021-02-04,1.276,3482.0,3482.0,M2105,3516.0,M2109
2021-02-05,1.29,3515.0,3515.0,M2105,3537.0,M2109
2021-02-08,1.267,3460.0,3460.0,M2105,3489.0,M2109
2021-02-09,1.289,3520.0,3520.0,M2105,3545.0,M2109
2021-02-10,1.272,3470.0,3470.0,M2105,3500.0,M2109
2021-02-18,1.279,3492.0,3492.0,M2105,3507.0,M2109
2021-02-19,1.267,3462.0,3462.0,M2105,3488.0,M2109
2021-02-22,1.285,3505.0,3505.0,M2105,3540.0,M2109
2021-02-23,1.318,3591.0,3591.0,M2105,3625.0,M2109
2021-02-24,1.317,3591.0,3591.0,M2105,3616.0,M2109
2021-02-25,1.311,3574.0,3574.0,M2105,3613.0,M2109
2021-02-26,1.255,3427.0,3427.0,M2105,3472.0,M2109
2021-03-01,1.256,3422.0,3422.0,M2105,3470.0,M2109
2021-03-02,1.226,3351.0,3351.0,M2105,3400.0,M2109
2021-03-03,1.246,3403.0,3403.0,M2105,3452.0,M2109
2021-03-04,1.227,3351.0,3351.0,M2105,3420.0,M2109
2021-03-05,1.23,3364.0,3364.0,M2105,3431.0,M2109
2021-03-08,1.253,3414.0,3414.0,M2105,3492.0,M2109
2021-03-09,1.229,3348.0,3348.0,M2105,3428.0,M2109
2021-03-10,1.196,3269.0,3269.0,M2105,3356.0,M2109
2021-03-11,1.172,3198.0,3198.0,M2105,3294.0,M2109
2021-03-12,1.172,3210.0,3210.0,M2105,3295.0,M2109
2021-03-15,1.177,3213.0,3213.0,M2105,3275.0,M2109
2021-03-16,1.183,3232.0,3232.0,M2105,3305.0,M2109
2021-03-17,1.195,3264.0,3264.0,M2105,3342.0,M2109
2021-03-18,1.19,3246.0,3246.0,M2105,3332.0,M2109
2021-03-19,1.191,3243.0,3243.0,M2105,3331.0,M2109
2021-03-22,1.205,3279.0,3279.0,M2105,3370.0,M2109
2021-03-23,1.195,3257.0,3257.0,M2105,3349.0,M2109
2021-03-24,1.212,3288.0,3288.0,M2105,3382.0,M2109
2021-03-25,1.213,3305.0,3305.0,M2105,3397.0,M2109
2021-03-26,1.23,3343.0,3343.0,M2105,3437.0,M2109
2021-03-29,1.214,3309.0,3309.0,M2105,3404.0,M2109
2021-03-30,1.214,3301.0,3301.0,M2105,3398.0,M2109
2021-03-31,1.208,3279.0,3279.0,M2105,3383.0,M2109
2021-04-01,1.26,3524.0,3399.0,M2105,3524.0,M2109
2021-04-02,1.251,3507.0,3358.0,M2105,3507.0,M2109
2021-04-06,1.249,3490.0,3355.0,M2105,3490.0,M2109
2021-04-07,1.268,3547.0,3398.0,M2105,3547.0,M2109
2021-04-08,1.259,3517.0,3382.0,M2105,3517.0,M2109
2021-04-09,1.263,3524.0,3400.0,M2105,3524.0,M2109
2021-04-12,1.235,3453.0,3338.0,M2105,3453.0,M2109
2021-04-13,1.232,3442.0,3315.0,M2105,3442.0,M2109
2021-04-14,1.226,3422.0,3307.0,M2105,3422.0,M2109
2021-04-15,1.244,3468.0,3354.0,M2105,3468.0,M2109
2021-04-16,1.261,3515.0,3395.0,M2105,3515.0,M2109
2021-04-19,1.26,3542.0,3422.0,M2105,3542.0,M2109
2021-04-20,1.28,3570.0,3444.0,M2105,3570.0,M2109
2021-04-21,1.284,3580.0,3447.0,M2105,3580.0,M2109
2021-04-22,1.302,3629.0,3496.0,M2105,3629.0,M2109
2021-04-23,1.308,3647.0,3508.0,M2105,3647.0,M2109
2021-04-26,1.312,3649.0,3519.0,M2105,3649.0,M2109
2021-04-27,1.325,3682.0,3544.0,M2105,3682.0,M2109
2021-04-28,1.296,3613.0,3467.0,M2105,3613.0,M2109
2021-04-29,1.284,3587.0,3445.0,M2105,3587.0,M2109
2021-04-30,1.274,3575.0,3435.0,M2105,3575.0,M2109
2021-05-06,1.313,3669.0,3537.0,M2105,3669.0,M2109
2021-05-07,1.33,3709.0,3609.0,M2105,3709.0,M2109
2021-05-10,1.321,3689.0,3538.0,M2105,3689.0,M2109
2021-05-11,1.315,3674.0,3545.0,M2105,3674.0,M2109
2021-05-12,1.354,3769.0,3655.0,M2105,3769.0,M2109
2021-05-13,1.322,3678.0,3538.0,M2105,3678.0,M2109
2021-05-14,1.29,3607.0,3496.0,M2105,3607.0,M2109
2021-05-17,1.3,3606.0,3502.0,M2105,3606.0,M2109
2021-05-18,1.298,3623.0,,M2105,3623.0,M2109
2021-05-19,1.279,3571.0,3500.0,M2105,3571.0,M2109
2021-05-20,1.278,3567.0,,M2105,3567.0,M2109
2021-05-21,1.264,3524.0,,M2105,3524.0,M2109
2021-05-24,1.266,3528.0,,M2105,3528.0,M2109
2021-05-25,1.271,3538.0,,M2105,3538.0,M2109
2021-05-26,1.26,3508.0,,M2105,3508.0,M2109
2021-05-27,1.248,3472.0,,M2105,3472.0,M2109
2021-05-28,1.266,3532.0,,M2105,3532.0,M2109
2021-05-31,1.263,3521.0,,M2105,3521.0,M2109
2021-06-01,1.268,3541.0,3541.0,M2109,3539.0,M2201
2021-06-02,1.279,3567.0,3567.0,M2109,3574.0,M2201
2021-06-03,1.289,3604.0,3604.0,M2109,3605.0,M2201
2021-06-04,1.269,3535.0,3535.0,M2109,3546.0,M2201
2021-06-07,1.3,3622.0,3622.0,M2109,3621.0,M2201
2021-06-08,1.299,3615.0,3615.0,M2109,3620.0,M2201
2021-06-09,1.298,3619.0,3619.0,M2109,3610.0,M2201
2021-06-10,1.299,3628.0,3628.0,M2109,3624.0,M2201
2021-06-11,1.305,3642.0,3642.0,M2109,3648.0,M2201
2021-06-15,1.252,3494.0,3494.0,M2109,3514.0,M2201
2021-06-16,1.244,3474.0,3474.0,M2109,3480.0,M2201
2021-06-17,1.236,3450.0,3450.0,M2109,3442.0,M2201
2021-06-18,1.21,3373.0,3373.0,M2109,3372.0,M2201
2021-06-21,1.217,3394.0,3394.0,M2109,3399.0,M2201
2021-06-22,1.218,3393.0,3393.0,M2109,3399.0,M2201
2021-06-23,1.214,3384.0,3384.0,M2109,3393.0,M2201
2021-06-24,1.218,3390.0,3390.0,M2109,3393.0,M2201
2021-06-25,1.221,3397.0,3397.0,M2109,3400.0,M2201
2021-06-28,1.239,3448.0,3448.0,M2109,3434.0,M2201
2021-06-29,1.243,3458.0,3458.0,M2109,3457.0,M2201
2021-06-30,1.253,3486.0,3486.0,M2109,3473.0,M2201
2021-07-01,1.306,3639.0,3639.0,M2109,3623.0,M2201
2021-07-02,1.329,3694.0,3694.0,M2109,3677.0,M2201
2021-07-05,1.312,3655.0,3655.0,M2109,3634.0,M2201
2021-07-06,1.303,3634.0,3634.0,M2109,3613.0,M2201
2021-07-07,1.281,3571.0,3571.0,M2109,3551.0,M2201
2021-07-08,1.285,3584.0,3584.0,M2109,3556.0,M2201
2021-07-09,1.285,3580.0,3580.0,M2109,3540.0,M2201
2021-07-12,1.286,3590.0,3590.0,M2109,3558.0,M2201
2021-07-13,1.295,3613.0,3613.0,M2109,3578.0,M2201
2021-07-14,1.299,3625.0,3625.0,M2109,3589.0,M2201
2021-07-15,1.311,3662.0,3662.0,M2109,3629.0,M2201
2021-07-16,1.312,3663.0,3663.0,M2109,3631.0,M2201
2021-07-19,1.33,3709.0,3709.0,M2109,3677.0,M2201
2021-07-20,1.326,3704.0,3704.0,M2109,3675.0,M2201
2021-07-21,1.317,3678.0,3678.0,M2109,3665.0,M2201
2021-07-22,1.298,3622.0,3622.0,M2109,3621.0,M2201
2021-07-23,1.286,3578.0,3578.0,M2109,3568.0,M2201
2021-07-26,1.256,3503.0,3503.0,M2109,3497.0,M2201
2021-07-27,1.269,3533.0,3533.0,M2109,3530.0,M2201
2021-07-28,1.274,3553.0,3553.0,M2109,3539.0,M2201
2021-07-29,1.3,3623.0,3623.0,M2109,3586.0,M2201
2021-07-30,1.311,3652.0,3652.0,M2109,3612.0,M2201
2021-08-02,1.306,3636.0,3636.0,M2109,3588.0,M2201
2021-08-03,1.302,3625.0,3625.0,M2109,3579.0,M2201
2021-08-04,1.29,3588.0,3588.0,M2109,3535.0,M2201
2021-08-05,1.278,3558.0,3558.0,M2109,3516.0,M2201
2021-08-06,1.285,3577.0,3577.0,M2109,3535.0,M2201
2021-08-09,1.3,3617.0,3617.0,M2109,3572.0,M2201
2021-08-10,1.306,3628.0,3628.0,M2109,3591.0,M2201
2021-08-11,1.304,3586.0,3620.0,M2109,3586.0,M2201
2021-08-12,1.281,3523.0,3563.0,M2109,3523.0,M2201
2021-08-13,1.311,3620.0,3662.0,M2109,3620.0,M2201
2021-08-16,1.324,3639.0,3675.0,M2109,3639.0,M2201
2021-08-17,1.325,3637.0,3673.0,M2109,3637.0,M2201
2021-08-18,1.312,3608.0,3646.0,M2109,3608.0,M2201
2021-08-19,1.292,3551.0,3598.0,M2109,3551.0,M2201
2021-08-20,1.286,3534.0,3602.0,M2109,3534.0,M2201
2021-08-23,1.271,3485.0,3584.0,M2109,3485.0,M2201
2021-08-24,1.275,3493.0,3630.0,M2109,3493.0,M2201
2021-08-25,1.279,3502.0,3640.0,M2109,3502.0,M2201
2021-08-26,1.279,3511.0,3631.0,M2109,3511.0,M2201
2021-08-27,1.274,3501.0,3622.0,M2109,3501.0,M2201
2021-08-30,1.283,3525.0,3649.0,M2109,3525.0,M2201
2021-08-31,1.279,3517.0,3732.0,M2109,3517.0,M2201
2021-09-01,1.271,3491.0,3692.0,M2109,3491.0,M2201
2021-09-02,1.274,3504.0,3718.0,M2109,3504.0,M2201
2021-09-03,1.271,3487.0,3777.0,M2109,3487.0,M2201
2021-09-06,1.268,3486.0,3787.0,M2109,3486.0,M2201
2021-09-07,1.283,3524.0,3796.0,M2109,3524.0,M2201
2021-09-08,1.27,3486.0,3786.0,M2109,3486.0,M2201
2021-09-09,1.264,3468.0,3772.0,M2109,3468.0,M2201
2021-09-10,1.27,3500.0,3792.0,M2109,3500.0,M2201
2021-09-13,1.281,3530.0,3833.0,M2109,3530.0,M2201
2021-09-14,1.291,3545.0,3848.0,M2109,3545.0,M2201
