variant,overlay,window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,avg_scale,avg_final_exposure,score_gate_days,score_gate_count_end_minus_start,staged_initials,staged_fills
score_over5_cash_full_reentry,after_overheat,6Y,2020-05-08,2026-05-08,1454,11.41212258877903,0.5217709165986306,-0.188006859905128,0.2717206586276168,1.7406859797429572,180,268,1.1563190508099066,0.9338962178716913,180,179,0,0
score_over5_cash_full_reentry,before_overheat,3Y,2023-05-08,2026-05-08,727,4.946484771653911,0.8114564614767188,-0.18800685990512778,0.2937996975280288,2.2638339152711153,88,145,1.0830878634162466,0.86424949395677,100,100,0,0
score_over5_cash_full_reentry,after_overheat,3Y,2023-05-08,2026-05-08,727,5.696164602522788,0.8845713420178818,-0.1880068599051279,0.2891981989878296,2.437741329077016,88,145,1.0830878634162466,0.8542931655645326,100,100,0,0
score_over5_cash_full_reentry,before_overheat,1Y,2025-05-08,2026-05-08,243,0.6578281226842346,0.6584022261890805,-0.15822615232873793,0.2608308106941897,2.1502791779639043,32,75,1.1994111736816047,0.8424297482826848,64,64,0,0
score_over5_cash_full_reentry,after_overheat,1Y,2025-05-08,2026-05-08,243,0.7440176269784786,0.7446821423549574,-0.15689895321843583,0.2529886006150904,2.416881233333322,32,75,1.1994111736816047,0.8252306930851367,64,64,0,0
score_over5_cash_half_reentry,before_overheat,from_2020,2020-01-02,2026-05-08,1535,10.64603212903716,0.47230885874175854,-0.18785997459992365,0.2631905509488656,1.6816090153541658,316,293,1.2594905275858772,0.9074935383336903,198,198,151,122
score_over5_cash_half_reentry,after_overheat,from_2020,2020-01-02,2026-05-08,1535,12.708581766386288,0.510627047633319,-0.16557453087153917,0.2589149103280536,1.8085157466155448,316,293,1.2594905275858772,0.8934188316368058,198,198,151,122
score_over5_cash_half_reentry,before_overheat,6Y,2020-05-08,2026-05-08,1454,9.832575836222103,0.48762903122214096,-0.18785997459992365,0.2597694823963222,1.7192706179833324,296,268,1.272200608405131,0.9223475711166941,180,179,142,116
score_over5_cash_half_reentry,after_overheat,6Y,2020-05-08,2026-05-08,1454,11.751059755466112,0.528620791267596,-0.16557453087153917,0.2551910427407421,1.856303616740203,296,268,1.272200608405131,0.9074887851609047,180,179,142,116
score_over5_cash_half_reentry,before_overheat,3Y,2023-05-08,2026-05-08,727,4.889442888749722,0.8056470098146689,-0.1655745308715395,0.2713569456979636,2.4187611797971043,144,145,1.210386038801466,0.8523236746583289,100,100,69,56
score_over5_cash_half_reentry,after_overheat,3Y,2023-05-08,2026-05-08,727,5.744670217140622,0.889109841820231,-0.1655745308715394,0.26524579257680897,2.6457405406875236,144,145,1.210386038801466,0.8401016864826616,100,100,69,56
score_over5_cash_half_reentry,before_overheat,1Y,2025-05-08,2026-05-08,243,0.6719177768317768,0.6725064542891521,-0.1639383641972726,0.24895386953176715,2.2769164458017412,49,75,1.3307149400486795,0.8192414143912038,64,64,23,17
score_over5_cash_half_reentry,after_overheat,1Y,2025-05-08,2026-05-08,243,0.7643004920785699,0.7649867139713231,-0.13827223238286301,0.23976171867453652,2.5876059066763855,49,75,1.3307149400486795,0.8010678155511975,64,64,23,17
