version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,pool_label,pool,dropped,delta_cagr,delta_maxdd,delta_sharpe,delta_vol,maxdd_improve_abs
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,4.978844513134166,0.19580874723928599,-0.3217634927938319,0.9649512764086452,0.2077868210068913,377,440,440,203,184,0,0,0,889,0.5650349437356501,565.0349437356501,1.4514934115093547,1.1124919038978187,1.5,drop_TLT,"QQQ,GLD,PDBC,EEM,VEA",TLT,0.07000136889890429,0.024130184038644642,0.2990322475964813,-0.0038646595172568132,0.024130184038644642
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,4.539449470286276,0.30925080931713134,-0.18988841310426507,1.284504413803379,0.23064034937933903,235,269,269,127,114,0,0,0,695,0.34670647858762127,346.7064785876213,1.4260011789442668,1.1052305900031385,1.5,drop_TLT,"QQQ,GLD,PDBC,EEM,VEA",TLT,0.08907146873179461,0.040616585787616066,0.32071283290439334,-0.004684516257262988,0.040616585787616066
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,2.5329726895219276,0.2871467251191755,-0.18988841310426507,1.245680210768525,0.2226216320403636,186,204,204,93,85,0,0,0,474,0.2596375224252392,259.6375224252391,1.4413434335243025,1.1184157931288825,1.5,drop_TLT,"QQQ,GLD,PDBC,EEM,VEA",TLT,0.08342469003761321,0.04061658578761618,0.3069494176056212,-0.0017633646567958017,0.04061658578761618
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,1.2072869062831155,0.3020258170854686,-0.17505564485826597,1.3078913758814126,0.22051950250354765,77,136,136,62,56,0,0,0,257,0.1701801434756414,170.1801434756414,1.4612782610948574,1.182804490773409,1.5,drop_TLT,"QQQ,GLD,PDBC,EEM,VEA",TLT,0.06811918956407248,0.055449354033615283,0.24581415737191237,-0.0004882764516749294,0.055449354033615283
1.1,v1_1_staged_50_plus_ma60_overheat,1Y,2025-05-15,2026-05-15,252,0.43729666546005874,0.43729666546005874,-0.11443929608876302,1.6664851468766935,0.23439527640634683,13,66,66,29,24,0,0,0,169,0.07352839214587457,73.52839214587456,1.3902169240319513,1.1431963500873823,1.5,drop_TLT,"QQQ,GLD,PDBC,EEM,VEA",TLT,0.05454341907668092,-0.006225507213308612,0.16379684748796652,0.00027059481746402603,-0.006225507213308612
1.1,v1_1_staged_50_plus_ma60_overheat,15Y,2011-05-05,2026-05-15,3780,1.4940241433314059,0.06282079595608003,-0.4717759621469856,0.4045409555863839,0.2001159228728256,606,653,653,319,279,0,0,0,1094,0.8686395374749252,868.639537474925,1.456985727370301,1.100211561440289,1.5,drop_PDBC,"QQQ,GLD,TLT,EEM,VEA",PDBC,-0.038853615991026436,-0.059907350439948104,-0.16803539639994314,-0.006225398932917348,-0.059907350439948104
1.1,v1_1_staged_50_plus_ma60_overheat,10Y,2016-05-09,2026-05-15,2520,0.9136343828884781,0.06705276755578371,-0.3784259443393553,0.42127489252394457,0.20298758774394846,425,438,438,218,190,0,0,0,775,0.5950599110966557,595.0599110966557,1.458946743536717,1.0881752452456568,1.5,drop_PDBC,"QQQ,GLD,TLT,EEM,VEA",PDBC,-0.05875461078459798,-0.032532267506878765,-0.24464413628821935,-0.008663892780199661,-0.032532267506878765
1.1,v1_1_staged_50_plus_ma60_overheat,from_2020,2020-01-02,2026-05-15,1601,1.1474510055353297,0.1278342025527155,-0.3784259443393554,0.646139343796141,0.22564608773525133,312,256,256,133,117,0,0,0,578,0.358086846546273,358.0868465462729,1.4364579737618008,1.0436273780944687,1.5,drop_PDBC,"QQQ,GLD,TLT,EEM,VEA",PDBC,-0.09234513803262123,-0.14792094544747425,-0.3176522371028446,-0.009678777901350688,-0.14792094544747425
1.1,v1_1_staged_50_plus_ma60_overheat,5Y,2021-05-11,2026-05-15,1260,1.0313197808502603,0.15227372669940298,-0.3784259443393553,0.7646148689419933,0.21582742956437637,258,183,183,94,82,0,0,0,370,0.2623575996521234,262.35759965212344,1.4793451661162011,1.0693831627340173,1.5,drop_PDBC,"QQQ,GLD,TLT,EEM,VEA",PDBC,-0.0514483083821593,-0.14792094544747403,-0.1741159242209105,-0.008557567132783023,-0.14792094544747403
1.1,v1_1_staged_50_plus_ma60_overheat,3Y,2023-05-11,2026-05-15,756,1.0846741162193623,0.27745631645223345,-0.23050499889188103,1.2351259006978896,0.21751558129358903,99,120,120,63,55,0,0,0,226,0.1745841972191363,174.58419721913629,1.4819309040392286,1.17109983864373,1.5,drop_PDBC,"QQQ,GLD,TLT,EEM,VEA",PDBC,0.04354968893083733,2.220446049250313e-16,0.17304868218838942,-0.003492197661633556,2.220446049250313e-16
