scenario,decay_trigger,recovery_trigger,window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,overheat_days,score_decay_days,score_decay_triggers,score_decay_recoveries,avg_scale,avg_final_exposure
decay_0.30_recover_0.80,0.3,0.8,from_2020,2020-01-02,2026-05-08,1535,3.4653979756468534,0.26589952043257337,-0.21447264896525453,0.22864393026562463,1.209749812688935,285,198,62,103,23,23,1.1079211432164604,0.8430816519167944
decay_0.30_recover_0.80,0.3,0.8,6Y,2020-05-08,2026-05-08,1454,3.1608528704103325,0.2682959629944317,-0.21447264896525453,0.2215069855452696,1.2260749158080155,268,189,59,101,22,22,1.1149821074989559,0.8476763446653262
decay_0.30_recover_0.80,0.3,0.8,3Y,2023-05-08,2026-05-08,727,1.4017296486921933,0.3390982433311849,-0.21447264896525453,0.2090891991003375,1.578792224894696,127,115,42,70,12,12,1.0382783810243232,0.7389973320432951
decay_0.30_recover_0.80,0.3,0.8,1Y,2025-05-08,2026-05-08,243,-0.006979034965021058,-0.006983798395135521,-0.006979034965021058,0.0026552108758064346,-2.733967130597302,39,36,24,25,5,5,1.0308641975308641,0.7088477366255144
decay_0.30_recover_0.90,0.3,0.9,from_2020,2020-01-02,2026-05-08,1535,3.434763017960891,0.26452708591243024,-0.21458122792852263,0.22865984819342705,1.2047321485339548,285,199,62,104,23,23,1.1079822363125769,0.8422673279632157
decay_0.30_recover_0.90,0.3,0.9,6Y,2020-05-08,2026-05-08,1454,3.13230725088936,0.2668412731364167,-0.21458122792852252,0.22152422388861234,1.2206034567319193,268,190,59,102,22,22,1.1150466039931368,0.846816656034829
decay_0.30_recover_0.90,0.3,0.9,3Y,2023-05-08,2026-05-08,727,1.3852525314090145,0.33602960885252386,-0.21458122792852252,0.20912833975735734,1.5671073168720369,127,116,42,71,12,12,1.0384073740126871,0.7372779547823018
decay_0.30_recover_0.90,0.3,0.9,1Y,2025-05-08,2026-05-08,243,-0.006979034965020947,-0.00698379839513541,-0.006979034965020947,0.0026552108758064346,-2.733967130597302,39,36,24,25,5,5,1.0308641975308641,0.7088477366255144
decay_0.30_recover_1.00,0.3,1.0,from_2020,2020-01-02,2026-05-08,1535,3.5127678971296623,0.26800614044075766,-0.2157282991168643,0.22873972002845633,1.2169132052993024,285,201,62,106,23,23,1.1084103756898183,0.8410192082455433
decay_0.30_recover_1.00,0.3,1.0,6Y,2020-05-08,2026-05-08,1454,3.2049921105962698,0.2705290187569478,-0.2157282991168643,0.22161153194766653,1.233854244931984,268,192,59,104,22,22,1.1154985943260565,0.8454990055763506
decay_0.30_recover_1.00,0.3,1.0,3Y,2023-05-08,2026-05-08,727,1.4272077237712706,0.34381566861485235,-0.21572829911686442,0.2093064697089551,1.5948515296524477,127,118,42,73,12,12,1.039311354678525,0.734642653865344
decay_0.30_recover_1.00,0.3,1.0,1Y,2025-05-08,2026-05-08,243,-0.006979034965021058,-0.006983798395135521,-0.006979034965021058,0.0026552108758064346,-2.733967130597302,39,37,24,26,5,5,1.0308641975308641,0.7047325102880658
decay_0.40_recover_0.60,0.4,0.6,from_2020,2020-01-02,2026-05-08,1535,2.780590558967483,0.23312401600308852,-0.21681845234894714,0.22653232628623282,1.0981864030237956,292,240,53,145,30,30,1.1301641184872666,0.8375830162181573
decay_0.40_recover_0.60,0.4,0.6,6Y,2020-05-08,2026-05-08,1454,2.5636293064188256,0.2359561926774778,-0.21681845234894714,0.2190986687263102,1.1144963265966348,275,229,50,141,29,29,1.138200680746913,0.8427973955671461
decay_0.40_recover_0.60,0.4,0.6,3Y,2023-05-08,2026-05-08,727,0.9766856852675858,0.2549411813477662,-0.21681845234894714,0.20592622259088894,1.271771654511809,130,139,34,94,15,15,1.0518023260715001,0.7268610574318127
decay_0.40_recover_0.60,0.4,0.6,1Y,2025-05-08,2026-05-08,243,-0.006979034965020836,-0.006983798395135299,-0.006979034965020836,0.0026552108758064346,-2.733967130597302,40,49,17,38,7,7,1.0308641975308641,0.684156378600823
decay_0.40_recover_0.70,0.4,0.7,from_2020,2020-01-02,2026-05-08,1535,2.7844182001260287,0.2333206551526812,-0.21681845234894703,0.22653264368906617,1.098919274914078,292,242,53,147,30,30,1.1301703279362358,0.836344233398349
decay_0.40_recover_0.70,0.4,0.7,6Y,2020-05-08,2026-05-08,1454,2.567237286176035,0.23616470867031825,-0.21681845234894692,0.219099029766532,1.1152961187662043,275,231,50,143,29,29,1.1382072361142912,0.8414896021500857
decay_0.40_recover_0.70,0.4,0.7,3Y,2023-05-08,2026-05-08,727,0.9766776486693927,0.254939480997991,-0.21681845234894703,0.20592623873541674,1.271764720174847,130,140,34,95,15,15,1.0518026304028418,0.7250444633210621
decay_0.40_recover_0.70,0.4,0.7,1Y,2025-05-08,2026-05-08,243,-0.006979034965020947,-0.00698379839513541,-0.006979034965020947,0.0026552108758064346,-2.733967130597302,40,49,17,38,7,7,1.0308641975308641,0.684156378600823
decay_0.40_recover_0.80,0.4,0.8,from_2020,2020-01-02,2026-05-08,1535,2.3296467388827624,0.20868990655143538,-0.21681845234894714,0.22706958824250514,1.0043582127494137,291,245,52,150,30,30,1.131778703731727,0.8365458019968176
decay_0.40_recover_0.80,0.4,0.8,6Y,2020-05-08,2026-05-08,1454,2.138564336346728,0.21006137567555094,-0.21681845234894714,0.2196829742081098,1.0119815589473686,274,234,49,146,29,29,1.1399052119369035,0.8417023998107799
decay_0.40_recover_0.80,0.4,0.8,3Y,2023-05-08,2026-05-08,727,0.7371176313750782,0.20205638850123986,-0.21681845234894714,0.20717132594582713,1.0493499961953954,130,142,33,97,15,15,1.0551852326669195,0.7262789579301783
decay_0.40_recover_0.80,0.4,0.8,1Y,2025-05-08,2026-05-08,243,-0.006979034965021058,-0.006983798395135521,-0.006979034965021058,0.0026552108758064346,-2.733967130597302,40,50,17,39,7,7,1.0308641975308641,0.6800411522633745
decay_0.40_recover_0.90,0.4,0.9,from_2020,2020-01-02,2026-05-08,1535,2.3067336181412617,0.20737546847325583,-0.21688725891684846,0.2270860916417502,0.9993031297168249,291,246,52,151,30,30,1.131850438337874,0.8357222351477731
decay_0.40_recover_0.90,0.4,0.9,6Y,2020-05-08,2026-05-08,1454,2.1169661581514627,0.20866921296707241,-0.21688725891684846,0.21970085812646956,1.0064627440348601,274,235,49,147,29,29,1.1399809427625127,0.8408329533779851
decay_0.40_recover_0.90,0.4,0.9,3Y,2023-05-08,2026-05-08,727,0.7251635746383449,0.19929333310391906,-0.21688725891684846,0.20720899958081704,1.0376308469947257,130,143,33,98,15,15,1.055336694318136,0.7245400650645871
decay_0.40_recover_0.90,0.4,0.9,1Y,2025-05-08,2026-05-08,243,-0.006979034965021058,-0.006983798395135521,-0.006979034965021058,0.0026552108758064346,-2.733967130597302,40,50,17,39,7,7,1.0308641975308641,0.6800411522633745
decay_0.40_recover_1.00,0.4,1.0,from_2020,2020-01-02,2026-05-08,1535,2.3687343006292734,0.21091472582855975,-0.21724536726591914,0.22712157937696023,1.012611542753417,291,248,52,153,30,30,1.1322475266299359,0.8344307740629383
