version,scenario,window,start,end,days,total,cagr,maxdd,sharpe,vol,cash_days,half_position_days,pending_days,staged_initials,staged_fills,overheat_days,overheat_triggers,overheat_recoveries,trades,cost_sum,turnover_sum,avg_scale,avg_final_exposure,max_final_exposure,diagnostic_label,lookback
diagnostic,lookback_20,3Y,2023-05-08,2026-05-08,727,2.372379592206946,0.5240478593578031,-0.1870584237786631,1.790052615182908,0.25326428162076037,69,260,260,139,87,11,5,1,522,0.29935430827583365,299.35430827583366,1.3200566343354405,0.9423745177014041,1.5,lookback_20,20
diagnostic,lookback_20,1Y,2025-05-08,2026-05-08,243,0.43407419127542424,0.4533511843023881,-0.187058423778663,1.686200959943116,0.23859497192022702,21,105,105,56,31,9,4,1,191,0.10808736735593386,108.08736735593386,1.2744504126277458,0.8647088321711026,1.5,lookback_20,20
diagnostic,lookback_25,from_2020,2020-01-02,2026-05-08,1535,15.747316755280057,0.5883065674850185,-0.18054057908721044,1.8987898024441365,0.26176011292387075,113,345,345,187,151,18,6,6,1269,0.40891608838425264,408.91608838425265,1.1836662793009454,0.9531226868918853,1.5,lookback_25,25
diagnostic,lookback_25,5Y,2021-05-10,2026-05-08,1211,9.896363466685681,0.6438057773596817,-0.18054057908721055,2.0689719969618614,0.25603986808987683,96,245,245,138,114,18,6,6,960,0.3224209088898115,322.42090888981147,1.2261394012910594,0.9881679731089424,1.5,lookback_25,25
diagnostic,lookback_25,3Y,2023-05-08,2026-05-08,727,6.571800841574701,1.0172364199886679,-0.16550599700214552,2.7626579453777222,0.2669846459938101,53,165,165,87,71,8,4,4,611,0.1916476809452099,191.64768094520988,1.157271140181522,0.928425968735333,1.5,lookback_25,25
diagnostic,lookback_25,1Y,2025-05-08,2026-05-08,243,0.9083217351116701,0.9545469199680434,-0.12751321964343498,2.836320506321077,0.24724049356492475,18,67,67,36,25,4,2,2,214,0.07372737758619043,73.72737758619043,1.195169200640551,0.9407402119497495,1.5,lookback_25,25
diagnostic,lookback_40,from_2020,2020-01-02,2026-05-08,1535,2.786453154586173,0.24430855240655847,-0.23898374783778242,0.956720059207945,0.2653562238068348,89,215,215,106,97,25,13,7,1297,0.24918620373318154,249.18620373318151,1.1429047234630734,0.9827096453738642,1.5,lookback_40,40
diagnostic,lookback_40,5Y,2021-05-10,2026-05-08,1211,3.2558812291730206,0.3517238864230463,-0.1812622274735618,1.285534991082303,0.2609268653792331,77,151,151,76,72,17,8,5,1000,0.19359060657467403,193.590606574674,1.1881779262151477,1.024296404865913,1.5,lookback_40,40
diagnostic,lookback_40,3Y,2023-05-08,2026-05-08,727,1.626524650640917,0.39755914710103246,-0.16896459664456231,1.4070800766877132,0.26246252208818827,46,100,100,51,47,13,7,4,601,0.12407640347824106,124.07640347824106,1.1475039854353815,0.9732285759713717,1.5,lookback_40,40
diagnostic,lookback_40,1Y,2025-05-08,2026-05-08,243,0.29435817414345755,0.3067864910612461,-0.16719988953298215,1.1877306089775732,0.25223262140178326,11,37,37,20,18,8,3,1,229,0.042443953020373605,42.4439530203736,1.0095805586212614,0.8641484958717164,1.4161361327912059,lookback_40,40
diagnostic,lookback_60,from_2020,2020-01-02,2026-05-08,1535,2.8993056037897555,0.25032240920201376,-0.2569698834702512,0.9897292756976741,0.2600477852779312,91,148,148,71,68,51,15,12,1329,0.1826522024877234,182.65220248772337,1.0929483190280322,0.9430711947303059,1.5,lookback_60,60
diagnostic,lookback_60,5Y,2021-05-10,2026-05-08,1211,2.1520706534260308,0.26985481247941423,-0.2569698834702513,1.0506833187302822,0.25951328031016413,76,114,114,55,53,35,11,8,1043,0.14625425285134108,146.2542528513411,1.1348662743125888,0.9796672606143961,1.5,lookback_60,60
diagnostic,lookback_60,3Y,2023-05-08,2026-05-08,727,1.7158416738485647,0.413853114630949,-0.2569698834702512,1.486336739952642,0.2551519259149155,39,88,88,37,35,24,8,5,650,0.09226445232994773,92.26445232994773,1.0852055589753533,0.9143844498945617,1.5,lookback_60,60
diagnostic,lookback_60,1Y,2025-05-08,2026-05-08,243,0.6207321852519947,0.6499787090246827,-0.12238015366253874,2.1589170563885305,0.24617401141462059,5,27,27,12,12,14,3,2,228,0.028692213440058893,28.692213440058893,0.9620685056575303,0.8298522070394402,1.372625376609736,lookback_60,60
diagnostic,lookback_90,from_2020,2020-01-02,2026-05-08,1535,1.1704862691055227,0.13567054354425645,-0.40216713644754365,0.6148006352627319,0.26361175476670884,46,85,85,45,43,57,15,15,1347,0.13579987841261865,135.79987841261868,1.0854592834022996,0.9840912345740509,1.5,lookback_90,90
diagnostic,lookback_90,5Y,2021-05-10,2026-05-08,1211,1.3030319190914765,0.1895751919603954,-0.28685468415160564,0.7975551292331158,0.26010600291838104,46,58,58,31,29,50,12,12,1041,0.09936334926975275,99.36334926975275,1.1137683299783203,1.0033480950218114,1.5,lookback_90,90
diagnostic,lookback_90,3Y,2023-05-08,2026-05-08,727,1.0454741555971774,0.28153513888428683,-0.20124122687925694,1.0987627725867342,0.2558053823416849,7,41,41,20,19,39,9,9,674,0.06304642247129552,63.046422471295514,1.0546598978581756,0.9586507992342481,1.5,lookback_90,90
diagnostic,lookback_90,1Y,2025-05-08,2026-05-08,243,0.4722135991063934,0.49345440005384034,-0.1531690815796265,1.7232989897025996,0.25122708978695596,0,14,14,7,6,25,4,4,222,0.021336424029702688,21.336424029702687,0.9299202367658744,0.7894782098842777,1.4540442508383524,lookback_90,90
diagnostic,lookback_120,from_2020,2020-01-02,2026-05-08,1535,1.9261371562704177,0.19275517318085988,-0.30499055079961346,0.8215106081476767,0.2540942937631174,37,68,68,34,35,53,13,13,1251,0.11623922929656108,116.23922929656108,1.1225585065466608,1.0309026327109616,1.5,lookback_120,120
diagnostic,lookback_120,5Y,2021-05-10,2026-05-08,1211,1.432240142446096,0.2031645905083621,-0.2337965825474212,0.8599708902721421,0.2522154590450067,37,47,47,23,23,42,10,10,948,0.08401516983952764,84.01516983952763,1.163229487331543,1.06535408408344,1.5,lookback_120,120
diagnostic,lookback_120,3Y,2023-05-08,2026-05-08,727,0.8815831313220064,0.2449675913430278,-0.23379658254742108,0.9836162600423914,0.2563570837021259,0,37,37,16,16,31,7,7,666,0.054430031252921104,54.430031252921104,1.0474462276124195,0.9737680339857822,1.5,lookback_120,120
diagnostic,lookback_120,1Y,2025-05-08,2026-05-08,243,0.4981854604964504,0.5207856533045343,-0.14937562255847348,1.8211820024719176,0.24713536990873916,0,10,10,5,5,25,4,4,220,0.018697401963646214,18.69740196364621,0.912454682116184,0.7819227055290016,1.5,lookback_120,120
diagnostic,lookback_180,from_2020,2020-01-02,2026-05-08,1535,0.5380051174028861,0.07322984953634304,-0.3604668821268754,0.4049557413605599,0.2558180318113462,22,43,43,18,18,44,8,8,1254,0.06828036912903464,68.28036912903463,1.1353844070002033,1.0660742168478603,1.5,lookback_180,180
diagnostic,lookback_180,5Y,2021-05-10,2026-05-08,1211,0.09770255381496384,0.01958762706461692,-0.3604668821268754,0.20368911777248394,0.25290610842368744,22,37,37,14,15,33,5,5,955,0.05317809468486051,53.1780946848605,1.1979131568455998,1.1207130767014828,1.5,lookback_180,180
diagnostic,lookback_180,3Y,2023-05-08,2026-05-08,727,-0.09170535916778944,-0.03279142203706498,-0.3604668821268754,0.0035319527577287136,0.2611562673363957,0,25,25,11,11,23,3,3,646,0.03781304873157117,37.81304873157116,1.1324927432642,1.07309105126462,1.5,lookback_180,180
diagnostic,lookback_180,1Y,2025-05-08,2026-05-08,243,0.0611886122078098,0.06352538794055351,-0.222529803364221,0.37397125455356145,0.24517483590419314,0,2,2,2,2,23,3,3,220,0.011424576875737245,11.424576875737245,0.9999768873365293,0.8801297179591262,1.5,lookback_180,180
